,Word,Weight,POS
0,selamat,40.433362148787495,JJ
1,nasional,19.63044256228193,JJ
2,salah,17.5726666142944,JJ
3,bagus,17.072036105461326,JJ
4,nyata,15.720397017187487,JJ
5,kaya,15.479769952575605,JJ
6,wkwkwk,14.70501452315993,JJ
7,bantul,13.591021803154009,JJ
8,bikin,12.33543827479985,JJ
9,utama,10.46553904110574,JJ
10,murah,9.737139938137855,JJ
11,sehat,9.548676789086512,JJ
12,mahal,9.009604936853883,JJ
13,swasta,8.970113006376108,JJ
14,gejayanmemanggil,8.047685196289747,JJ
15,sakit,7.600477398505475,JJ
16,internasional,7.482044551452563,JJ
17,council,6.618427878888344,JJ
18,ramai,6.52387637451612,JJ
19,cerah,5.942310832598051,JJ
20,khusus,5.4770433077124805,JJ
21,bebas,5.100468317785513,JJ
22,sosial,5.064583830328656,JJ
23,luas,4.745010797770179,JJ
24,alas,4.411550783917203,JJ
25,gratis,4.279860876189801,JJ
26,sesuai,4.203495679025618,JJ
27,penuh,4.14893629761284,JJ
28,aktif,4.004839938737894,JJ
29,strategis,4.003617192616176,JJ
30,mantan,3.8862418748999596,JJ
31,kuat,3.663260443864282,JJ
32,gagal,3.6405043192533455,JJ
33,bersih,3.620258885544102,JJ
34,utbk,3.5585751054333206,JJ
35,lancar,3.4120221090006875,JJ
36,drama,3.40570191951216,JJ
37,suci,3.3727703762396932,JJ
38,serius,3.35957105065276,JJ
39,panas,3.326435898723493,JJ
40,tua,3.2153084400915226,JJ
41,otomotif,3.1930846563888027,JJ
42,resmi,3.0614324702262903,JJ
43,mudah,3.0368381637724373,JJ
44,abis,3.0071819266859654,JJ
45,kreatif,2.967415441717475,JJ
46,ibadah,2.964141088906589,JJ
47,saveuas,2.954221002165217,JJ
48,jakal,2.9271215285934713,JJ
49,radikal,2.9128865095897236,JJ
50,ya,89.85862831123235,NN
51,mahasiswa,76.84135599682538,NN
52,uii,64.71872060292539,NN
53,yogyakarta,61.25914950748955,NN
54,jogja,61.195457025782915,NN
55,dahlan,58.95763215469352,NN
56,kuliah,52.161712503199695,NN
57,ga,47.966194013908414,NN
58,aja,46.74921022415576,NN
59,ligamahasiswa,34.53374364981358,NN
60,tau,34.30630029088709,NN
61,kalo,33.376860819379885,NN
62,skor,31.892944099066018,NN
63,muhammadiyah,30.927011527044357,NN
64,court,30.60494104510381,NN
65,dosen,29.64699923531444,NN
66,program,29.17461793558156,NN
67,daftar,29.075292838912393,NN
68,kak,28.38984606049295,NN
69,didik,28.209330477044468,NN
70,iya,28.05001128657889,NN
71,km,26.799919874227133,NN
72,regu,26.291737001348952,NN
73,fakultas,26.25646051505179,NN
74,alumni,24.87260503062755,NN
75,daerah,24.59181424150448,NN
76,ni,23.142606034828518,NN
77,nder,22.887140719495967,NN
78,guru,22.876158422042664,NN
79,dr,22.68477010355602,NN
80,banget,22.3705477380145,NN
81,amp,22.121139131087382,NN
82,alhamdulillah,21.77578120171065,NN
83,maba,21.269331943820607,NN
84,orang,21.131013231904664,NN
85,putra,20.343809141341353,NN
86,studi,19.770004835326525,NN
87,wisuda,19.735098037470344,NN
88,ku,18.974411437565404,NN
89,juara,18.86448776200643,NN
90,farmasi,18.616288316675696,NN
91,temen,18.568510301903785,NN
92,tingkat,18.523247843196284,NN
93,putri,18.297892513170606,NN
94,nak,18.23484082227109,NN
95,ayo,18.187445582652895,NN
96,info,18.14206598206459,NN
97,jalan,18.05346022659563,NN
98,yogya,17.707590204228225,NN
99,mba,17.01303289351951,NN
100,terima,27.248516399289382,VB
101,masuk,25.32724604675021,VB
102,buka,24.48163785241082,VB
103,latih,18.694257178999614,VB
104,mbak,18.64270014117007,VB
105,tolak,18.24600205269207,VB
106,raih,17.712563477344624,VB
107,ilmu,16.467778257644735,VB
108,giat,15.87029332650758,VB
109,eh,14.462849239875258,VB
110,libur,14.39461972225413,VB
111,pilih,14.216220599995268,VB
112,ajar,13.970332537284788,VB
113,lupa,13.250838630942393,VB
114,bgt,12.602797819078662,VB
115,selesai,12.567619174567962,VB
116,menang,12.1929115507476,VB
117,tulis,10.71745383504294,VB
118,makan,10.287616127709708,VB
119,hadir,10.226942963108504,VB
120,kakak,9.749388645976783,VB
121,cari,9.69322215183263,VB
122,hati,9.447053427916693,VB
123,bayar,9.290317754982789,VB
124,tuju,8.9980073026216,VB
125,suka,8.829307519122263,VB
126,tolong,8.742339802601228,VB
127,ambil,8.357475409086538,VB
128,beli,8.27016222078819,VB
129,coba,8.084741626823487,VB
130,dhani,8.003412001862944,VB
131,beda,7.946243281008286,VB
132,lengkap,7.757000671157991,VB
133,kumpul,7.264868024720839,VB
134,tunggu,7.239451076398206,VB
135,iki,7.158468648765897,VB
136,kaji,7.082477286513651,VB
137,maju,6.8594142004662,VB
138,jual,6.766730432837993,VB
139,percaya,6.712269141506107,VB
140,kalah,6.711293765487529,VB
141,bawa,6.691589943484657,VB
142,fti,6.4632514459195045,VB
143,untung,6.378543442817398,VB
144,aryani,6.255745742907389,VB
145,dukung,6.197799792438764,VB
146,kabinetinspirasipendidikan,6.188639594256294,VB
147,subuh,6.129273412750629,VB
148,kui,5.972738986470684,VB
149,bimawa,5.963539464504961,VB
