,0
kampus,137.42544505673527
anak,110.69834210036467
ya,89.85862831123235
yg,78.57109865897495
mahasiswa,76.84135599682538
universitas,66.539586837202
kaskus,65.58681951581868
uii,64.71872060292539
ugm,63.248011361341405
yogyakarta,61.25914950748955
jogja,61.195457025782915
ahmad,59.8445153930765
dahlan,58.95763215469352
wkwk,57.879302803143105
umy,57.24452573303589
kuliah,52.161712503199695
nih,49.27977304930451
ga,47.966194013908414
aja,46.74921022415576
uas,43.02035774918622
selamat,40.433362148787495
deket,40.314280013104074
mas,39.98095510497539
vs,37.97203883769926
id,37.8877467618033
sih,36.9885298694482
udah,36.168733193772646
weareuad,35.645168931270945
ligamahasiswa,34.53374364981358
badminton,34.44120128516052
tau,34.30630029088709
kalo,33.376860819379885
cjyc,33.2713278290177
gak,32.820439660795806
skor,31.892944099066018
season,31.613367806867714
nya,31.027430165377787
muhammadiyah,30.927011527044357
court,30.60494104510381
dosen,29.64699923531444
game,29.61781013223257
program,29.17461793558156
daftar,29.075292838912393
cm,28.58719870689593
kak,28.38984606049295
didik,28.209330477044468
iya,28.05001128657889
masjid,27.837148966608698
terima,27.248516399289382
indonesia,27.229625086010596
uny,27.134571257928254
km,26.799919874227133
regu,26.291737001348952
fakultas,26.25646051505179
masuk,25.32724604675021
alumni,24.87260503062755
daerah,24.59181424150448
buka,24.48163785241082
fkip,23.519195226916665
ni,23.142606034828518
nder,22.887140719495967
guru,22.876158422042664
rektor,22.687322470218348
dr,22.68477010355602
banget,22.3705477380145
amp,22.121139131087382
alhamdulillah,21.77578120171065
prodi,21.35586956996999
maba,21.269331943820607
uadyogyakarta,21.176944949694015
orang,21.131013231904664
putra,20.343809141341353
studi,19.770004835326525
wisuda,19.735098037470344
nasional,19.63044256228193
uin,19.548739112378232
fc,19.47603399581679
uty,19.095364472558693
ku,18.974411437565404
juara,18.86448776200643
hehe,18.80310505989793
latih,18.694257178999614
mbak,18.64270014117007
farmasi,18.616288316675696
temen,18.568510301903785
tingkat,18.523247843196284
putri,18.297892513170606
pindah,18.2776383745563
tolak,18.24600205269207
nak,18.23484082227109
ayo,18.187445582652895
info,18.14206598206459
via,18.132171808276357
jalan,18.05346022659563
lulus,17.981236876824156
si,17.733242402052767
raih,17.712563477344624
yogya,17.707590204228225
salah,17.5726666142944
cah,17.19605504063606
bagus,17.072036105461326
mba,17.01303289351951
moga,17.00060366058835
ilmu,16.467778257644735
min,16.46646407657373
emang,16.443301867217066
ken,16.369524395687126
bangga,16.157028229935435
yaa,16.072514056030677
pagi,16.01717698141904
kost,15.879840913147849
giat,15.87029332650758
ra,15.807051426982063
nyata,15.720397017187487
ust,15.720057010294596
tu,15.69526480618546
wkwkw,15.632100446925445
tp,15.626236578408632
kenal,15.59728266496818
tuh,15.548448383997517
kaya,15.479769952575605
neng,15.381192677444517
informasi,15.230836259202967
main,15.178173800409368
yo,15.059220344872765
tim,15.047930718511942
gelar,15.017832992653513
mah,14.962202563726823
acara,14.857199944067643
kerja,14.796020762883721
wkwkwk,14.70501452315993
ki,14.692900343198325
nama,14.558314446187367
selatan,14.53877984856575
sastra,14.535316345298455
eh,14.462849239875258
kah,14.430512628074288
periode,14.40410821828314
libur,14.39461972225413
semangat,14.381124306703576
bem,14.349468124732994
rumah,14.285854691724744
besok,14.280934652749668
allah,14.224360300930249
pilih,14.216220599995268
islam,14.08153333954829
pas,14.072475139277197
diy,14.06060695109177
ajar,13.970332537284788
semester,13.913738754943337
liat,13.860086144711689
teman,13.77845578000146
gin,13.764728458563162
btw,13.708212429038687
univ,13.667671302532629
kunjung,13.637590141119553
bantul,13.591021803154009
unnes,13.481919464075794
cantik,13.39098957103774
kkn,13.38460991124366
kek,13.298874493008602
harga,13.254144810483986
lupa,13.250838630942393
jurus,13.232662775580403
teknik,13.1882581296068
vetty,13.148231277397802
rafiqi,13.09257779867738
jam,13.059453227929238
langsung,13.020504893217582
ringroad,12.966213664979595
of,12.94953203294965
kayak,12.91588981483449
gitu,12.637440225060661
