,Word,POS
0,iyo,NN
1,wajar,JJ
2,nama,NN
3,uad,NN
4,utk,NN
5,tampung,VB
6,mahasiswa,NN
7,yg,FW
8,ydj,FW
9,kuliah,NN
10,muhammadiyah,NN
11,rs,NN
12,uad,NN
13,raih,VB
14,akreditasi,NN
15,bintang,NN
16,rs,NN
17,uad,NN
18,raih,VB
19,akreditasi,NN
20,bintang,NN
21,rs,NN
22,uad,NN
23,raih,VB
24,akreditasi,NN
25,bintang,NN
26,soto,NN
27,nanang,NN
28,deket,FW
29,kampus,FW
30,uad,FW
31,mas,FW
32,kali,NN
33,gua,CD
34,jogja,NN
35,suguhin,FW
36,soto,FW
37,nanang,FW
38,yg,FW
39,deket,FW
40,kampus,FW
41,uad,FW
42,ya,NN
43,allah,NN
44,ga,NN
45,sihh,NN
46,ni,NN
47,soto,NN
48,jual,VB
49,jakarta,NN
50,ajaa,NN
51,enak,NN
52,bangettt,FW
53,trs,FW
54,murahh,FW
55,bangettttttttr,FW
56,btw,FW
57,rafiqi,FW
58,tu,FW
59,pacar,FW
60,nyo,FW
61,kawan,FW
62,amee,FW
63,yunk,FW
64,anak,FW
65,dokter,FW
66,uad,FW
67,mutalib,FW
68,shory,FW
69,tk,FW
70,uad,FW
71,dh,FW
72,lpsni,FW
73,promise,FW
74,upgrade,FW
75,skill,FW
76,sdm,FW
77,uad,FW
78,perihal,FW
79,bencana,NN
80,selamat,JJ
81,psmpb,FW
82,uad,FW
83,mdmc,FW
84,kampus,FW
85,universitas,FW
86,ahmad,FW
87,dahlan,NN
88,ha,NN
89,gu,FW
90,igomithonigolthu,FW
91,uad,FW
92,soto,FW
93,zaenal,FW
94,uad,FW
95,mantep,FW
96,tuh,FW
97,bincangsiangmbs,NN
98,universitas,NN
99,ahmad,NN
100,dahlan,NN
101,yogyakarta,NN
102,uad,FW
103,rabu,FW
104,jan,FW
105,pk,FW
106,streaming,FW
107,uad,FW
108,informasi,NN
109,mastering,FW
110,cue,FW
111,for,FW
112,tsn,FW
113,composer,FW
114,proaudio,FW
115,tvcomposer,FW
116,tsn,FW
117,mastering,FW
118,masteringengineer,FW
119,orchestra,FW
120,hiphop,FW
121,cinematic,FW
122,uad,FW
123,soundtoys,FW
124,fabfilter,FW
125,shadowhills,FW
126,manleylabs,FW
127,ampex,FW
128,uad,NN
129,libur,VB
130,kak,NN
131,nama,NN
132,uad,FW
133,wkwk,FW
134,anak,NN
135,uad,FW
136,ngeliat,FW
137,highlight,FW
138,gua,CD
139,ih,NN
140,enak,NN
141,banget,NN
142,udah,MD
143,ajar,VB
144,kuljar,VB
145,aja,NN
146,bom,NN
147,gua,JJ
148,bangga,SC
149,bgt,VB
150,dah,NN
151,wkwkwk,JJ
152,csr,NN
153,indosat,NN
154,bantu,FW
155,komputer,FW
156,uad,FW
157,csr,NN
158,indosat,NN
159,bantu,FW
160,komputer,FW
161,uad,FW
162,etapa,WH
163,alaphillipe,FW
164,qst,FW
165,consonni,FW
166,uad,FW
167,sagan,NN
168,boh,NN
169,lider,NN
170,gaviria,NN
171,uad,NN
172,tropela,NN
173,uad,FW
174,almamaterkyyyyuuu,FW
175,kampus,FW
176,kayak,FW
177,mall,FW
178,lohh,FW
179,siswa,NN
180,tunarungu,NN
181,ajar,VB
182,astronomi,NN
183,uad,NNP
184,siswa,NN
185,tunarungu,NN
186,ajar,VB
187,astronomi,NN
188,uad,NNP
189,uad,NN
190,siang,NN
191,utk,NN
192,program,NN
193,kelas,NN
194,karyawan,NN
195,kalo,NN
196,info,NN
197,jadwal,NN
198,kuliah,NN
199,thanks,FW
200,before,FW
201,uad,NN
202,jaya,PRP
203,dukunga,NN
204,program,NN
205,kembang,NN
206,sdm,NN
207,muhammadiyah,NN
208,indosat,NN
209,donasi,NN
210,komputer,NN
211,uad,NN
212,jogja,NN
213,universitas,NN
214,ahmad,NN
215,dahlan,NN
216,selenggara,NN
217,bimawa,VB
218,award,NNP
219,senin,NNP
220,januari,VB
221,kampus,NN
222,utama,JJ
223,uad,FW
224,bimawa,FW
225,award,FW
226,mahasiswa,NN
227,dosen,NN
228,organisasi,NN
229,mahasiswa,NN
230,program,NN
231,studi,NN
232,milik,NN
233,universitas,NN
234,ahmad,NN
235,dahlan,NN
236,selenggara,NN
237,bimawa,VB
238,award,NNP
239,senin,NNP
240,januari,VB
241,kampus,NN
242,utama,JJ
243,uad,FW
244,bimawa,FW
245,award,FW
246,mahasiswa,NN
247,dosen,NN
248,organisasi,NN
249,mahasiswa,NN
250,indosat,NN
251,ooredo,FW
252,bantu,FW
253,uad,FW
254,rp,FW
255,juta,CD
256,guru,NN
257,ngaji,NN
258,nu,NN
259,garis,NN
260,keras,JJ
261,panggil,VB
262,paklek,NN
263,tau,NN
264,ajar,VB
265,nu,NN
266,halus,JJ
267,santun,VB
268,sefaham,NN
269,dg,FW
270,yg,FW
271,uad,FW
272,uas,FW
273,dll,FW
274,uad,NN
275,ngga,SC
276,mama,IN
277,uad,NNP
278,workshop,FW
279,jabat,NN
280,fungsional,JJ
281,dosen,CD
282,isi,NN
283,bkd,FW
284,senin,FW
285,tjokro,FW
286,style,FW
287,hotel,FW
288,prodi,FW
289,ppkn,FW
290,fkip,FW
291,uad,FW
292,selenggara,FW
293,workshop,FW
294,jabat,NN
295,fungsional,JJ
296,dosen,CD
297,more,FW
298,information,FW
299,sekretariat,FW
300,bem,FW
301,uad,FW
302,tri,NN
303,negeri,NN
304,bem,FW
305,uad,FW
306,hub,FW
307,tunggu,VB
308,tahap,NN
309,informasi,NN
310,dahlan,NN
311,muda,NN
312,calon,NN
313,pimpin,NN
314,bangsa,NN
315,wassalamu,NN
316,alaikum,NN
317,warahmatullahi,VB
318,utama,JJ
319,alam,NN
320,panitia,NN
321,syarat,NN
322,aji,NN
323,baca,NN
324,alquran,NN
325,kelompok,NN
326,integritas,NN
327,tanggung,VB
328,mahasiswa,NN
329,uad,NN
330,minimal,JJ
331,smester,NN
332,maksimal,JJ
333,semester,NN
334,prosedur,NN
335,tahap,NN
336,terima,VB
337,daftar,NN
338,fasilutasi,NN
339,kemendagri,NN
340,berkomitment,FW
341,kerja,NN
342,amp,NN
343,manajerial,JJ
344,laksana,NN
345,kepanitian,NN
346,tri,NN
347,negeri,NN
348,bem,NN
349,uad,NN
350,fasilitas,NN
351,terima,VB
352,kepanitian,NN
