,Word,Weight,POS
0,kampus,137.42544505673527,FW
1,anak,110.69834210036467,FW
2,ya,89.85862831123235,NN
3,yg,78.57109865897495,FW
4,mahasiswa,76.84135599682538,NN
5,universitas,66.539586837202,FW
6,kaskus,65.58681951581868,FW
7,uii,64.71872060292539,NN
8,ugm,63.248011361341405,FW
9,yogyakarta,61.25914950748955,NN
10,jogja,61.195457025782915,NN
11,ahmad,59.8445153930765,FW
12,dahlan,58.95763215469352,NN
13,wkwk,57.879302803143105,FW
14,umy,57.24452573303589,FW
15,kuliah,52.161712503199695,NN
16,nih,49.27977304930451,FW
17,ga,47.966194013908414,NN
18,aja,46.74921022415576,NN
19,uas,43.02035774918622,FW
20,selamat,40.433362148787495,JJ
21,deket,40.314280013104074,FW
22,mas,39.98095510497539,FW
23,vs,37.97203883769926,FW
24,id,37.8877467618033,FW
25,sih,36.9885298694482,FW
26,udah,36.168733193772646,MD
27,weareuad,35.645168931270945,FW
28,ligamahasiswa,34.53374364981358,NN
29,badminton,34.44120128516052,FW
30,tau,34.30630029088709,NN
31,kalo,33.376860819379885,NN
32,cjyc,33.2713278290177,FW
33,gak,32.820439660795806,FW
34,skor,31.892944099066018,NN
35,season,31.613367806867714,FW
36,nya,31.027430165377787,FW
37,muhammadiyah,30.927011527044357,NN
38,court,30.60494104510381,NN
39,dosen,29.64699923531444,NN
40,game,29.61781013223257,FW
41,program,29.17461793558156,NN
42,daftar,29.075292838912393,NN
43,cm,28.58719870689593,NND
44,kak,28.38984606049295,NN
45,didik,28.209330477044468,NN
46,iya,28.05001128657889,NN
47,masjid,27.837148966608698,FW
48,terima,27.248516399289382,VB
49,indonesia,27.229625086010596,NNP
50,uny,27.134571257928254,FW
51,km,26.799919874227133,NN
52,regu,26.291737001348952,NN
53,fakultas,26.25646051505179,NN
54,masuk,25.32724604675021,VB
55,alumni,24.87260503062755,NN
56,daerah,24.59181424150448,NN
57,buka,24.48163785241082,VB
58,fkip,23.519195226916665,FW
59,ni,23.142606034828518,NN
60,nder,22.887140719495967,NN
61,guru,22.876158422042664,NN
62,rektor,22.687322470218348,FW
63,dr,22.68477010355602,NN
64,banget,22.3705477380145,NN
65,amp,22.121139131087382,NN
66,alhamdulillah,21.77578120171065,NN
67,prodi,21.35586956996999,FW
68,maba,21.269331943820607,NN
69,uadyogyakarta,21.176944949694015,CC
70,orang,21.131013231904664,NN
71,putra,20.343809141341353,NN
72,studi,19.770004835326525,NN
73,wisuda,19.735098037470344,NN
74,nasional,19.63044256228193,JJ
75,uin,19.548739112378232,FW
76,fc,19.47603399581679,FW
77,uty,19.095364472558693,FW
78,ku,18.974411437565404,NN
79,juara,18.86448776200643,NN
80,hehe,18.80310505989793,FW
81,latih,18.694257178999614,VB
82,mbak,18.64270014117007,VB
83,farmasi,18.616288316675696,NN
84,temen,18.568510301903785,NN
85,tingkat,18.523247843196284,NN
86,putri,18.297892513170606,NN
87,pindah,18.2776383745563,MD
88,tolak,18.24600205269207,VB
89,nak,18.23484082227109,NN
90,ayo,18.187445582652895,NN
91,info,18.14206598206459,NN
92,via,18.132171808276357,PRP
93,jalan,18.05346022659563,NN
94,lulus,17.981236876824156,FW
95,si,17.733242402052767,FW
96,raih,17.712563477344624,VB
97,yogya,17.707590204228225,NN
98,salah,17.5726666142944,JJ
99,cah,17.19605504063606,FW
100,bagus,17.072036105461326,JJ
101,mba,17.01303289351951,NN
102,moga,17.00060366058835,NN
103,ilmu,16.467778257644735,VB
104,min,16.46646407657373,FW
105,emang,16.443301867217066,NN
106,ken,16.369524395687126,FW
107,bangga,16.157028229935435,SC
108,yaa,16.072514056030677,FW
109,pagi,16.01717698141904,NN
110,kost,15.879840913147849,NN
111,giat,15.87029332650758,VB
112,ra,15.807051426982063,NN
113,nyata,15.720397017187487,JJ
114,ust,15.720057010294596,FW
115,tu,15.69526480618546,FW
116,wkwkw,15.632100446925445,FW
117,tp,15.626236578408632,FW
118,kenal,15.59728266496818,FW
119,tuh,15.548448383997517,FW
120,kaya,15.479769952575605,JJ
121,neng,15.381192677444517,FW
122,informasi,15.230836259202967,NN
123,main,15.178173800409368,FW
124,yo,15.059220344872765,FW
125,tim,15.047930718511942,NN
126,gelar,15.017832992653513,NN
127,mah,14.962202563726823,NN
128,acara,14.857199944067643,NN
129,kerja,14.796020762883721,NN
130,wkwkwk,14.70501452315993,JJ
131,ki,14.692900343198325,FW
132,nama,14.558314446187367,NN
133,selatan,14.53877984856575,NN
134,sastra,14.535316345298455,NN
135,eh,14.462849239875258,VB
136,kah,14.430512628074288,NN
137,periode,14.40410821828314,NN
138,libur,14.39461972225413,VB
139,semangat,14.381124306703576,NN
140,bem,14.349468124732994,FW
141,rumah,14.285854691724744,NN
142,besok,14.280934652749668,NN
143,allah,14.224360300930249,NN
144,pilih,14.216220599995268,VB
145,islam,14.08153333954829,NN
146,pas,14.072475139277197,NN
147,diy,14.06060695109177,FW
148,ajar,13.970332537284788,VB
149,semester,13.913738754943337,NN
150,liat,13.860086144711689,FW
151,teman,13.77845578000146,NN
152,gin,13.764728458563162,FW
153,btw,13.708212429038687,FW
154,univ,13.667671302532629,FW
155,kunjung,13.637590141119553,NN
156,bantul,13.591021803154009,JJ
157,unnes,13.481919464075794,NN
158,cantik,13.39098957103774,NN
159,kkn,13.38460991124366,NN
160,kek,13.298874493008602,NN
161,harga,13.254144810483986,NN
162,lupa,13.250838630942393,VB
163,jurus,13.232662775580403,FW
164,teknik,13.1882581296068,NN
165,vetty,13.148231277397802,FW
166,rafiqi,13.09257779867738,FW
167,jam,13.059453227929238,NN
168,langsung,13.020504893217582,RB
169,ringroad,12.966213664979595,FW
170,of,12.94953203294965,FW
171,kayak,12.91588981483449,FW
172,gitu,12.637440225060661,SC
173,bgt,12.602797819078662,VB
