,Word,POS
0,mr,NN
1,uii,NN
2,darah,NN
3,siak,NN
4,sakit,FW
5,kene,FW
6,langgar,FW
7,uii,VB
8,bebesitaaa,NN
9,lna,NN
10,tob,FW
11,abny,FW
12,ka,FW
13,xnksj,FW
14,nbbs,FW
15,uii,FW
16,zif,FW
17,sg,FW
18,aua,CD
19,jadwal,NN
20,shalat,NN
21,sleman,NN
22,kamis,NN
23,januari,NN
24,imsak,VB
25,subuh,VB
26,dhuha,NN
27,dzuhur,NN
28,ashar,NN
29,maghrib,NN
30,isya,NN
31,sumber,NN
32,jama,JJ
33,ah,VB
34,al,NN
35,ghuroba,NN
36,fmipa,NN
37,uii,VB
38,wailly,FW
39,ahhh,FW
40,uii,FW
41,uii,NN
42,uii,VB
43,uii,VB
44,bournemouth,NN
45,kenduri,VB
46,ichigoichie,IN
47,baca,NN
48,tuh,JJ
49,uii,VB
50,uii,VB
51,gata,NN
52,dah,NN
53,knape,NN
54,uii,VB
55,bitter,NN
56,bitter,NN
57,nak,NN
58,uii,VB
59,fauzan,NN
60,damprat,NN
61,selebtwit,NN
62,uii,NN
63,nduwur,NN
64,bh,MD
65,uii,VB
66,mubaroq,NN
67,teknik,NN
68,sipir,RB
69,uii,VB
70,sharu,MD
71,uii,VB
72,dansu,NN
73,bennnul,VB
74,golput,VB
75,mahasiswa,NN
76,fh,NN
77,uii,NN
78,angkat,NN
79,kriminal,JJ
80,jalan,NN
81,prosesi,NN
82,tahan,NN
83,dakwa,NN
84,eh,JJ
85,uii,NN
86,uii,VB
87,zril,NN
88,uii,NN
89,kau,NN
90,ni,NN
91,mintak,NN
92,benda,NN
93,mustahil,JJ
94,gila,SC
95,uiii,NN
96,uii,VB
97,hai,VB
98,kak,NN
99,uii,VB
100,zaries,NN
101,uii,NN
102,bak,NN
103,duit,NN
104,lho,NN
105,sarah,NN
106,novia,NN
107,anjani,VB
108,uii,NN
109,pacar,FW
110,lau,FW
111,stalker,FW
112,banget,FW
113,cuk,FW
114,uii,VB
115,yg,NN
116,biru,NN
117,tu,NN
118,cantik,JJ
119,ui,NN
120,uii,VB
121,manap,VB
122,uii,NN
123,brape,NN
124,kena,SC
125,rotan,NN
126,tu,NN
127,plak,VB
128,tu,NN
129,bro,JJ
130,manap,VB
131,uii,NN
132,byk,NN
133,campak,NN
134,le,NN
135,orang,NN
136,manap,VB
137,uii,NN
138,turun,VB
139,hahaha,NN
140,trus,NN
141,budak,NN
142,bas,NN
143,ya,NN
144,bahagia,PRP
145,uii,VB
146,best,FW
147,tu,FW
148,kastemer,FW
149,jumaat,NN
150,ni,NN
151,isnin,NNP
152,opini,NN
153,kampanye,NN
154,legislatif,JJ
155,produktif,JJ
156,teliti,NN
157,pusat,NN
158,studi,NN
159,hukum,NN
160,konstitusi,NN
161,pshk,NN
162,fakultas,NN
163,hukum,NN
164,uii,NN
165,muhamad,NN
166,saleh,IN
167,terima,CD
168,kasih,NN
169,pn,NN
170,aslinda,NN
171,trip,FW
172,medan,FW
173,best,FW
174,uii,NN
175,terima,VB
176,kasih,MD
177,daun,VB
178,keladi,VB
179,travel,FW
180,kakemitravel,FW
181,pakejmelancongmurah,FW
182,trustedtravelagent,FW
183,jomtravel,FW
184,melancongdanmelencong,FW
185,releasestress,FW
186,alhamdulillah,NN
187,jasa,NN
188,beliau,NN
189,beliau,NN
190,lulus,NN
191,dr,NN
192,uii,VB
193,aktivasi,NN
194,dpa,NN
195,dosen,FW
196,bimbing,FW
197,akademik,FW
198,silahkeeun,FW
199,konsultasi,NN
200,kena,SC
201,akademik,VB
202,kena,SC
203,kp,VB
204,ta,NN
205,dll,NN
206,februari,NN
207,auditorium,NN
208,fti,NN
209,uii,VB
210,uii,VB
211,debar,NN
212,teruks,NN
213,ya,NN
214,hidup,NN
215,anak,NN
216,uii,VB
217,uii,VB
218,bleh,IN
219,keje,FW
220,uii,VB
221,yuunaamogion,FW
222,uii,NN
223,pro,JJ
224,marah,NN
225,ni,NN
226,hahaha,NN
227,entahh,MD
228,lh,VB
229,uii,NN
230,mok,NN
231,kawen,NN
232,biar,CD
233,yaqueen,NN
234,kalo,NN
235,uii,VB
236,nonton,NEG
237,uii,VB
238,biar,CD
239,tenggelam,NN
240,dlm,NN
241,haluan,NN
242,uii,VB
243,marah,NN
244,tu,NN
245,twt,NN
246,jimin,NN
247,uii,NN
248,terhura,NNP
249,pakar,NN
250,hukum,NN
251,pidana,NN
252,akarta,NN
253,pakar,NN
254,hukum,NN
255,pidana,NN
256,universitas,NN
257,islam,NN
258,indonesia,NN
259,uii,NN
260,muzakir,NN
261,nilai,NN
262,benci,VB
263,ahmad,NN
264,dhani,VB
265,bahaya,NN
266,yurisprudensi,NN
267,pakar,NN
268,hukum,NN
269,pidana,NN
270,akarta,NN
271,pakar,NN
272,hukum,NN
273,pidana,NN
274,universitas,NN
275,islam,NN
276,indonesia,NN
277,uii,NN
278,muzakir,NN
279,nilai,NN
280,benci,VB
281,ahmad,NN
282,dhani,VB
283,bahaya,NN
284,yurisprudensi,NN
285,payata,NN
286,ng,NN
287,lolo,NN
288,uii,VB
289,aidilfitri,NN
290,ni,NN
291,kena,SC
292,cuti,VB
293,serikk,NN
294,leps,NN
295,takdapat,MD
296,cuti,VB
297,nasib,NN
298,dpt,NN
299,lepas,VB
300,malam,NN
301,raya,NN
302,tu,NN
303,lambt,NN
304,tau,NN
305,pagi,NN
306,raya,NN
307,kereta,NN
308,lagu,NN
309,rayaaa,NN
310,uii,NN
311,menit,NN
312,air,NN
313,mataa,NN
314,dh,FW
315,lee,FW
316,drive,FW
317,sorg,FW
318,dr,FW
319,lantan,NN
320,lipis,JJ
321,ckuplah,VB
322,experience,FW
323,tu,FW
324,je,FW
325,ni,VB
326,nak,NN
327,iftar,IN
328,minat,NN
329,nasi,NN
330,kukus,NN
331,uii,VB
332,sedap,IN
333,mkn,NN
334,nasi,NN
335,kukus,NN
336,tengahri,NN
337,ni,NN
338,cravings,FW
339,nasikukus,FW
340,melakafood,FW
341,visitmelaka,SC
342,samoka,SC
343,uii,VB
344,mohon,NEG
345,ziyadah,MD
346,doa,VB
347,tahlil,NN
348,beliau,NN
349,moga,SC
350,husnul,VB
351,khotimah,NN
352,keluarga,NN
353,tinggal,VB
354,tabah,VB
355,allahumma,NN
356,aamiin,NN
357,kmnu,NN
358,kmnuii,VB
359,wih,VB
360,gamer,NN
361,sayang,NN
362,uii,VB
363,helena,SC
364,uii,VB
365,boba,VB
366,uii,VB
367,aq,NN
368,anak,NN
369,manja,NN
370,tips,FW
371,ajar,FW
372,fk,FW
373,uii,FW
374,version,FW
375,bahan,FW
376,setor,FW
377,try,FW
378,out,FW
379,mentoring,FW
380,wkwkw,NN
381,ga,NN
382,eh,NN
383,lu,NN
384,anak,NN
385,uii,NN
386,anjirr,NN
387,uii,NN
388,tinggal,VB
389,biduk,NN
390,ni,NN
391,siapaa,NN
392,nisha,NN
393,marah,NN
394,zul,FW
395,kee,FW
396,eh,FW
397,eh,FW
398,nak,NN
399,marah,NN
400,buatpaa,NN
401,mek,NN
402,uii,NN
403,takdak,NN
404,suara,NN
405,so,NN
406,marah,JJ
407,haih,VB
408,nasib,NN
409,comel,NN
410,bimbel,NN
411,khusus,JJ
412,masuk,VB
413,dokter,NN
414,uii,NN
415,program,NN
416,jamin,NN
417,indonesia,NN
418,college,FW
419,yogyakarta,FW
420,ic,FW
421,pusat,NN
422,bimbel,NN
423,uii,NN
424,dokter,NN
425,durian,NN
426,hibrida,NN
427,queen,NN
428,biak,NN
429,varietas,NN
430,unggul,VB
431,orang,NN
432,mahasiswa,NN
433,psikologi,NN
434,usia,NN
435,nama,NN
436,aka,NN
437,universitas,NN
438,islam,NN
439,indonesia,NN
440,uii,NN
441,yogyakarta,NN
442,tanam,VB
443,kalong,VB
444,jawa,VB
445,ach,FW
446,uii,FW
447,tk,FW
448,cun,FW
449,kau,FW
450,kuang,FW
451,kuit,FW
452,kk,FW
453,kch,FW
454,uii,VB
455,otai,NN
456,nya,NN
457,port,FW
458,tu,FW
459,uii,VB
460,yokochan,NN
461,but,FW
462,yes,FW
463,uii,VB
464,bongok,FW
465,iv,FW
466,al,FW
467,jazeera,FW
468,tu,FW
469,jemput,FW
470,ats,FW
471,dasar,FW
472,yg,FW
473,iv,FW
474,tu,FW
475,plak,VB
476,ank,NN
477,yahudi,NN
478,pegi,NN
479,tnya,RB
480,ko,FW
481,bygkn,FW
482,org,FW
483,lps,FW
484,turun,FW
485,flight,FW
486,iv,FW
487,dosen,CD
488,dl,NN
489,idola,NN
490,bojo,NN
491,uii,NN
492,level,NN
493,mmd,FW
494,skarang,FW
495,n,FW
496,mmd,FW
497,bs,FW
498,njomplang,NN
499,gitu,SC
500,kualitas,NN
501,salah,JJ
502,metode,NN
503,pas,NN
504,rukyah,NN
505,kyknya,RB
506,uii,VB
507,maaan,NN
508,wwe,NN
509,aqui,VB
510,uii,VB
511,bahagia,PRP
512,uii,VB
513,mcm,NN
514,tu,NN
515,hahaha,NN
516,uii,NN
517,bangun,VB
518,hahahah,NN
519,finally,FW
520,en,FW
521,gak,NEG
522,sih,MD
523,milih,VB
524,mimpi,NN
525,gituu,NN
526,rem,NN
527,uii,NN
528,habis,JJ
529,kejar,VB
530,setann,NN
531,kapooyaaa,NN
532,uii,VB
533,uii,VB
534,man,NN
535,inap,VB
536,tpr,NN
537,tpr,NN
538,ga,NN
539,papa,SC
540,sih,VB
541,aman,NN
542,daerah,NN
543,pakem,NN
544,utara,NN
545,uii,VB
546,nih,VB
547,daftar,NN
548,rs,NN
549,uii,NN
550,jogjakarta,NN
551,undang,NN
552,calon,NN
553,karyawan,NN
554,karyawati,VB
555,jabat,NN
556,butuh,VB
557,pendafraran,NN
558,januari,NN
559,sedia,NN
560,posisi,NN
561,syarat,NN
562,lihat,VB
563,uii,NN
564,uii,VB
565,masuk,VB
566,sja,NN
567,main,FW
568,classic,FW
569,skali,VB
570,tgk,NN
571,musuh,NN
572,uii,NN
573,sd,NN
574,ba,NN
575,ni,NN
576,ulti,NN
577,nya,NN
578,la,NN
