,Word,Weight,POS
0,ni,58.87129015965399,NN
1,ui,49.24899520216953,NN
2,yg,45.48535214846801,NN
3,ya,36.79032509800474,NN
4,tu,35.881505229763405,NN
5,kaskus,34.54288008074739,FW
6,nak,32.296569350929936,NN
7,anak,32.02805618478303,NN
8,bah,28.35555003988748,MD
9,uiii,25.06031850945179,NN
10,ga,24.708731915323714,NN
11,dah,23.327223750225038,NN
12,kampus,22.544784819021643,NN
13,allah,22.422258457520762,NN
14,moga,21.994494430545767,SC
15,ugm,21.755278556329753,FW
16,wkwk,21.28734544989953,NN
17,kalo,21.219686085337315,NN
18,mahasiswa,21.128376968149162,NN
19,jakal,20.196543529258314,JJ
20,ah,19.341821882749493,VB
21,kuliah,19.330540376382608,NN
22,aja,19.326852988451186,NN
23,nya,19.234628287949036,NN
24,la,18.79907541041225,NN
25,id,18.74243770190899,FW
26,bb,18.358175811356055,NN
27,udah,17.757530230860677,MD
28,putra,17.688575777125763,FW
29,dosen,17.58905435594547,FW
30,vs,17.57429749819277,FW
31,season,17.38004561655506,FW
32,badminton,17.36433167573329,FW
33,ligamahasiswa,17.36433167573329,NN
34,regu,17.36433167573329,FW
35,jogja,17.253769842066582,NN
36,mas,17.106798322147775,JJ
37,cjyc,16.999788718503982,FW
38,eh,16.269910757158215,JJ
39,kerja,16.015476045804256,NN
40,meridhoi,15.9015777268279,NN
41,uny,15.865214581532856,FW
42,si,15.821242323423883,NN
43,umy,15.805180467056292,FW
44,skor,15.725491931014814,FW
45,yogyakarta,15.634213681977526,FW
46,kau,15.558321200887418,NN
47,game,15.473844890567742,FW
48,gak,15.36849445905717,NEG
49,court,15.33881009914698,NN
50,hukum,15.276764235544716,NN
51,fh,14.993334397069678,NN
52,hahaha,14.858682059937902,NN
53,deket,14.418237569748692,FW
54,sih,14.390855739243145,MD
55,alumni,14.235973964298838,VB
56,nih,13.81832320165266,VB
57,md,13.732234885600343,FW
58,mahfud,13.409399884482838,NN
59,masuk,13.391885404530555,VB
60,ka,13.383322761440487,FW
61,wisuda,13.04940931287757,NN
62,indonesia,12.952241126600365,NN
63,universitas,12.924750987225437,NN
64,prof,12.666100759973958,NN
65,orang,12.328063795606322,NN
66,islam,12.124589226746462,NN
67,menteri,12.009379105601585,NN
68,tau,11.76014510665502,NN
69,pas,11.690126355288367,NN
70,uwu,11.655713282337231,NN
71,jam,11.460321210440043,NN
72,beli,11.396348275514036,VB
73,ms,11.10146513596671,FW
74,dh,11.090878769236031,FW
75,merci,11.002892160386466,VB
76,na,10.959299921200227,FW
77,kena,10.820406021115906,SC
78,uad,10.74156365788407,FW
79,je,10.660361020709173,FW
80,salah,10.512564519909695,JJ
81,kat,10.471856424302922,NN
82,haha,10.467710818535613,NN
83,mcm,10.388180723398122,NN
84,bagus,10.352053086932575,FW
85,kali,10.133795523182345,NN
86,rektor,10.09796849289858,NN
87,tidur,9.989858869735343,VB
88,cinta,9.79956243471305,VB
89,makan,9.790626018040172,VB
90,amp,9.787849348945556,NN
91,ko,9.688364667263954,FW
92,ajar,9.676849963671524,FW
93,fakultas,9.668214763644704,NN
94,man,9.650750089167472,NN
95,jalan,9.53573765771593,NN
96,aamiin,9.50243759495941,NN
97,kak,9.393174951273329,NN
98,uajy,9.286996687832978,FW
99,neng,9.281394812829998,FW
100,yogya,9.2270872090097,NN
101,fe,9.11451498216324,NN
102,ku,9.108783147435052,NN
103,oh,9.080460638198204,FW
104,sa,9.054954289558781,NN
105,twt,8.944029415045396,NN
106,main,8.758327347999588,FW
107,km,8.734442954143688,NN
108,selamat,8.685937958376968,JJ
109,wahyu,8.682849994250352,NN
110,nyata,8.505489215698923,JJ
111,biar,8.471411049906981,CD
112,cm,8.45667275043828,FW
113,lulus,8.437778522328413,NN
114,yahya,8.402571167328409,NN
115,buka,8.399811803431632,VB
116,dr,8.37826266081708,NN
117,kaya,8.371769282137826,JJ
118,unsoed,8.326727867723694,FW
119,sakit,8.321382622197694,FW
120,malu,8.310999972004536,CC
121,teknik,8.292546262613703,NN
122,rumah,8.184808015083888,NN
123,nk,8.143819427360334,FW
124,banget,8.109503606370186,FW
125,suka,8.066709076828662,VB
126,kayak,7.8890160904241435,FW
127,nama,7.885630924408307,NN
128,tp,7.882059762379416,FW
129,ngga,7.793166103114149,SC
130,habis,7.781244934421364,JJ
131,terima,7.741559781206905,CD
132,teman,7.727081343365468,NN
133,sleman,7.594015672784859,NN
134,in,7.572029999058781,FW
135,ekonomi,7.48675915770097,NN
136,tuh,7.427762141492669,JJ
137,kah,7.402861379211583,RP
138,iya,7.39306719241699,NN
139,nder,7.375841479253467,FW
140,liat,7.334191980173682,NN
141,gitu,7.327248513850996,SC
142,daftar,7.325546898958598,NN
143,besok,7.267889615814783,NN
144,kaliurang,7.101917269642053,NN
145,alhamdulillah,7.057872278179321,NN
146,gata,7.0,NN
147,klo,6.941325095797246,FW
148,pagi,6.911255241236834,NN
149,coba,6.890164481084373,VB
150,the,6.876582919802478,FW
151,sampe,6.844435894954047,FW
152,guru,6.7742919159857315,NN
153,aji,6.743539640014728,NN
154,wkwkw,6.722203068359594,NN
155,bayu,6.7147706884057685,NN
156,malam,6.655561738187472,NN
157,wkwkwk,6.6244761997451285,NN
158,mata,6.604697642395835,NN
159,kost,6.5783161987932335,FW
160,acara,6.560867315733497,NN
161,sedap,6.549474291671878,IN
162,masjid,6.538564187607186,FW
163,hehe,6.504778246126985,FW
164,sis,6.480382440325589,NN
165,beda,6.417437941272807,VB
166,org,6.404693811983352,FW
