,Word,Weight,POS
0,muda,56.87039046242118,JJ
1,ruf,40.29161337605342,JJ
2,sosial,20.93326042735991,JJ
3,salah,15.9274365122356,JJ
4,kuat,14.599564579406167,JJ
5,utama,13.03994839592427,JJ
6,religius,12.62091908628069,JJ
7,tempuh,12.293910377721913,JJ
8,formal,11.379764546695185,JJ
9,viral,9.989302609935182,JJ
10,kenal,7.85677682864645,JJ
11,nyata,7.80219691488492,JJ
12,ulama,7.453235444331353,JJ
13,ptkin,6.4304271705256015,JJ
14,uinsukalib,6.202144775346283,JJ
15,selasa,6.193485390950811,JJ
16,seksual,5.210756051996083,JJ
17,udah,4.839068897342354,JJ
18,lancar,4.435526201350306,JJ
19,bebas,4.429443215903701,JJ
20,kukuh,4.393432629767106,JJ
21,ideal,4.269749971055258,JJ
22,tuai,4.229563248947037,JJ
23,siar,3.896052289982598,JJ
24,limafutsal,3.8594882463895512,JJ
25,resmi,3.804994463840541,JJ
26,cepat,3.5758551390521824,JJ
27,liberal,3.450091157408819,JJ
28,bersih,3.3339802142393395,JJ
29,internasional,3.3109081942323435,JJ
30,legal,3.2440447575476323,JJ
31,sehat,3.1372416207392524,JJ
32,jendral,3.0473276933700797,JJ
33,mantan,3.0401205768842487,JJ
34,milenial,2.9873479861522334,JJ
35,bagus,2.944846186374962,JJ
36,damai,2.8364804716681316,JJ
37,gratis,2.7996512099649173,JJ
38,aktif,2.7148141842615074,JJ
39,khusus,2.6400189124058135,JJ
40,murah,2.5889557390909355,JJ
41,gagal,2.586438663629561,JJ
42,tua,2.5456487446896547,JJ
43,penuh,2.4870612454027907,JJ
44,ramai,2.4057719729785134,JJ
45,lokal,2.3993905722077793,JJ
46,kontroversial,2.388491463253937,JJ
47,pro,2.2730954925098095,JJ
48,suci,2.2195793887574706,JJ
49,putih,2.1037749562266734,JJ
50,yogyakarta,124.14576910073718,NN
51,mahasiswa,65.86737595133555,NN
52,kaukus,53.602695517820536,NN
53,jokowi,51.40817515201707,NN
54,disertasi,42.494443146757675,NN
55,ma,42.17342235517275,NN
56,fakultas,39.1124719228712,NN
57,pasang,38.32898480697487,NN
58,islam,38.235910085658354,NN
59,rektor,36.43652902469505,NN
60,ilmu,33.81127265671607,NN
61,selamat,30.608782920690953,NN
62,menang,30.372305731217494,NN
63,jogja,29.63773115670446,NN
64,ketua,27.832261934091843,NN
65,kampus,25.933035633501397,NN
66,seks,23.967999940010554,NN
67,gera,23.049086247740817,NN
68,kuliah,22.84434751825477,NN
69,didik,22.468583953169816,NN
70,deklarasi,22.095393810294876,NN
71,universitas,20.82469219805833,NN
72,fishum,20.738466757792143,NN
73,amp,20.656447723764963,NN
74,politik,20.57299414555336,NN
75,abdul,20.491540073742904,NN
76,lulus,19.40991821115164,NN
77,nuriyah,19.2313684245782,NN
78,acara,19.082423170830005,NN
79,al,18.6154577611854,NN
80,rupa,18.56168478123695,NN
81,pilpres,18.376751443415564,NN
82,beliau,18.126700695006406,NN
83,aziz,18.10529331979775,NN
84,kali,18.068627642189423,NN
85,guru,17.63432794152276,NN
86,pimpin,17.17115436192049,NN
87,negeri,16.910690990465877,NN
88,humaniora,16.79869143632172,NN
89,arah,16.537498957405145,NN
90,agama,16.471572550129277,NN
91,bina,16.44957485519639,NN
92,arif,16.105995141653498,NN
93,tongkeng,16.105995141653498,NN
94,wahid,15.986245636403472,NN
95,keluarga,15.642202954573095,NN
96,hasil,15.612590805391434,NN
97,masjid,15.586337749072936,NN
98,honor,15.52875487805232,NN
99,program,15.43161916346481,NN
100,alumni,68.87568164686182,VB
101,dukung,37.950077104503876,VB
102,amin,30.87743021316147,VB
103,tuju,20.992856226651053,VB
104,sinta,17.23735854022072,VB
105,suka,16.533853381548898,VB
106,hubung,15.016093623555806,VB
107,masuk,14.758228228613024,VB
108,buka,14.262875110688197,VB
109,kunjung,13.011564378407233,VB
110,syaiful,12.598468018719922,VB
111,gedung,11.9151366516546,VB
112,mbah,11.641338056853817,VB
113,haul,11.530036251143459,VB
114,tulis,10.62049223496824,VB
115,raih,10.084165807183092,VB
116,ajar,9.734621706191334,VB
117,selesai,9.703306323283488,VB
118,pramuka,9.537279617545645,VB
119,langgar,9.269611759295014,VB
120,uinsuka,9.230751690614165,VB
121,mui,8.618433213656141,VB
122,tinggal,8.477975500102204,VB
123,pikir,8.159078751338203,VB
124,kumpul,7.898526565852609,VB
125,temu,7.268175894235864,VB
126,nyai,7.023075859414866,VB
127,bawa,6.923544710453017,VB
128,kamusuka,6.8733983295432495,VB
129,lupa,6.776464257846807,VB
130,dra,6.767655984345935,VB
131,tunggu,6.420630052296476,VB
132,filsafat,6.303055002747248,VB
133,pbak,6.302438802686662,VB
134,latih,6.231414796018686,VB
135,lengkap,6.133426365607087,VB
136,segenap,5.868309519012916,VB
137,gabung,5.802134009216205,VB
138,desak,5.7740992537431515,VB
139,buah,5.468379513997873,VB
140,islami,5.31731224315885,VB
141,mandiri,5.242829536576035,VB
142,sambut,5.192816634311051,VB
143,lahir,4.9892761676516,VB
144,lepas,4.8015255337117395,VB
145,bedah,4.7964779305086775,VB
146,cinta,4.789842665094908,VB
147,lihat,4.685030841008611,VB
148,potong,4.58057148736817,VB
149,shinta,4.5511589311972935,VB
