,0
yogyakarta,124.14576910073718
alumni,68.87568164686182
mahasiswa,65.86737595133555
muda,56.87039046242118
kaukus,53.602695517820536
jokowi,51.40817515201707
alumnijogjasatukanindonesia,49.55239992986432
disertasi,42.494443146757675
ma,42.17342235517275
ruf,40.29161337605342
fakultas,39.1124719228712
pasang,38.32898480697487
islam,38.235910085658354
dukung,37.950077104503876
rektor,36.43652902469505
ilmu,33.81127265671607
yg,32.60017948935006
indonesia,32.55677806963368
amin,30.87743021316147
selamat,30.608782920690953
menang,30.372305731217494
jogja,29.63773115670446
ketua,27.832261934091843
doktor,27.103147436006
pustaka,25.99950749189663
nikah,25.952903679796673
kampus,25.933035633501397
seks,23.967999940010554
gelar,23.671010259705323
gera,23.049086247740817
kuliah,22.84434751825477
didik,22.468583953169816
deklarasi,22.095393810294876
dosen,21.16155343856203
tuju,20.992856226651053
dr,20.97360160580622
sosial,20.93326042735991
universitas,20.82469219805833
fishum,20.738466757792143
prof,20.661721143719024
amp,20.656447723764963
politik,20.57299414555336
abdul,20.491540073742904
halal,20.02728717009435
lulus,19.40991821115164
nuriyah,19.2313684245782
acara,19.082423170830005
al,18.6154577611854
rupa,18.56168478123695
pilpres,18.376751443415564
beliau,18.126700695006406
aziz,18.10529331979775
kali,18.068627642189423
guru,17.63432794152276
sinta,17.23735854022072
terima,17.226476594172954
pimpin,17.17115436192049
negeri,16.910690990465877
humaniora,16.79869143632172
arah,16.537498957405145
suka,16.533853381548898
agama,16.471572550129277
bina,16.44957485519639
arif,16.105995141653498
tongkeng,16.105995141653498
wahid,15.986245636403472
salah,15.9274365122356
nasional,15.863816332053178
keluarga,15.642202954573095
hasil,15.612590805391434
masjid,15.586337749072936
honor,15.52875487805232
program,15.43161916346481
budaya,15.37408052001427
ya,15.331169882334873
moga,15.237789748561484
kelompok,15.064039143269508
causa,15.017148695675296
hubung,15.016093623555806
masuk,14.758228228613024
kerja,14.739935343725074
jokowirakyatbersatu,14.725210421033841
kuat,14.599564579406167
kkn,14.500894398936627
giat,14.385880100389892
buka,14.262875110688197
jalan,14.224348998195156
gejayanmemanggil,14.146189368686764
dewan,14.062367670884345
hadir,13.863949424772288
daerah,13.809260371414922
wakil,13.416646686479767
sukses,13.32669295609954
sekolah,13.269698770189962
laku,13.159361993137756
anugerah,13.10552701224499
kma,13.059412863875108
utama,13.03994839592427
kunjung,13.011564378407233
syariah,12.856014892691396
teman,12.759420553746542
prodi,12.731753001071388
copot,12.723105551754687
aksi,12.646742745562465
religius,12.62091908628069
nasionalis,12.62091908628069
representasi,12.62091908628069
anshori,12.598468018719922
bahri,12.598468018719922
syaiful,12.598468018719922
pesantren,12.574360835273731
cssmora,12.487989057574959
hukum,12.456802234928423
teliti,12.361902911819586
lomba,12.319626365653152
tempuh,12.293910377721913
orang,12.024397192234872
angkat,11.931604626632986
gedung,11.9151366516546
basis,11.719787397671528
abdurrahman,11.65843295351842
joko,11.645749720100628
mbah,11.641338056853817
info,11.611471491957472
haul,11.530036251143459
widodo,11.464969984864284
komunikasi,11.462915099559709
formal,11.379764546695185
khcholilbisri,11.379764546695185
konon,11.379764546695185
sr,11.379764546695185
cholil,11.229353517227047
buku,10.98085234462031
september,10.837208085400007
nama,10.746509080014922
laksana,10.735187401794557
karya,10.70166490031298
tulis,10.62049223496824
juara,10.53026154059801
anak,10.46661298595092
diy,10.458674290818434
tim,10.453989037195553
kait,10.300226113897796
raih,10.084165807183092
dakwah,10.056183698883528
viral,9.989302609935182
tema,9.919746021409244
ugm,9.905071854667511
and,9.902984078456065
desember,9.831540323560521
seminar,9.813100888004557
presiden,9.803044434919432
muhammad,9.797320319865488
tingkat,9.777313412309285
iain,9.765426710556596
ajar,9.734621706191334
selesai,9.703306323283488
wib,9.666092481294845
studi,9.556904746852474
pramuka,9.537279617545645
padu,9.52281457154281
alhamdulillah,9.47117138076223
yudian,9.425704102631158
isi,9.425016958958647
april,9.347968148140094
langgar,9.269611759295014
kak,9.2622436654683
uinsuka,9.230751690614165
sabtu,9.20244606177509
jogjakarta,9.181015360545683
tanggal,9.155935667127622
lokasi,9.110154010666426
diskusi,9.080780069949062
media,9.070891568176583
senin,9.067265541559856
daftar,9.037038120981155
fokus,8.981221871876178
selenggara,8.969132905539613
yogya,8.96897862946346
bangsa,8.75902176456416
nilai,8.751022271254055
dpr,8.713206284506967
pilih,8.709648619664335
pusat,8.664154520235313
jl,8.652849113233547
uji,8.632072710825103
hc,8.626279532839362
mui,8.618433213656141
jurus,8.61108708924294
syariat,8.499384264107633
tinggal,8.477975500102204
rabu,8.459436174673483
an,8.419014302936908
kammi,8.391898510668245
ri,8.384554114284457
imam,8.378192769583052
ruang,8.335507237201586
kasih,8.219339604085096
via,8.197447217148927
pikir,8.159078751338203
gus,8.113520426624383
festival,8.11043632250991
kamis,8.100894095928375
bicara,8.022126974697791
kumpul,7.898526565852609
kenal,7.85677682864645
wilayah,7.815012622614306
nyata,7.80219691488492
bidang,7.649934117315018
aja,7.6353330092628235
uny,7.621388179167011
mahasiswi,7.621113668040459
wahyudi,7.601817845611667
mas,7.567921760313158
kembang,7.559771806098702
kh,7.532374706440796
bahasa,7.4703346116944545
ulama,7.453235444331353
cm,7.451874001321042
sains,7.4492659978520654
pra,7.4322946063473
langsung,7.425389340770231
sleman,7.407908407866225
mei,7.376734429486418
nih,7.367289347458978
hj,7.344519935270371
kontroversi,7.342545462267858
tau,7.335324008736769
nya,7.3345482012877135
zina,7.317623249691073
temu,7.268175894235864
baca,7.22571779944453
bakti,7.18954957581365
judul,7.126136461631594
malang,7.105380983416159
siang,7.031552293894317
nyai,7.023075859414866
anggota,6.999191840986895
debat,6.984192130335987
raya,6.9689343884244925
malam,6.95856833328184
bawa,6.923544710453017
us,6.904395974408223
doctor,6.894756798674245
doktoral,6.883727432572696
yuk,6.881013804815789
kamusuka,6.8733983295432495
video,6.855950847953888
manusia,6.84982780672107
hadap,6.79539666409723
the,6.79222571377961
urus,6.790729479765497
ptn,6.78094816045711
lupa,6.776464257846807
dra,6.767655984345935
salam,6.752618843244192
pascasarjana,6.743429039133718
massa,6.714086843941771
industri,6.713460934142909
sosiologi,6.70253234877161
wisuda,6.696017469924235
pidato,6.682556656110568
pagi,6.665010100874484
ga,6.651401547705211
gak,6.639640832151937
lolos,6.623671972511346
adab,6.6229542843622955
uang,6.614977785799786
muhammadiyah,6.548362815780254
ekonomi,6.543966222996173
kemnaker,6.5407053233724275
harga,6.5258944139317
workshop,6.509553539435091
ptkin,6.4304271705256015
follow,6.423437203489664
tunggu,6.420630052296476
semangat,6.383198187442777
min,6.382917320419021
kerjasama,6.334729511800389
filsafat,6.303055002747248
pbak,6.302438802686662
on,6.3017155187328395
rangka,6.283053801642282
tahan,6.264709260635137
uinsunankalijaga,6.260256940650626
negara,6.242170267562729
latih,6.231414796018686
jumat,6.2296549300812
akreditasi,6.225466330560588
pts,6.225326673077097
id,6.2251151543469385
halo,6.214055863065679
present,6.213168279974843
uinsukalib,6.202144775346283
fest,6.196020429108194
selasa,6.193485390950811
revolusi,6.17217036634812
semester,6.156181303979517
abdi,6.1454147024987265
teknologi,6.1388925225313375
lengkap,6.133426365607087
wisata,6.10548582709501
sahabat,6.08742484695702
ikhlas,6.07679490580426
wr,6.032470475058942
oktober,6.017389611869335
konsep,5.993180752664622
kalo,5.989608301031176
news,5.9221221246281575
segenap,5.868309519012916
fair,5.859332461626862
hormat,5.845154552544339
gabung,5.802134009216205
desak,5.7740992537431515
calon,5.75290079155626
sumur,5.742029601206845
literasi,5.739172181519433
titik,5.71610970893652
duta,5.716072423818159
masyarakat,5.69417932918278
yamin,5.6782393323256075
santri,5.673034656313168
qur,5.648483837493524
ukm,5.617756665835239
futsal,5.614555024105638
jurnal,5.590607707330536
hum,5.585048291637278
joglitfest,5.581671221174287
of,5.551098327888001
assalamualaikum,5.531293274620023
febi,5.530904431646794
faiz,5.515953790730774
humas,5.487758310888465
kimia,5.485155672054758
kaji,5.477524300483774
uinsk,5.475937151502554
buah,5.468379513997873
temen,5.466683951190284
simpang,5.451311938796497
dunia,5.42600761350144
sarjana,5.424124996374287
terimakasih,5.4194437584381845
ayo,5.410882699105803
rapat,5.406277830557123
ahmad,5.400168658202203
prestasi,5.364366112918625
milik,5.3624501625483125
kota,5.359274407335624
for,5.348181977861188
ushuluddin,5.347306727398676
alam,5.344095626463538
pamer,5.338003713577619
postingan,5.324139339041932
islami,5.31731224315885
salat,5.282965986118624
umat,5.278619336966422
jamaah,5.267483367220736
publikasi,5.2655341399581825
mandiri,5.242829536576035
kemarin,5.234057744904855
seksual,5.210756051996083
minggu,5.206638120165005
hall,5.202870274612236
seni,5.201441883032791
sambut,5.192816634311051
akademik,5.177403837736438
kiai,5.163038106442996
jakarta,5.1452628379150624
bisnis,5.128169261395949
abdullah,5.123409744917065
aamiin,5.114061355911938
berita,5.092860107346484
said,5.084536559059144
digital,5.07351351389828
maju,5.06946774422233
ig,5.067492828058807
wa,5.061615748244241
ilmiah,5.039646656270053
proudly,4.999483111184155
wb,4.99409579267934
lahir,4.9892761676516
ribu,4.976332143285542
international,4.953915516846394
sma,4.948994195216162
dirs,4.946202506504552
putra,4.943609113109091
gejayan,4.937536588287094
dokumentasi,4.918117429609433
islampos,4.915631171309582
november,4.913948447970621
milk,4.892720293122666
besok,4.884584883447432
sosialisasi,4.863419959946938
desa,4.851059184641574
udah,4.839068897342354
university,4.837118996508291
tafsir,4.824476587412965
tanggap,4.810388389880783
lepas,4.8015255337117395
bedah,4.7964779305086775
cinta,4.789842665094908
kpi,4.7857965684418815
pmii,4.783958061201123
ix,4.763955952347687
maaf,4.760630190900505
air,4.750693585294499
perosok,4.713326778987629
biologi,4.700954554509476
manajemen,4.697789397752058
lihat,4.685030841008611
tugas,4.67474569539508
convention,4.666919020652112
mari,4.652354127715064
ku,4.626319869218489
senat,4.6252401748294485
revisi,4.624796729469687
fak,4.621230917804978
pelintir,4.58057148736817
potong,4.58057148736817
surakarta,4.5624446469959405
jalur,4.560337864183065
shinta,4.5511589311972935
pekan,4.549958689357998
mohon,4.519833978703129
ramadhan,4.515191683132174
pd,4.509776622048203
laboratorium,4.507795763527347
rangkai,4.504688006572313
lembaga,4.495265165413794
putri,4.484524236116113
ubah,4.482547780743602
februari,4.48226894102307
cerita,4.480640355079419
perpusuinsuka,4.47667980834984
sih,4.465615901017207
adi,4.465500812637507
teknik,4.4629472675646085
sikap,4.459477579536018
publik,4.4550915204348565
bekerjasama,4.441286934201141
lancar,4.435526201350306
bantu,4.434111052256716
bebas,4.429443215903701
lantik,4.425651012767649
rt,4.424973269802469
lt,4.420662677556041
sidang,4.416225808236609
rp,4.413896089108082
ph,4.394219346184795
kukuh,4.393432629767106
dlm,4.389936005950861
cpns,4.3880992445853595
km,4.379586770184856
kepala,4.374535383906692
tolak,4.367537507856515
lantai,4.367183406669577
milu,4.359635805030074
kopma,4.356984230139296
capai,4.340271408867477
seleksi,4.34019078816702
sapa,4.337543797977296
assalamu,4.326164472141681
khidmah,4.319612073554785
pancasila,4.303077246053904
pionir,4.30249428448781
suara,4.288006249416725
agustus,4.282669523244841
damping,4.2791030890954
emas,4.275733845280621
ideal,4.269749971055258
manfaat,4.2686688860891016
warga,4.241567550980783
drs,4.2378083145322964
tuai,4.229563248947037
adik,4.220787984115659
difabel,4.21257605081261
foto,4.196565647909602
syarif,4.190757089621193
majelis,4.190567579024579
tutup,4.175435252790709
open,4.150317512889299
dg,4.147836277838684
alaikum,4.143746850522696
menteri,4.143462411412402
juli,4.13971284377099
nggak,4.122981721241453
bangun,4.110709332247503
nonmarital,4.101811233626284
bu,4.099787163353069
season,4.083740850307318
periode,4.0808437190855065
generasi,4.063359643714025
tarbiyah,4.062784853360633
heboh,4.0503229090014505
ketemu,4.0450169239070695
deket,4.038724250428876
repost,4.0377694076986375
manuskrip,4.036233820366401
tewas,4.023534887494816
pemuda,4.0134584052159505
racana,3.9979444340681503
fahruddin,3.953110923967672
informasi,3.937154650881498
cadar,3.931732269059656
twitter,3.9244215719272093
job,3.920279288781586
sembah,3.9108125835541365
at,3.901760709474498
upacara,3.90166622346897
by,3.900951873847031
siar,3.896052289982598
makan,3.8886897061441497
batas,3.884760984803966
era,3.8730324500484574
iya,3.860482657169073
limafutsal,3.8594882463895512
ligamahasiswa,3.8594882463895512
cjyc,3.8594882463895512
awalmasadepan,3.8594882463895512
ngaji,3.8558589026567884
in,3.843172142993198
cipta,3.8361813262839446
direktur,3.8349767081893003
muka,3.8317589115594144
teater,3.824075599330118
resmi,3.804994463840541
bener,3.8047626670516177
umara,3.8020955167442203
duet,3.8020955167442203
uii,3.799839423652967
no,3.796725212310043
sucipto,3.781946914304276
lingkung,3.779307144457411
coba,3.7604584337332727
sore,3.7533003495341357
syahrur,3.751482040565687
larang,3.7188410752846677
riset,3.7131480269162003
facebook,3.7027532543389596
rumah,3.7005032000317892
dasar,3.678432790856538
dharma,3.6697868519275514
hotel,3.6667619116522867
menristekdikti,3.6616197840818594
