,content
0,"Selamat dan sukses, pelantikan dan rakernas DPP ITHLA periode 2018/2019 di UIN Sunan Kalijaga Yogyakarta @ithlaindonesia 
ITHLA! Ha Ana Dza!

Video by : DPW III ITHLA Jateng-DIY https://t.co/13tpYmhvJK"
1,"Isi pidato K.H Said Aqil Siradj jg ditanggapi oleh Prof Machasin Giri Besar UIN Sunan Kalijaga.

Berikut pernyataan dari guru besar UIN Sunan Kalijaga, Prof Muhammad Machasin terkait pidato Kiai Said Aqil Siradj... https://t.co/0CwNBO4edE"
2,"Jadi aku ngegrab pulang ke rumah, kupikir emang mau lewat uin ternyata dianter ke simpang sunan kalijaga dong karna dipikir daerah situ. sa ae masnya :')"
3,Kaukus Muda Alumni UIN Sunan Kalijaga Yogyakarta Deklarasi Dukungan untuk Jokowi | Klik https://t.co/eUHy6Dw1BP https://t.co/ShQFScB3Uy
4,"Pidato Kiai Said Dipotong dan Dipelintir, Guru Besar UIN Sunan Kalijaga Angkat Bicara https://t.co/qWlXleJw98"
5,"Pidato Kiai Said Dipotong dan Dipelintir, Guru Besar UIN Sunan Kalijaga Angkat Bicara https://t.co/QRf2lLsHJx"
6,Alumni UIN Sunan Kalijaga Yogya Deklarasi Dukung Jokowi-Ma'ruf https://t.co/jQXJVVjMOb
7,Kaukus Muda Alumni UIN Sunan Kalijaga Yogyakarta Deklarasi Dukung Jokowi-Maruf Amin - https://t.co/W4K2tXsPgu
8,"Pidato Kiai Said Dipotong dan Dipelintir, Guru Besar UIN Sunan Kalijaga Angkat Bicara https://t.co/pZEcywyEh7"
9,"Pidato Kiai Said Dipotong dan Dipelintir, Guru Besar UIN Sunan Kalijaga Angkat Bicara https://t.co/IXNfwauaTn"
10,"Pidato Kiai Sa'id Dipotong dan Dipelintir, Guru Besar UIN Sunan Kalijaga Angkat Bicara https://t.co/L7tqHX0VnW"
11,"Pidato Kiai Said Dipotong dan Dipelintir, Guru Besar UIN Sunan Kalijaga Angkat Bicara https://t.co/st7G9YkQY8"
