,Word,POS
0,selamat,NN
1,sukses,NN
2,lantik,NN
3,rakernas,NN
4,dpp,NN
5,ithla,NN
6,periode,NN
7,uin,NN
8,sunan,NN
9,kalijaga,NN
10,yogyakarta,NN
11,ithla,NN
12,ha,NN
13,ana,NN
14,dza,NN
15,video,NN
16,by,FW
17,dpw,FW
18,iii,FW
19,ithla,FW
20,jateng,FW
21,diy,FW
22,isi,NN
23,pidato,NN
24,h,FW
25,said,FW
26,aqil,FW
27,siradj,FW
28,jg,FW
29,tanggap,FW
30,prof,FW
31,machasin,NN
32,giri,NN
33,uin,NN
34,sunan,NN
35,kalijaga,NN
36,nyata,JJ
37,guru,NN
38,uin,NN
39,sunan,NN
40,kalijaga,NN
41,prof,FW
42,muhammad,FW
43,machasin,FW
44,kait,FW
45,pidato,FW
46,kiai,FW
47,said,FW
48,aqil,FW
49,siradj,FW
50,ngegrab,SC
51,pulang,VB
52,rumah,NN
53,pikir,VB
54,emang,NN
55,uin,NN
56,nyata,JJ
57,anter,NN
58,simpang,NN
59,sunan,NN
60,kalijaga,NN
61,karna,NN
62,pikir,VB
63,daerah,NN
64,situ,SC
65,sa,VB
66,ae,FW
67,mas,FW
68,kaukus,NN
69,muda,JJ
70,alumni,VB
71,uin,NN
72,sunan,NN
73,kalijaga,NN
74,yogyakarta,NN
75,deklarasi,NN
76,dukung,VB
77,jokowi,NN
78,klik,NN
79,pidato,NN
80,kiai,VB
81,said,NN
82,potong,VB
83,pelintir,NN
84,guru,NN
85,uin,NN
86,sunan,NN
87,kalijaga,NN
88,angkat,NN
89,bicara,NN
90,pidato,NN
91,kiai,VB
92,said,NN
93,potong,VB
94,pelintir,NN
95,guru,NN
96,uin,NN
97,sunan,NN
98,kalijaga,NN
99,angkat,NN
100,bicara,NN
101,alumni,VB
102,uin,NN
103,sunan,NN
104,kalijaga,NN
105,yogya,NN
106,deklarasi,NN
107,dukung,VB
108,jokowi,NN
109,ma,NN
110,ruf,JJ
111,kaukus,NN
112,muda,JJ
113,alumni,VB
114,uin,NN
115,sunan,NN
116,kalijaga,NN
117,yogyakarta,NN
118,deklarasi,NN
119,dukung,VB
120,jokowi,NN
121,maruf,JJ
122,amin,VB
123,pidato,NN
124,kiai,VB
125,said,NN
126,potong,VB
127,pelintir,NN
128,guru,NN
129,uin,NN
130,sunan,NN
131,kalijaga,NN
132,angkat,NN
133,bicara,NN
134,pidato,NN
135,kiai,VB
136,said,NN
137,potong,VB
138,pelintir,NN
139,guru,NN
140,uin,NN
141,sunan,NN
142,kalijaga,NN
143,angkat,NN
144,bicara,NN
145,pidato,NN
146,kiai,VB
147,sa,NN
148,id,NN
149,potong,VB
150,pelintir,NN
151,guru,NN
152,uin,NN
153,sunan,NN
154,kalijaga,NN
155,angkat,NN
156,bicara,NN
157,pidato,NN
158,kiai,VB
159,said,NN
160,potong,VB
161,pelintir,NN
162,guru,NN
163,uin,NN
164,sunan,NN
165,kalijaga,NN
166,angkat,NN
167,bicara,NN
168,kunjung,VB
169,kopri,NN
170,komisariat,NN
171,uin,NN
172,sunan,NN
173,kalijaga,NN
174,sahabat,NN
175,sahabat,NN
176,universitas,NN
177,bangsa,NN
178,malaysia,NN
179,in,NN
180,ketua,NN
181,kopri,NN
182,komisariat,NN
183,uin,NN
184,sunan,NN
185,kalijaga,NN
186,pusat,NN
187,pimpin,NN
188,wanita,NN
189,tun,VB
190,fathimah,NN
191,hasyim,NN
192,pidato,NN
193,kiai,VB
194,sa,NN
195,id,NN
196,potong,VB
197,pelintir,NN
198,guru,NN
199,uin,NN
200,sunan,NN
201,kalijaga,NN
202,angkat,NN
203,bicara,NN
204,pidato,NN
205,kiai,VB
206,said,NN
207,potong,VB
208,pelintir,NN
209,guru,NN
210,uin,NN
211,sunan,NN
212,kalijaga,NN
213,angkat,NN
214,bicara,NN
215,resmi,JJ
216,niafs,FW
217,network,FW
218,of,FW
219,indonesia,FW
220,and,FW
221,australian,FW
222,family,FW
223,studies,FW
224,prof,FW
225,dr,FW
226,h,FW
227,yudian,NN
