,Word,Weight,POS
0,yogyakarta,124.14576910073718,NN
1,alumni,68.87568164686182,VB
2,mahasiswa,65.86737595133555,NN
3,muda,56.87039046242118,JJ
4,kaukus,53.602695517820536,NN
5,jokowi,51.40817515201707,NN
6,alumnijogjasatukanindonesia,49.55239992986432,PRP
7,disertasi,42.494443146757675,NN
8,ma,42.17342235517275,NN
9,ruf,40.29161337605342,JJ
10,fakultas,39.1124719228712,NN
11,pasang,38.32898480697487,NN
12,islam,38.235910085658354,NN
13,dukung,37.950077104503876,VB
14,rektor,36.43652902469505,NN
15,ilmu,33.81127265671607,NN
16,yg,32.60017948935006,FW
17,indonesia,32.55677806963368,FW
18,amin,30.87743021316147,VB
19,selamat,30.608782920690953,NN
20,menang,30.372305731217494,NN
21,jogja,29.63773115670446,NN
22,ketua,27.832261934091843,NN
23,doktor,27.103147436006,FW
24,pustaka,25.99950749189663,SC
25,nikah,25.952903679796673,FW
26,kampus,25.933035633501397,NN
27,seks,23.967999940010554,NN
28,gelar,23.671010259705323,FW
29,gera,23.049086247740817,NN
30,kuliah,22.84434751825477,NN
31,didik,22.468583953169816,NN
32,deklarasi,22.095393810294876,NN
33,dosen,21.16155343856203,FW
34,tuju,20.992856226651053,VB
35,dr,20.97360160580622,FW
36,sosial,20.93326042735991,JJ
37,universitas,20.82469219805833,NN
38,fishum,20.738466757792143,NN
39,prof,20.661721143719024,FW
40,amp,20.656447723764963,NN
41,politik,20.57299414555336,NN
42,abdul,20.491540073742904,NN
43,halal,20.02728717009435,FW
44,lulus,19.40991821115164,NN
45,nuriyah,19.2313684245782,NN
46,acara,19.082423170830005,NN
47,al,18.6154577611854,NN
48,rupa,18.56168478123695,NN
49,pilpres,18.376751443415564,NN
50,beliau,18.126700695006406,NN
51,aziz,18.10529331979775,NN
52,kali,18.068627642189423,NN
53,guru,17.63432794152276,NN
54,sinta,17.23735854022072,VB
55,terima,17.226476594172954,CD
56,pimpin,17.17115436192049,NN
57,negeri,16.910690990465877,NN
58,humaniora,16.79869143632172,NN
59,arah,16.537498957405145,NN
60,suka,16.533853381548898,VB
61,agama,16.471572550129277,NN
62,bina,16.44957485519639,NN
63,arif,16.105995141653498,NN
64,tongkeng,16.105995141653498,NN
65,wahid,15.986245636403472,NN
66,salah,15.9274365122356,JJ
67,nasional,15.863816332053178,FW
68,keluarga,15.642202954573095,NN
69,hasil,15.612590805391434,NN
70,masjid,15.586337749072936,NN
71,honor,15.52875487805232,NN
72,program,15.43161916346481,NN
73,budaya,15.37408052001427,NN
74,ya,15.331169882334873,NN
75,moga,15.237789748561484,NN
76,kelompok,15.064039143269508,NN
77,causa,15.017148695675296,NN
78,hubung,15.016093623555806,VB
79,masuk,14.758228228613024,VB
80,kerja,14.739935343725074,NN
81,jokowirakyatbersatu,14.725210421033841,CD
82,kuat,14.599564579406167,JJ
83,kkn,14.500894398936627,FW
84,giat,14.385880100389892,NN
85,buka,14.262875110688197,VB
86,jalan,14.224348998195156,NN
87,gejayanmemanggil,14.146189368686764,NN
88,dewan,14.062367670884345,NN
89,hadir,13.863949424772288,NN
90,daerah,13.809260371414922,NN
91,wakil,13.416646686479767,NN
92,sukses,13.32669295609954,NN
93,sekolah,13.269698770189962,NN
94,laku,13.159361993137756,NN
95,anugerah,13.10552701224499,NN
96,kma,13.059412863875108,NN
97,utama,13.03994839592427,JJ
98,kunjung,13.011564378407233,VB
99,syariah,12.856014892691396,X
100,teman,12.759420553746542,NN
101,prodi,12.731753001071388,NN
102,copot,12.723105551754687,FW
103,aksi,12.646742745562465,NN
104,religius,12.62091908628069,JJ
105,nasionalis,12.62091908628069,NN
106,representasi,12.62091908628069,NN
107,anshori,12.598468018719922,NN
108,bahri,12.598468018719922,NN
109,syaiful,12.598468018719922,VB
110,pesantren,12.574360835273731,NN
111,cssmora,12.487989057574959,NN
112,hukum,12.456802234928423,NN
113,teliti,12.361902911819586,NN
114,lomba,12.319626365653152,NN
115,tempuh,12.293910377721913,JJ
116,orang,12.024397192234872,NN
117,angkat,11.931604626632986,NN
118,gedung,11.9151366516546,VB
119,basis,11.719787397671528,NN
120,abdurrahman,11.65843295351842,NN
121,joko,11.645749720100628,NN
122,mbah,11.641338056853817,VB
123,info,11.611471491957472,NN
124,haul,11.530036251143459,VB
125,widodo,11.464969984864284,NN
126,komunikasi,11.462915099559709,NN
127,formal,11.379764546695185,JJ
128,khcholilbisri,11.379764546695185,NN
129,konon,11.379764546695185,NN
130,sr,11.379764546695185,NN
131,cholil,11.229353517227047,NN
132,buku,10.98085234462031,NN
133,september,10.837208085400007,FW
134,nama,10.746509080014922,NN
135,laksana,10.735187401794557,NN
136,karya,10.70166490031298,NN
137,tulis,10.62049223496824,VB
138,juara,10.53026154059801,NN
139,anak,10.46661298595092,NN
140,diy,10.458674290818434,FW
141,tim,10.453989037195553,NN
142,kait,10.300226113897796,FW
143,raih,10.084165807183092,VB
144,dakwah,10.056183698883528,NN
145,viral,9.989302609935182,JJ
146,tema,9.919746021409244,FW
147,ugm,9.905071854667511,FW
148,and,9.902984078456065,FW
149,desember,9.831540323560521,NN
150,seminar,9.813100888004557,NN
151,presiden,9.803044434919432,NN
152,muhammad,9.797320319865488,FW
153,tingkat,9.777313412309285,NN
154,iain,9.765426710556596,FW
155,ajar,9.734621706191334,VB
156,selesai,9.703306323283488,VB
157,wib,9.666092481294845,NN
158,studi,9.556904746852474,NN
159,pramuka,9.537279617545645,VB
160,padu,9.52281457154281,NN
161,alhamdulillah,9.47117138076223,NN
162,yudian,9.425704102631158,NN
163,isi,9.425016958958647,NN
164,april,9.347968148140094,NN
165,langgar,9.269611759295014,VB
166,kak,9.2622436654683,FW
167,uinsuka,9.230751690614165,VB
168,sabtu,9.20244606177509,FW
169,jogjakarta,9.181015360545683,NN
170,tanggal,9.155935667127622,NN
171,lokasi,9.110154010666426,NN
172,diskusi,9.080780069949062,NN
173,media,9.070891568176583,NN
174,senin,9.067265541559856,NNP
175,daftar,9.037038120981155,NN
176,fokus,8.981221871876178,NN
177,selenggara,8.969132905539613,NN
