,0
ya,137.28679488217338
yg,118.80298256931019
anak,108.54798572000605
muhammadiyah,100.56444661714846
mahasiswa,95.48228406215698
aja,88.65811824552293
uii,87.79443169475807
uny,82.84565020845598
wkwk,77.02868825040302
mas,76.01848483762787
kampus,75.04723508878433
ga,74.13492603394755
yogyakarta,69.77077238333531
ugm,67.81656361381265
deket,63.09256871534269
kuliah,61.628496891153546
gak,60.84979098241478
kirim,60.56631646488203
kalo,59.84706713941389
jogja,58.533092502849904
universitas,57.2179430693139
rumah,55.26667165735935
nih,51.22770283830344
dosen,50.29446939150596
nya,49.86688776213058
selamat,48.75698003603918
dunia,48.16982208329596
tau,47.928899851552124
video,47.17255661955994
amp,46.98709895606276
udah,45.279679215559305
sih,44.73144439720892
daerah,44.51417667836522
jalan,43.80195690261947
iya,42.64848890942295
makan,40.73126265812777
teman,40.46752352988927
muda,40.03567972761194
masuk,39.32161569530343
orang,38.86907681880292
uad,37.45769644960099
si,37.26459109055842
banget,37.221627979444115
mahasiswaumy,37.12052642468875
hi,36.96284042823423
bisnis,36.64687777984009
min,34.96916252020089
allah,33.96613228188193
wkwkwk,33.90733804376005
beritaumy,33.875374258146614
info,33.478341646410065
dah,33.210603013230966
dr,33.18782071214132
indonesia,33.11388720485941
ra,32.41303911760958
guru,32.141900575295125
ilmu,31.819482446434886
aby,31.59546424031195
alhamdulillah,31.44279616641896
alumni,30.690014993530188
moga,30.68748736718182
ni,30.652603828061768
kasih,29.946179585624687
yuk,29.827125658490743
terima,29.75434239570769
buka,29.627955943122657
daftar,29.132307133722737
sportorium,28.826452834655527
langsung,28.461398062731075
malam,28.241668616925793
semangat,28.041017079385792
ku,28.016956193796897
kelas,27.732580716080285
jam,27.688552134023265
enak,27.4547764512638
hasil,27.23525192632197
kak,27.17851160299308
nak,27.083391871249454
nama,27.067733894290704
tuh,26.92940397042256
ken,26.772326793836235
boys,26.645392158834284
neng,26.626495844538137
bantul,26.26492335614262
fakultas,26.22704390129996
program,26.004088133312326
bagus,25.898956302484716
yo,25.872299688165523
kkn,25.789179565165693
suka,25.167909583064162
jual,25.147602390712795
pas,25.145720980260844
gitu,25.041709385569877
kerja,24.88944296220687
tu,24.74568767708671
kaya,24.343094907263623
lupa,24.23667115577236
sehat,24.139493489163243
