,content
0,99 group: RUMAH KOST2AN BARU BERADA DI LINGKUNGAN KAMPUS UMY... https://t.co/pAF5HFjcqM
1,8 jam bersama @anugrahnq dan mbak @awkarin di gerbong 2 jurusan ekonomi umy https://t.co/pxZ40pWpLe
2,@Ahmadikhsan__ @naylaawdr Saya cinta kampus UMY
3,Bikin baju raya dgn kawan 😌 pakai duit hasil kerja tp bilang umy ndpayah laa nnt umy yg kasi duit 😢 alhamdulillah yaa allah
4,"""Sebaik baiknya manusia adalah yang paling bermanfaat bagi manusia lainnya"".
(HR. Ahmad)"
5,"UMY Jadi PT Pertama Lolos Evaluasi Double Degree Online 

Berita Terbaru - Ada Apa Hari Ini? - https://t.co/adOc0R72HY
#Pendidikan #SaveAhmadDhani #SulselPilihPrabowoSandi #CakIminMenangkanJokowi #instagramdown"
6,@akugabuttt @askmenfess Apakah kamu umy?
7,UMY Jadi PT Pertama Lolos Evaluasi Double Degree Online https://t.co/9xfTHYucSG
8,@marmuth13 Kenal sama ni cewek. inisialnya RE. Mahasiswi fak ekonomi UMY semester 6. Emang tobrut &amp; semok. Salah satu bacolan favorit ane dari SMA. Wkwk.
9,@IqwanHakim @slwism @501Awatni Klau anis wahida umy tahu ni mati aku 😂
10,"@fajarjun Sabar pak dosen, momen nya pas liburan soalnya kalo di UMY, jadi antara kajian sama pulang nya lebih milih pulang nya😂"
11,#BeritaUMY UMY Akan Lakukan Spesialisasi Untuk Penelitian dan Pengabdian Masyarakat https://t.co/DFhytjV4Sp https://t.co/PNpt7s8hb4
12,#BeritaUMY KKN UMY Tingkatkan Wawasan Budi Daya Lele Warga Penggung https://t.co/oC0dfiiB4k https://t.co/7GrARXJCg9
13,Ruko 2 lantai Pinggir Jalan Raya Aspal dalam Ringroad dekat Kampus UMY Yogya https://t.co/ZkGGQi1nhH https://t.co/qwLM09eaym
14,"#BeritaUMY Berikan Edukasi Sejak Dini, KKN PPM UMY Latih Anak Kelola Sampah https://t.co/wP2zfSJW7X https://t.co/2aY9V4IkAB"
15,Dosen UMY Beri Pelatihan Keuangan Syariah Di Perumahan Islami Banguntapan https://t.co/tE567kaSDq https://t.co/wFsgH6L5UI
16,"Pengurus Harian HIMIKA FKIK UMY periode 2018/2019.
Ketua HMJ : Muhammad Rais Shiddiq
Wakil HMJ : Bakhtawar Islamiridha
Sekretaris 1 : Merry Trilliana Puspita N
Sekretaris 2 : Natalia… https://t.co/4zCPKK9719"
17,"Strategi  kampanye dengan Negatif Campaign adalah kampanye dengan menyebarkan informasi kelemahan atau kekurangan lawan yang didukkung fakta,sehingga dapat menjadi refrensi pemilih, sedang bagi lawan dapat menjadi bahan insrukpeksi(Dosen Jurusan Ilmu Pemerintahan UMY- TUNJUNG S)."
18,"Strategi kampanye dengan Blac ccampaign sangat berbagahaya, karena menyebarkan informasi  kelemahan atau kekurangan  lawan tanpa didukung fakta alias fitnah:(Dosen Jurusan Ilmu Pemerintahan UMY- TUNJUNG SULAKSONO)."
19,Dosen Jurusan Ilmu Pemerintahan UMY- TUNJUNG SULAKSONO menyambut positif deklarasi dua pasangan Capres-Cawapres untuk tidak menyebarkan berita hoax atau  bohong dalam berkampanye.
20,Kegiatan kamanye dua pasangan  Capres-Cawapres 2019 bersama tim suksesnya yang saat ini semakin masif diharapkan dapat memberikan pendidikan demokkrasi yang lebih  mencerdaskkan dan mencerahkan:(Dosen Jurusan Ilmu Pemerintahan UMY- TUNJUNG SULAKSONO)..
21,"RT majalahSM ""UMY Lolos Evaluasi Double Degree Online Pertama di Indonesia https://t.co/Ol9uzNNk3c via majalahSM"""
22,UMY Lolos Evaluasi Double Degree Online Pertama di Indonesia https://t.co/IZ264cbRw1 via @majalahSM
23,KKN UMY 045 2019 💪 https://t.co/RcvZMcAEEd
24,"RT muhammadiyah ""Pertama Di Indonesia, UMY Sukses Lolos Evaluasi Double Degree Secara Online https://t.co/Oi1Sk1qBcZ https://t.co/m9bumanTft"""
