,Word,POS
0,group,VB
1,rumah,NN
2,kost,FW
3,an,FW
4,lingkung,FW
5,kampus,FW
6,umy,FW
7,jam,NN
8,mbak,VB
9,gerbong,VB
10,jurus,NN
11,ekonomi,NN
12,umy,FW
13,cinta,VB
14,kampus,FW
15,umy,FW
16,bikin,MD
17,baju,VB
18,raya,NN
19,dgn,NN
20,kawan,NN
21,pakai,VB
22,duit,NN
23,hasil,NN
24,kerja,NN
25,tp,FW
26,bilang,FW
27,umy,FW
28,ndpayah,FW
29,laa,FW
30,nnt,FW
31,umy,FW
32,yg,FW
33,kasi,NN
34,duit,NN
35,alhamdulillah,NN
36,yaa,NN
37,allah,NN
38,manusia,NN
39,manfaat,NN
40,manusia,NN
41,hr,FW
42,ahmad,FW
43,umy,FW
44,pt,FW
45,lolos,FW
46,evaluasi,NN
47,double,FW
48,degree,FW
49,online,FW
50,berita,NN
51,didik,NN
52,saveahmaddhani,VB
53,sulselpilihprabowosandi,NN
54,cakiminmenangkanjokowi,NNP
55,instagramdown,NNP
56,umy,FW
57,umy,FW
58,pt,FW
59,lolos,FW
60,evaluasi,NN
61,double,FW
62,degree,FW
63,online,FW
64,kenal,JJ
65,ni,VB
66,cewek,NN
67,inisial,FW
68,re,FW
69,mahasiswi,VB
70,fak,NN
71,ekonomi,NN
72,umy,FW
73,semester,FW
74,emang,FW
75,tobrut,FW
76,amp,FW
77,semok,FW
78,salah,JJ
79,bacolan,NN
80,favorit,NN
81,ane,FW
82,sma,FW
83,wkwk,FW
84,klau,SC
85,anis,NN
86,wahida,NN
87,umy,FW
88,ni,NN
89,mati,VB
90,sabar,VB
91,dosen,CD
92,momen,NN
93,nya,NN
94,pas,JJ
95,libur,VB
96,kalo,FW
97,umy,FW
98,kaji,VB
99,pulang,VB
100,nya,PRP
101,milih,VB
102,pulang,VB
103,nya,PRP
104,beritaumy,FW
105,umy,FW
106,laku,NN
107,spesialisasi,NN
108,teliti,NN
109,abdi,NN
110,masyarakat,NN
111,beritaumy,FW
112,kkn,FW
113,umy,FW
114,tingkat,NN
115,wawas,VB
116,budi,NN
117,daya,NN
118,lele,FW
119,warga,NN
120,gung,VB
121,ruko,NN
122,lantai,NN
123,pinggir,NN
124,jalan,NN
125,raya,NN
126,aspal,NN
127,ringroad,FW
128,kampus,FW
129,umy,FW
130,yogya,X
131,beritaumy,FW
132,ikan,VB
133,edukasi,NN
134,kkn,FW
135,ppm,FW
136,umy,FW
137,latih,VB
138,anak,NN
139,kelola,VB
140,sampah,NN
141,dosen,CD
142,umy,FW
143,latih,VB
144,uang,NN
145,syariah,X
146,rumah,NN
147,islami,VB
148,banguntapan,NN
149,urus,NN
150,himika,SC
151,fkik,VB
152,umy,FW
153,periode,NN
154,ketua,NN
155,hmj,FW
156,muhammad,FW
157,rais,FW
158,shiddiq,FW
159,wakil,FW
160,hmj,FW
161,bakhtawar,FW
162,islamiridha,FW
163,sekretaris,FW
164,merry,FW
165,trilliana,NN
166,puspita,NN
167,sekretaris,NNP
168,natalia,NNP
169,strategi,NN
170,kampanye,NN
171,negatif,JJ
172,campaign,FW
173,kampanye,FW
174,sebar,FW
175,informasi,NN
176,lemah,JJ
177,lawan,NN
178,didukkung,VB
179,fakta,NN
180,refrensi,NN
181,pilih,VB
182,lawan,NN
183,bahan,NN
184,insrukpeksi,NN
185,dosen,NN
186,jurus,NN
187,ilmu,NN
188,perintah,NN
189,umy,FW
190,tunjung,VB
191,strategi,NN
192,kampanye,FW
193,blac,FW
194,ccampaign,FW
195,berbagahaya,NN
196,sebar,NN
197,informasi,NN
198,lemah,JJ
199,lawan,NN
200,dukung,VB
201,fakta,NN
202,alias,NN
203,fitnah,NN
204,dosen,NN
205,jurus,NN
206,ilmu,NN
207,perintah,NN
208,umy,FW
209,tunjung,FW
210,sulaksono,FW
211,dosen,CD
212,jurus,NN
213,ilmu,NN
214,perintah,NN
215,umy,FW
216,tunjung,FW
217,sulaksono,FW
218,sambut,FW
219,positif,JJ
220,deklarasi,NN
221,pasang,NN
222,capres,NN
223,cawapres,NN
224,sebar,NN
225,berita,NN
226,hoax,FW
227,bohong,FW
228,kampanye,FW
229,giat,NN
230,kamanye,NN
231,pasang,NN
232,capres,NN
233,cawapres,NN
234,tim,NN
235,sukses,NN
236,masif,JJ
237,harap,VB
238,didik,NN
239,demokkrasi,NN
240,mencerdaskkan,VB
241,cerah,NN
242,dosen,NN
243,jurus,NN
244,ilmu,NN
245,perintah,NN
246,umy,FW
247,tunjung,FW
248,sulaksono,FW
249,rt,FW
250,majalahsm,FW
251,umy,FW
252,lolos,FW
253,evaluasi,NN
254,double,FW
255,degree,FW
256,online,FW
257,indonesia,NNP
258,via,NNP
259,majalahsm,NNP
260,umy,FW
261,lolos,FW
262,evaluasi,NN
263,double,FW
264,degree,FW
265,online,FW
266,indonesia,NNP
267,via,NNP
268,kkn,FW
269,umy,FW
270,rt,NN
271,muhammadiyah,NN
272,indonesia,NN
273,umy,FW
274,sukses,FW
275,lolos,FW
276,evaluasi,NN
277,double,FW
278,degree,FW
279,online,FW
280,indonesia,NN
281,umy,FW
282,sukses,FW
283,lolos,FW
284,evaluasi,NN
285,double,FW
286,degree,FW
287,online,FW
288,sekolah,NN
289,menit,NN
290,immawan,NN
291,raka,SC
292,imby,FW
293,ageng,FW
294,seno,FW
295,pk,FW
296,imm,FW
297,fpb,FW
298,umy,FW
299,wujud,FW
300,masyarakat,NN
301,madani,PR
302,nek,NN
303,arep,FW
304,gawe,FW
305,aq,FW
306,rekom,FW
307,burjo,FW
