,Word,Weight,POS
0,ya,137.28679488217338,FW
1,yg,118.80298256931019,FW
2,anak,108.54798572000605,NN
3,muhammadiyah,100.56444661714846,NN
4,mahasiswa,95.48228406215698,NN
5,aja,88.65811824552293,NN
6,uii,87.79443169475807,FW
7,uny,82.84565020845598,FW
8,wkwk,77.02868825040302,FW
9,mas,76.01848483762787,NN
10,kampus,75.04723508878433,FW
11,ga,74.13492603394755,NN
12,yogyakarta,69.77077238333531,CC
13,ugm,67.81656361381265,FW
14,deket,63.09256871534269,FW
15,kuliah,61.628496891153546,NN
16,gak,60.84979098241478,NN
17,kirim,60.56631646488203,VB
18,kalo,59.84706713941389,FW
19,jogja,58.533092502849904,FW
20,universitas,57.2179430693139,NN
21,rumah,55.26667165735935,NN
22,nih,51.22770283830344,FW
23,dosen,50.29446939150596,CD
24,nya,49.86688776213058,NN
25,selamat,48.75698003603918,JJ
26,dunia,48.16982208329596,NN
27,tau,47.928899851552124,FW
28,video,47.17255661955994,NN
29,amp,46.98709895606276,FW
30,udah,45.279679215559305,FW
31,sih,44.73144439720892,FW
32,daerah,44.51417667836522,NN
33,jalan,43.80195690261947,NN
34,iya,42.64848890942295,NN
35,makan,40.73126265812777,VB
36,teman,40.46752352988927,NN
37,muda,40.03567972761194,JJ
38,masuk,39.32161569530343,VB
39,orang,38.86907681880292,NN
40,uad,37.45769644960099,FW
41,si,37.26459109055842,NN
42,banget,37.221627979444115,FW
43,mahasiswaumy,37.12052642468875,FW
44,hi,36.96284042823423,FW
45,bisnis,36.64687777984009,NN
46,min,34.96916252020089,NN
47,allah,33.96613228188193,NN
48,wkwkwk,33.90733804376005,JJ
49,beritaumy,33.875374258146614,FW
50,info,33.478341646410065,VB
51,dah,33.210603013230966,FW
52,dr,33.18782071214132,FW
53,indonesia,33.11388720485941,NNP
54,ra,32.41303911760958,FW
55,guru,32.141900575295125,NN
56,ilmu,31.819482446434886,NN
57,aby,31.59546424031195,FW
58,alhamdulillah,31.44279616641896,NN
59,alumni,30.690014993530188,NN
60,moga,30.68748736718182,NN
61,ni,30.652603828061768,VB
62,kasih,29.946179585624687,FW
63,yuk,29.827125658490743,NN
64,terima,29.75434239570769,VB
65,buka,29.627955943122657,VB
66,daftar,29.132307133722737,FW
67,sportorium,28.826452834655527,FW
68,langsung,28.461398062731075,RB
69,malam,28.241668616925793,NN
70,semangat,28.041017079385792,NN
71,ku,28.016956193796897,NN
72,kelas,27.732580716080285,NN
73,jam,27.688552134023265,NN
74,enak,27.4547764512638,NN
75,hasil,27.23525192632197,NN
76,kak,27.17851160299308,FW
77,nak,27.083391871249454,NN
78,nama,27.067733894290704,NN
79,tuh,26.92940397042256,VB
80,ken,26.772326793836235,FW
81,boys,26.645392158834284,FW
82,neng,26.626495844538137,FW
83,bantul,26.26492335614262,FW
84,fakultas,26.22704390129996,NN
85,program,26.004088133312326,FW
86,bagus,25.898956302484716,JJ
87,yo,25.872299688165523,FW
88,kkn,25.789179565165693,FW
89,suka,25.167909583064162,VB
90,jual,25.147602390712795,VB
91,pas,25.145720980260844,JJ
92,gitu,25.041709385569877,SC
93,kerja,24.88944296220687,NN
94,tu,24.74568767708671,NN
95,kaya,24.343094907263623,JJ
96,lupa,24.23667115577236,WH
97,sehat,24.139493489163243,JJ
98,iki,24.13413521130498,VB
99,sampe,24.004647455993535,NN
100,kunjung,23.98217440005878,VB
