,content
0,"Ada adik iship di rumah sakit saya lulusan FK Atmajaya. Biaya SPP 30an juta per semester, uang masuk ratusan juta, belum lagi biaya lain lain. 

Mahal amat modal untuk sekedar 'menolong orang' 🤔"
1,@askmenfess Atmajaya Jogja ada nder
2,Hbd newt scmandaaaaa https://t.co/j6307FLXb5
3,"16.34 Arus lalin di Tl Atmajaya Jakut terpantau ramai lancar https://t.co/6oLq2ktxrF
@TMCPoldaMetro"
4,@okkyandrianlola mana bang
5,"Fakta Tragedi Semanggi - analisis hukum, sosial politik dan moral || univ Atmajaya || 229 Hal || Harga 50.000,- || jika  berminat,  Silahkan pesan via ~inbox atau via WA : 0818124243 ~… https://t.co/8msRcjMXMt"
6,@Atmajaya_DW BUAHAHAHAHAHA SEDI YA ALLAH
7,@manskipapap Young k alias brian kang anak atmajaya
8,"@Atmajaya_DW Iyaaaaa hft, sedih bet, ig update ini itu tp bukan apa yg kita pengen.....
Emang ya, kita ga selalu dapat apa yg kita mau....."
9,@killerqweennn @nabila_nuha di atmajaya juga pernah. tp mobil. pas ditanyain kenapa. jawabnya biar bagus enak diliat..
10,Menghadiri Orasi Guru Besar Prof dianawaturangi. Guru Besar ke 19 Unika Atmajaya. Semoga ilmu yang diperoleh bermanfaat bagi pengembangan ilmu biotechnology dan juga bagi masyarakat. @… https://t.co/mmrD3KiSAZ
11,"Mbiyen sblom warung ijo mbarek hits.. era akhir 90-awal 2000an ada warung biru/pak bisu di pojok kampus atmajaya babarsari.. trz di nologaten jg ada.. wetan ndalan sblom kuburan.. 
#Omben2Jogja"
12,"@educationfess Ugm, atmajaya, ui, unpad, ummalang/solo"
13,Benzema pakai batik nih cc @MadridKaskus https://t.co/9hDrID4R9x
14,@HarryRidwan_Ay Ini yang buat saya gak habis pikir.. Dimana kah letak keadilan itu ???
15,CHRP 45 atmajaya gathering https://t.co/LkKRgu6M2y
16,Saya suka video @YouTube https://t.co/LkKRgu6M2y CHRP 45 ATMAJAYA GATHERING AT CHENTINI RESORT 2019
17,"@askmenfess hukum aja. aku liat atmajaya bagus jugaa! mereka sering lomba"" gituuu /seringliat"
18,Mantap damin wkwkwkwkwk https://t.co/3XbzxmGeF9
19,Semoga bisa samaan waktunya.
20,"Tgl: 25/01/2019

Dijual Rumah Greencove lux ada pool BSD Serpong 500/360 - GC020

&gt; 1-3 Km ke mall AEON/ ICE/ Kampus Prasetiya Mulya / ITC BSD / GIANT
&gt; 3-5 Km ke kampus Atmajaya BSD / Pasar Modern 2 BSD / Tol Jkt-Serpong / Sekolah Jakarta Nanyang School…https://t.co/TbEbUPBCkr"
21,"Alia (@Jscmila) &amp; Abel (#biancahello) saat ON AIR bareng Deva Atmajaya di jeje tune in @jejeradiosby 📻 menceritakan pengalaman syuting film Mata Batin 2 📸

#matabatin2
#fearthedead
#hitmakerstudios
#jejeradiosby
#hitsupyourlife
#jejetunein https://t.co/ktXmuAdGvK"
22,@sgheaindah @Atmajaya_DW Belom ada kan... Beda sam ajayy
23,Hobi bener menang 4-2 https://t.co/5EK8wFuPhN
24,@vionnadinda Tergantung. Kalo partisi installan nya di C atau E aman D nya. Tp kalo partisi nya di D... Jangan stress pula ya...
25,@vionnadinda Ya install ulang solusinya mah...
26,"@vionnadinda Atau buka pake safe mode, ntar masuk ke restore point"
27,@vionnadinda Install ulang tu mbong
28,"@sgheaindah @Atmajaya_DW Yee saling dulu duluan nih wkkw, tikung ahh"
29,"Fakta Tragedi Semanggi - analisis hukum, sosial politik dan moral || univ Atmajaya || 229 Hal || Harga 50.000,- || jika  berminat,  Silahkan pesan via ~inbox atau via WA : 0818124243 ~… https://t.co/ZjGFEczn79"
30,"Kuliahan yang buka cuma Atmajaya sama satulagi. Sangking paniknya gue iyain’ dua2nya. Walau akhirnya yang di Atmajaya angus 😂. Kayanya’ klo search nama panjang di web atma,gue ditulis mahasiswa DO. 😂😩"
31,"@sgheaindah @Atmajaya_DW Wah betul, segerakan jay apa yang harus disegerakan"
32,"@lidtamazu Yo itu, bantuak lah abis ide se sutradara nyo mancari villain' goals nyo tu wkwk"
33,@lidtamazu Flash lah mulai abstrak caritonyo
34,"@syahrir81 @BPJSKesehatanRI Sama Pak, saya juga belum mendapat jawaban sama sekali, sudah 2x saya ajukan pertanyaan.. Hmm"
35,@gie_nakayah @BPJSKesehatanRI Iya ya 😅😅😅 kita bayar tiap bulan tapi pas ke IGD masih di mintai biaya.. Heran !
36,"KOMPOR ROKET (4): 

REKTOR Unidayan, Ir H LM Sjamsul Qamar MT menerima kunjungan salah seorang alumni Unidayan, Toni Atmajaya yang memperkenalkan inovasi Kompor Roket. 

#Unidayan
#SjamsulQamat https://t.co/D5utMCo4ga"
37,"KOMPOR ROKET (3): 

REKTOR Unidayan, Ir H LM Sjamsul Qamar MT menerima kunjungan salah seorang alumni Unidayan, Toni Atmajaya yang memperkenalkan inovasi Kompor Roket. 

#Unidayan
#SjamsulQamat https://t.co/LYeWHJDizS"
38,"KOMPOR ROKET (2): 

REKTOR Unidayan, Ir H LM Sjamsul Qamar MT menerima kunjungan salah seorang alumni Unidayan, Toni Atmajaya yang memperkenalkan inovasi Kompor Roket. 

#Unidayan
#SjamsulQamat https://t.co/nOepFwhUag"
39,"KOMPOR ROKET (1): 

REKTOR Unidayan, Ir H LM Sjamsul Qamar MT menerima kunjungan salah seorang alumni Unidayan, Toni Atmajaya yang memperkenalkan inovasi Kompor Roket. 

#Unidayan
#SjamsulQamat https://t.co/jrxBbI8a4R"
40,"*KONSOLIDASI ALUMNI ATMAJAYA*
*Para Alumni Lintas Fakultas dan Lintas Angkatan (Ang 70an,  80an, 90an sampai 2013)*

Hari/Tanggal:  _*Jumat/25 Januari 2019*_
Pukul:  19.00 s/d… https://t.co/lvqw4gp4xE"
41,"KONSOLIDASI ALUMNI ATMAJAYA
Alumni Lintas Fakultas, Lintas Angkatan. (Ang 70an, 80an, 90an, sampai 2013) https://t.co/5cu7PsKJZI"
42,"KONSOLIDASI ALUMNI ATMAJAYA - Alumni Lintas Fakultas dan Lintas Angkatan (Ang 70an,  80an, 90an sampai 2013) https://t.co/8Ij0aZjCcC"
43,"@Atmajaya_DW @sgheaindah Kaga ada, makanya kita lagi nyari.. Seret kan tanggal tua ga ada stok makanan"
44,Sepulang Sekolah adalah komik webtoon paling kreatif yang pernah gue baca.
45,@sgheaindah @Atmajaya_DW Pejabat doi gatau dia abis keterima pns?
46,@sgheaindah @Atmajaya_DW Yang dua kemaren dikemanain?
47,"Fakta Tragedi Semanggi - analisis hukum, sosial politik dan moral || univ Atmajaya || 229 Hal || Harga 50.000,- || jika  berminat,  Silahkan pesan via ~inbox atau via WA : 0818124243 ~… https://t.co/Q0b96h2pki"
48,@sgheaindah @Atmajaya_DW Sebwah kode keras
49,"Selamat datang dan selamat bergabung siswa dari SMK KESEHATAN PANCA ATMAJAYA

Bagi kalian yang masih bingung mau kuliah dimana, ayo datang dan daftarkan diri kalian di kampus kami yang… https://t.co/W5AHEphcvM"
50,"@arimahli Haha pak Sukirno jugs, asal Pram jng stelan maba Atmajaya sa hahahaeeee"
51,"SURABAYA!!! Hari ini, Jumat (25/1) Pkl 12.00 WIB para cast Mata Batin 2 akan ON AIR  bareng Deva Atmajaya di jeje tune in @jejeradiosby 📻

Stay tune and streaming temen jeje 🙌

#matabatin2
#fearthedead
#hitmakerstudios
#jejeradiosby
#hitsupyourlife
#jejetunein https://t.co/cvTaoC7XcN"
52,Ramos bukan bek kaleng2 memang 👏👏 https://t.co/qDu0xrY16a
53,Atmajaya atau Tel U ?
54,#infoLALIN - @TMCPoldaMetro : Arus lalu lintas di Traffic Light Atmajaya Jakut terpantau ramai lancar. https://t.co/HaWDBvzcJK
55,16.24 Arus lalu lintas di Traffic Light Atmajaya Jakut terpantau ramai lancar. https://t.co/T7ED9rhVMg
56,Mainkan. https://t.co/fGcXDTZQDy
57,"Tgl : 24/01/2019

Dijual RUKAN Icon Horizon Broadway Rapi Renov Besar BSD City 339/450

&gt;&gt; Komplek THE ICON BSD Serpong (didalam komplek perumahan)
&gt; 1-3 Km ke Univ. Atmajaya BSD / Pasar Modern 2 BSD / Stasiun Kereta Api Cisauk / The Breeze / Green Office…https://t.co/pVWE5dR026"
58,"Gimana ?? Tertarik dengan RMO ? Kuylah, mari kita ketemu di  Universitas Atmajaya, Jakarta tahun ini. Siapkan dirimu, hanya yang  terbaik dari yang terbaik yang akan menjadi juara-juara RMO."
59,#infoLALIN - @TMCPoldaMetro : Situasi lalin di Tl. Atmajaya Pluit Jakut terpantau ramai lancar https://t.co/FfroTSahzX
60,16.34 Situasi lalin di Tl. Atmajaya Pluit Jakut terpantau ramai lancar https://t.co/9evtHfILKn
61,"Alhamdulillah wynnetheresa dan temen2nya di kampus Atmajaya BSD seneng dengan mie ayamnya rumahmiebsd . 

#kesibukantadipagi 
#rumahmiebsd 
#mieayam
#rumahmiebsd… https://t.co/18MwGl3boI"
62,@educationfess Unika atmajaya jkt baguss
63,07.34 Situasi arus lalu lintas di Traffic Light Atmajaya Jakut terpantau ramai lancar. https://t.co/qTS23dmWSZ @TMCPoldaMetro
64,@hmdfthn @Fadhlirama Masih bagusan starwars cuy dibanding ready player one
65,Anjir Paspampres 😂😂😂😂😂 https://t.co/SJmzVo1ykl
66,HAJI KARIM BENZEMA MANA WOYYYYYYY YA AMPUN https://t.co/Hjo8RXrGBe
67,@LuckyFitriaCD m..mc 7r[ mkmhcbmk
68,@LuckyFitriaCD @AdventNumber m7 %kokmb4
69,@LuckyFitriaCD b bmkoc 7 rm.9
70,Infinity war yuhuuu https://t.co/6K6PFzzroA
71,"Hampir seluruh alumni perguruan tinggi di seluruh Indonesia mulai dari UGM, ITS, ITB, IPB, UNS, Unair, Undip, Universitas Padjajaran, Parahiyangan, Universitas Trisakti, Atmajaya dan berbagai perguruan tinggi lainnya bergabung memeriahkan acara itu. #JokowiMantapBetul"
72,@Atmajaya_DW Mungkin pas ngaji di tpa sampe depan gerbang tpa nya nih jay. Kegoda cilor
73,@Atmajaya_DW Terbaik yakan😂
74,@Atmajaya_DW Mungkin mereka belum dibuka kan pintu hatinya jay..
75,"@Atmajaya_DW Sebagai kaum yg dituju saya hanya berserah, memang itu sudah menjadi resiko bila ikut denganNya.. Sudah tertuang di Kitab Suci..."
76,"@politikpanas buat hoax, konfersi pers, ketahuan, minta maaf :) hmmm"
77,Selalu terjadi setiap kali pulang ngampus bawa motor dari ujung limau manis sampai ujung lubuk begalung https://t.co/sOChBbKoMB
78,Baru sadar kalau pemeran robin ini mirip sekali sama Antoine Griezmann. Beda gaya rambut aja.
79,@lidtamazu @androar Wkwkwk
80,Bersyukuuurr bgt nemu buku asli teori semiotika peirce di perpus atmajaya. Terluuuv dah emg tuh perpus 😘😘😘
