,Word,POS
0,adik,NN
1,iship,NN
2,rumah,NN
3,sakit,NN
4,lulus,NN
5,fk,NN
6,atmajaya,NN
7,biaya,NN
8,spp,NN
9,an,NN
10,juta,CD
11,semester,NN
12,uang,NN
13,masuk,VB
14,ratus,NN
15,juta,CD
16,biaya,NN
17,mahal,JJ
18,modal,NN
19,dar,NN
20,tolong,VB
21,orang,NN
22,atmajaya,NN
23,jogja,NN
24,nder,FW
25,hbd,FW
26,newt,FW
27,scmandaaaaa,FW
28,arus,NN
29,lalin,NN
30,tl,NN
31,atmajaya,NN
32,jakut,NN
33,pantau,CC
34,ramai,JJ
35,lancar,JJ
36,bang,VB
37,fakta,NN
38,tragedi,NN
39,semanggi,NN
40,analisis,NN
41,hukum,NN
42,sosial,JJ
43,politik,NN
44,moral,NN
45,univ,NN
46,atmajaya,NN
47,harga,NN
48,minat,NN
49,silah,NN
50,pesan,NN
51,via,NNP
52,inbox,NNP
53,via,NNP
54,wa,NNP
55,dw,NN
56,buahahahahaha,NN
57,sedi,NN
58,ya,NN
59,allah,NN
60,young,VB
61,alias,NN
62,brian,NN
63,kang,NN
64,anak,NN
65,atmajaya,PRP
66,dw,FW
67,iyaaaaa,FW
68,hft,FW
69,sedih,FW
70,bet,FW
71,ig,FW
72,update,FW
73,tp,FW
74,yg,FW
75,ken,FW
76,emang,FW
77,ya,FW
78,ga,FW
79,yg,FW
80,nuha,NN
81,atmajaya,NN
82,tp,NN
83,mobil,NN
84,pas,NN
85,ditanyain,JJ
86,biar,JJ
87,bagus,JJ
88,enak,NN
89,liat,NN
90,hadir,VB
91,orasi,NN
92,guru,NN
93,prof,NN
94,dianawaturangi,VB
95,guru,NN
96,unika,SC
97,atmajaya,VB
98,moga,SC
99,ilmu,VB
100,manfaat,NN
101,kembang,NN
102,ilmu,FW
103,biotechnology,FW
104,masyarakat,NN
105,mbiyen,NN
106,sblom,NN
107,warung,NN
108,ijo,NN
109,mbarek,NN
110,hits,NN
111,era,NN
112,an,NN
113,warung,NN
114,biru,NN
115,bisu,NN
116,pojok,NN
117,kampus,NN
118,atmajaya,NN
119,babarsari,NN
120,trz,FW
121,nologaten,FW
122,jg,FW
123,wetan,NN
124,ndalan,NN
125,sblom,NN
126,kubur,NN
127,omben,NN
128,jogja,NN
129,ugm,NN
130,atmajaya,NN
131,ui,NN
132,unpad,FW
133,ummalang,FW
134,solo,FW
135,benzema,NN
136,pakai,VB
137,batik,NN
138,nih,FW
139,cc,FW
140,ay,FW
141,gak,NN
142,habis,JJ
143,pikir,VB
144,kah,NN
145,letak,NN
146,adil,JJ
147,chrp,NN
148,atmajaya,NN
149,gathering,FW
150,suka,VB
151,video,NN
152,chrp,NN
153,atmajaya,NN
154,gathering,FW
155,at,FW
156,chentini,FW
157,resort,FW
158,hukum,NN
159,aja,NN
160,liat,NN
161,atmajaya,NN
162,bagus,JJ
163,jugaa,NN
164,lomba,NN
165,gituuu,NN
166,seringliat,NN
167,mantap,RB
168,damin,VB
169,wkwkwkwkwk,NN
170,moga,SC
171,tgl,NN
172,jual,VB
173,rumah,NN
174,greencove,FW
175,lux,FW
176,pool,FW
177,bsd,FW
178,serpong,FW
179,gc,FW
180,gt,FW
181,km,FW
182,mall,FW
183,aeon,FW
184,ice,FW
185,kampus,FW
186,prasetiya,FW
187,mulya,FW
188,itc,FW
189,bsd,FW
190,giant,FW
191,gt,FW
192,km,FW
193,kampus,FW
194,atmajaya,FW
195,bsd,FW
196,pasar,NN
197,modern,FW
198,bsd,FW
199,tol,FW
200,jkt,FW
201,serpong,VB
202,sekolah,NN
203,jakarta,NN
204,nanyang,NN
205,school,JJ
206,alia,NN
207,amp,FW
208,abel,FW
209,biancahello,FW
210,on,FW
211,air,NN
212,bareng,NN
213,deva,NN
214,atmajaya,NN
215,jeje,FW
216,tune,FW
217,in,FW
218,cerita,NN
219,alam,NN
220,syuting,NN
221,film,NN
222,mata,NN
223,batin,NN
224,matabatin,NN
225,fearthedead,FW
226,hitmakerstudios,FW
227,jejeradiosby,FW
228,hitsupyourlife,FW
229,jejetunein,FW
230,dw,NN
231,bom,NN
232,beda,VB
233,sam,NN
234,ajayy,FW
235,hobi,NN
236,bener,NN
237,menang,VB
238,gantung,VB
239,kalo,NN
240,partisi,NN
241,installan,NN
242,nya,NN
243,aman,JJ
244,nya,PRP
245,tp,VB
246,kalo,NN
247,partisi,NN
248,nya,NN
249,stress,FW
250,ya,UH
251,ya,NN
252,install,NN
253,ulang,VB
254,solusi,NN
255,mah,JJ
256,buka,VB
257,pake,FW
258,safe,FW
259,mode,FW
260,ntar,FW
261,masuk,FW
262,restore,FW
263,point,FW
264,install,NN
265,ulang,VB
266,tu,NN
267,mbong,VB
268,dw,FW
269,yee,FW
270,duluan,FW
271,nih,FW
272,wkkw,FW
273,tikung,FW
274,ahh,FW
275,fakta,NN
276,tragedi,NN
277,semanggi,NN
278,analisis,NN
279,hukum,NN
280,sosial,JJ
281,politik,NN
282,moral,NN
283,univ,NN
284,atmajaya,NN
285,harga,NN
286,minat,NN
287,silah,NN
288,pesan,NN
289,via,NNP
290,inbox,NNP
291,via,NNP
292,wa,NNP
293,kuliah,NN
294,buka,VB
295,atmajaya,NN
296,satulagi,NN
297,sangking,FW
298,panik,FW
299,gue,FW
300,iyain,FW
301,nya,NN
302,atmajaya,NN
303,angus,RB
304,kaya,JJ
305,klo,NN
306,search,NN
307,nama,NN
308,web,NN
309,atma,NN
310,gue,FW
311,tulis,VB
312,mahasiswa,NN
313,do,NNP
314,dw,FW
315,jay,FW
316,yo,NN
317,bantuak,NN
318,abis,NN
319,ide,NN
320,sutradara,NN
321,nyo,NN
322,mancari,NN
323,villain,FW
324,goals,FW
325,nyo,FW
326,tu,FW
327,wkwk,FW
328,flash,FW
329,abstrak,FW
330,caritonyo,FW
331,aju,VB
332,hmm,NN
333,nakayah,NN
334,iya,NN
335,ya,NN
336,bayar,VB
337,pas,NN
338,igd,NN
339,biaya,NN
340,heran,NN
341,kompor,NN
342,roket,NN
343,rektor,NN
344,unidayan,NN
345,ir,FW
346,lm,FW
347,sjamsul,FW
348,qamar,FW
349,mt,FW
350,terima,VB
351,kunjung,NN
352,salah,JJ
353,orang,NN
354,alumni,NN
355,unidayan,NN
356,ton,NND
357,atmajaya,NN
358,kenal,JJ
359,inovasi,NN
360,kompor,NN
361,roket,NN
362,unidayan,NN
363,sjamsulqamat,JJ
364,kompor,NN
365,roket,NN
366,rektor,NN
367,unidayan,NN
368,ir,FW
369,lm,FW
370,sjamsul,FW
371,qamar,FW
372,mt,FW
373,terima,VB
374,kunjung,NN
375,salah,JJ
376,orang,NN
377,alumni,NN
378,unidayan,NN
379,ton,NND
380,atmajaya,NN
381,kenal,JJ
382,inovasi,NN
383,kompor,NN
384,roket,NN
385,unidayan,NN
386,sjamsulqamat,JJ
387,kompor,NN
388,roket,NN
389,rektor,NN
390,unidayan,NN
391,ir,FW
392,lm,FW
393,sjamsul,FW
394,qamar,FW
395,mt,FW
396,terima,VB
397,kunjung,NN
398,salah,JJ
399,orang,NN
400,alumni,NN
401,unidayan,NN
402,ton,NND
403,atmajaya,NN
404,kenal,JJ
405,inovasi,NN
406,kompor,NN
407,roket,NN
408,unidayan,NN
409,sjamsulqamat,JJ
410,kompor,NN
411,roket,NN
412,rektor,NN
413,unidayan,NN
414,ir,FW
415,lm,FW
416,sjamsul,FW
417,qamar,FW
418,mt,FW
419,terima,VB
420,kunjung,NN
421,salah,JJ
422,orang,NN
423,alumni,NN
424,unidayan,NN
425,ton,NND
426,atmajaya,NN
427,kenal,JJ
428,inovasi,NN
429,kompor,NN
430,roket,NN
431,unidayan,NN
432,sjamsulqamat,JJ
433,konsolidasi,NN
434,alumni,NN
435,atmajaya,NN
436,alumni,NN
437,lintas,NN
438,fakultas,NN
439,lintas,NN
440,angkat,NN
441,ang,NN
442,an,FW
443,an,FW
444,an,FW
445,tanggal,NN
446,jumat,NN
447,januari,VB
448,konsolidasi,NN
449,alumni,NN
450,atmajaya,NN
451,alumni,NN
452,lintas,NN
453,fakultas,NN
454,lintas,NN
455,angkat,NN
456,ang,NN
457,an,FW
458,an,FW
459,an,FW
460,konsolidasi,NN
461,alumni,NN
462,atmajaya,NN
463,alumni,NN
464,lintas,NN
465,fakultas,NN
466,lintas,NN
467,angkat,NN
468,ang,NN
469,an,FW
470,an,FW
471,an,FW
472,dw,NN
473,kaga,NN
474,nyari,NN
475,seret,NN
476,tanggal,NN
477,tua,JJ
478,ga,NN
479,stok,NN
480,makan,VB
481,pulang,VB
482,sekolah,NN
483,komik,NN
484,webtoon,FW
485,kreatif,FW
486,gue,FW
487,baca,FW
488,dw,NN
489,jabat,NN
490,doi,NN
491,gatau,CC
492,abis,NN
493,terima,VB
494,pns,NNP
495,dw,NN
496,kemaren,NN
497,dikemanain,JJ
498,fakta,NN
499,tragedi,NN
500,semanggi,NN
501,analisis,NN
502,hukum,NN
503,sosial,JJ
504,politik,NN
505,moral,NN
506,univ,NN
507,atmajaya,NN
508,harga,NN
509,minat,NN
510,silah,NN
511,pesan,NN
512,via,NNP
513,inbox,NNP
514,via,NNP
515,wa,NNP
516,dw,MD
517,sebwah,VB
518,kode,NN
519,keras,JJ
520,selamat,NN
521,selamat,JJ
522,gabung,VB
523,siswa,NN
524,smk,NN
525,sehat,JJ
526,panca,VB
527,atmajaya,NN
528,bingung,VB
529,kuliah,NN
530,ayo,NN
531,daftar,NN
532,kampus,JJ
533,haha,NN
534,sukirno,NN
535,jugs,NN
536,pram,NN
537,jng,NN
538,stelan,NN
539,maba,NN
540,atmajaya,NN
541,sa,NN
542,hahahaeeee,FW
543,surabaya,NN
544,jumat,NN
545,pkl,FW
546,wib,FW
547,cast,FW
548,mata,NN
549,batin,NN
550,on,NN
551,air,NN
552,bareng,NN
553,deva,NN
554,atmajaya,NN
555,jeje,FW
556,tune,FW
557,in,FW
558,stay,FW
559,tune,FW
560,and,FW
561,streaming,FW
562,temen,FW
563,jeje,FW
564,matabatin,FW
565,fearthedead,FW
566,hitmakerstudios,FW
567,jejeradiosby,FW
568,hitsupyourlife,FW
569,jejetunein,FW
570,ramos,NN
571,bek,NN
572,kaleng,NN
573,atmajaya,NN
574,tel,NN
575,infolalin,VB
576,arus,NN
577,lintas,NN
578,traffic,FW
579,light,FW
580,atmajaya,NN
581,jakut,NN
582,pantau,CC
583,ramai,JJ
584,lancar,JJ
585,arus,NN
586,lintas,NN
587,traffic,FW
588,light,FW
589,atmajaya,NN
590,jakut,NN
591,pantau,CC
592,ramai,JJ
593,lancar,JJ
594,main,IN
595,tgl,NN
596,jual,VB
597,rukan,VB
598,icon,FW
599,horizon,FW
600,broadway,FW
601,rapi,FW
602,renov,FW
603,bsd,FW
604,city,FW
605,gt,FW
606,gt,FW
607,komplek,FW
608,the,FW
609,icon,FW
610,bsd,FW
611,serpong,VB
612,komplek,NN
613,rumah,NN
614,gt,FW
615,km,FW
616,univ,FW
617,atmajaya,FW
618,bsd,FW
619,pasar,NN
620,modern,FW
621,bsd,FW
622,stasiun,FW
623,kereta,NN
624,api,NN
625,cisauk,NN
626,the,FW
627,breeze,FW
628,green,FW
629,office,FW
630,gimana,SC
631,tarik,VB
632,rmo,NN
633,kuylah,NN
634,mari,NN
635,ketemu,VB
636,universitas,NN
637,atmajaya,NN
638,jakarta,NN
639,juara,NN
640,juara,NN
641,rmo,NNP
642,infolalin,VB
643,situasi,NN
644,lalin,NN
645,tl,NN
646,atmajaya,NN
647,pluit,NN
648,jakut,NN
649,pantau,CC
650,ramai,JJ
651,lancar,JJ
652,situasi,NN
653,lalin,NN
654,tl,NN
655,atmajaya,NN
656,pluit,NN
657,jakut,NN
658,pantau,CC
659,ramai,JJ
660,lancar,JJ
661,alhamdulillah,NN
662,wynnetheresa,NN
663,temen,NN
664,nya,NN
665,kampus,NN
666,atmajaya,NN
667,bsd,FW
668,neng,FW
669,mie,FW
670,ayam,FW
671,rumahmiebsd,FW
672,kesibukantadipagi,FW
673,rumahmiebsd,FW
674,mieayam,FW
675,rumahmiebsd,FW
676,unika,SC
677,atmajaya,VB
678,jkt,FW
679,baguss,FW
680,situasi,NN
681,arus,NN
682,lintas,NN
683,traffic,FW
684,light,FW
685,atmajaya,NN
686,jakut,NN
687,pantau,CC
688,ramai,JJ
689,lancar,JJ
690,bagus,JJ
691,starwars,FW
692,cuy,FW
693,banding,FW
694,ready,FW
695,player,FW
696,one,FW
697,anjir,NN
698,paspampres,NN
699,haji,VB
700,karim,NN
701,benzema,NN
702,woyyyyyyy,FW
703,ya,NN
704,ampun,SC
705,mc,FW
706,mkmhcbmk,FW
707,kokmb,SC
708,bmkoc,FW
709,rm,FW
710,infinity,FW
711,war,FW
712,yuhuuu,FW
713,alumni,VB
714,guru,NN
715,indonesia,NN
716,ugm,FW
717,its,FW
718,itb,FW
719,ipb,FW
720,uns,FW
721,unair,FW
722,undip,FW
723,universitas,NN
724,padjajaran,NN
725,parahiyangan,NN
726,universitas,NN
727,trisakti,NN
728,atmajaya,NN
729,guru,NN
730,gabung,VB
731,riah,NN
732,acara,NN
733,jokowimantapbetul,JJ
734,dw,NN
735,pas,NN
736,ngaji,NN
737,tpa,NN
738,sampe,NN
739,gerbang,NN
740,tpa,NN
741,nya,NN
742,nih,FW
743,jay,FW
744,goda,FW
745,cilor,FW
