,Word,Weight,POS
0,bagus,20.033858217718937,JJ
1,mah,18.55099572013965,JJ
2,lancar,18.03825248445277,JJ
3,salah,17.077464797704515,JJ
4,biar,13.966072661702867,JJ
5,kaya,12.217442996840838,JJ
6,nyata,12.209515311878667,JJ
7,ramai,11.750295729779426,JJ
8,rabbal,8.969612075734947,JJ
9,swasta,7.837842517439863,JJ
10,asli,7.643360560907583,JJ
11,kenal,6.8247499552068085,JJ
12,sulit,6.222181856773984,JJ
13,murah,5.647457983410541,JJ
14,penuh,5.622990553509357,JJ
15,sehat,5.566413367685278,JJ
16,viral,5.143763769561686,JJ
17,pindah,5.059059415690155,JJ
18,yustinus,4.834781010254964,JJ
19,habis,4.78454493277113,JJ
20,aman,4.725602196741418,JJ
21,khusus,4.548535610433426,JJ
22,kuat,4.343077419647379,JJ
23,mahal,4.1987886519435875,JJ
24,keras,4.132279566998619,JJ
25,marah,3.8865671592096267,JJ
26,sipil,3.8677721924892627,JJ
27,sosial,3.4702116288254277,JJ
28,serius,3.3075377693016046,JJ
29,setia,3.137983454156954,JJ
30,cedera,3.0934766066055817,JJ
31,senang,3.079966984548324,JJ
32,lambat,3.0265543573479445,JJ
33,tua,2.9888371100634856,JJ
34,alhamdulillaah,2.9803690074341125,JJ
35,utama,2.9586728665888047,JJ
36,cepat,2.8626792080848764,JJ
37,sesuai,2.813026037200035,JJ
38,adil,2.74067648285729,JJ
39,plus,2.671153802077272,JJ
40,aneh,2.5053818733201534,JJ
41,damai,2.331238953752268,JJ
42,resmi,2.3256321927379497,JJ
43,nasional,2.267574677420298,JJ
44,luas,2.2424380810892566,JJ
45,mantan,2.196408897445768,JJ
46,neh,2.185256943456189,JJ
47,mudah,2.1814426946990544,JJ
48,bebas,2.1403625674043396,JJ
49,akal,2.129425158463184,JJ
50,dw,92.10138148011936,NN
51,ya,68.92271040344687,NN
52,alumni,56.842940033946114,NN
53,kampus,55.71550666288408,NN
54,aja,46.27975132400061,NN
55,mahasiswa,45.66503412338088,NN
56,trisakti,44.75720758699132,NN
57,universitas,42.420200762813934,NN
58,anak,39.66315392450652,NN
59,nya,36.30361879265738,NN
60,gak,35.784150892361545,NN
61,jakarta,35.64953334937466,NN
62,jokowi,34.848271916221826,NN
63,bus,34.64967605800888,NN
64,guru,33.31811589418609,NN
65,jogja,32.55677370608914,NN
66,ugm,30.988158027338667,NN
67,orang,29.73995086050531,NN
68,indonesia,28.558520488355754,NN
69,ui,28.08878520932378,NN
70,univ,26.268433218099215,NN
71,kak,25.84495864544423,NN
72,kalo,25.255465230143614,NN
73,semanggi,24.678369841854437,NN
74,tau,24.63241044066195,NN
75,uii,24.061168046470996,NN
76,banget,20.34190773894812,NN
77,kuliah,18.514848385683692,NN
78,ma,18.217220938786998,NN
79,pas,17.60044716250753,NN
80,kerja,17.442043867583756,NN
81,iya,17.27871649935828,NN
82,padjajaran,17.238586000515703,NN
83,allah,16.706222596859003,NN
84,nama,16.328349716520037,NN
85,si,16.26386752476739,NN
86,rumah,15.743795407978453,NN
87,jalan,15.533729111624337,NN
88,selamat,15.33318963186149,NN
89,eh,14.9802834270969,NN
90,hukum,14.48574266040092,NN
91,malam,14.147947130323464,NN
92,truk,13.927219744186864,NN
93,klo,13.873772210946198,NN
94,parahiyangan,13.582284374005472,NN
95,liat,13.561580413030285,NN
96,bg,12.671000920888625,NN
97,ku,12.463166757862284,NN
98,gw,12.42620924701354,NN
99,nakayah,12.305265885682974,NN
100,wkwkwk,23.126543482862743,VB
101,menang,22.787297492029637,VB
102,dukung,22.608296182850886,VB
103,bang,20.490345132632296,VB
104,buka,19.604698690472254,VB
105,masuk,18.975065272483395,VB
106,alumniptmenangkanjokowi,18.27669126367967,VB
107,ikrar,15.76658973896956,VB
108,terima,15.760450273123476,VB
109,uph,15.18935888624608,VB
110,makan,15.002790268505727,VB
111,pilih,13.823636204644684,VB
112,unpar,13.737324656396185,VB
113,hati,12.134724957581088,VB
114,ni,11.875169892197167,VB
115,bawa,11.45289622799629,VB
116,uki,11.074914460040343,VB
117,suka,10.840760803652197,VB
118,coba,10.328243892987249,VB
119,turun,10.039995489174022,VB
120,tinggal,9.868356065331655,VB
121,hadir,9.529887099775408,VB
122,lihat,9.182100551997108,VB
123,ajar,9.056224892250858,VB
124,alamin,8.969612075734947,VB
125,ketemu,8.77609256573756,VB
126,beda,8.661386489176047,VB
127,duka,8.23007940807726,VB
128,jual,7.507929312060051,VB
129,tidur,7.439160458634215,VB
130,tuju,7.298308664715718,VB
131,gabung,7.171798748791903,VB
132,mbak,7.144322681089519,VB
133,tolong,7.1358764788667255,VB
134,harap,7.0836174657256405,VB
135,cari,6.985444262634758,VB
136,beli,6.893593662127678,VB
137,tunggu,6.827999032018864,VB
138,cinta,6.802466673472555,VB
139,tarik,6.670431723328436,VB
140,doa,6.585354610989668,VB
141,latih,5.9461479651539335,VB
142,kalah,5.93040217048536,VB
143,tembak,5.922433372677258,VB
144,bingung,5.754271422783013,VB
145,untung,5.742454798180024,VB
146,butuh,5.528391745645349,VB
147,gerak,5.5255977548034405,VB
148,pulang,5.475725757144915,VB
149,jatuh,5.32375044077158,VB
