,0
dw,92.10138148011936
yg,71.5270926010296
ya,68.92271040344687
alumni,56.842940033946114
kampus,55.71550666288408
aja,46.27975132400061
mahasiswa,45.66503412338088
trisakti,44.75720758699132
ga,44.70161121213949
universitas,42.420200762813934
anak,39.66315392450652
nya,36.30361879265738
unika,35.962675798600635
gak,35.784150892361545
jakarta,35.64953334937466
jokowi,34.848271916221826
bus,34.64967605800888
guru,33.31811589418609
jogja,32.55677370608914
udah,31.856164345395197
ugm,30.988158027338667
orang,29.73995086050531
indonesia,28.558520488355754
ui,28.08878520932378
wkwk,27.494698533046503
univ,26.268433218099215
nih,25.85002481592977
kak,25.84495864544423
gue,25.47994411906661
sih,25.40174769161658
kalo,25.255465230143614
semanggi,24.678369841854437
tau,24.63241044066195
uii,24.061168046470996
yogyakarta,23.287273996118028
itb,23.1787234780594
wkwkwk,23.126543482862743
menang,22.787297492029637
dukung,22.608296182850886
jay,20.83476392995779
ipb,20.56296418725279
bang,20.490345132632296
its,20.35993851398767
banget,20.34190773894812
moga,20.100426147840366
bagus,20.033858217718937
buka,19.604698690472254
info,19.560968798185588
unair,19.42696205650107
uns,19.325003386655474
masuk,18.975065272483395
undip,18.816460459630658
mah,18.55099572013965
kuliah,18.514848385683692
alumniptmenangkanjokowi,18.27669126367967
ma,18.217220938786998
lancar,18.03825248445277
amin,17.743047718794237
pas,17.60044716250753
kerja,17.442043867583756
iya,17.27871649935828
padjajaran,17.238586000515703
salah,17.077464797704515
mas,17.04105891961008
kasih,16.778932052509443
gitu,16.71513017304473
april,16.714622657220268
allah,16.706222596859003
nama,16.328349716520037
si,16.26386752476739
untar,16.184477401397302
dr,15.790746770072362
ikrar,15.76658973896956
terima,15.760450273123476
rumah,15.743795407978453
orange,15.7047360736249
jalan,15.533729111624337
ruf,15.527279410759691
selamat,15.33318963186149
tni,15.239913840505608
uph,15.18935888624608
emang,15.0694795056852
yk,15.054387382096191
makan,15.002790268505727
eh,14.9802834270969
amp,14.889495795017247
hukum,14.48574266040092
