,Word,Weight,POS
0,dw,92.10138148011936,NN
1,yg,71.5270926010296,FW
2,ya,68.92271040344687,NN
3,alumni,56.842940033946114,NN
4,kampus,55.71550666288408,NN
5,aja,46.27975132400061,NN
6,mahasiswa,45.66503412338088,NN
7,trisakti,44.75720758699132,NN
8,ga,44.70161121213949,FW
9,universitas,42.420200762813934,NN
10,anak,39.66315392450652,NN
11,nya,36.30361879265738,NN
12,unika,35.962675798600635,SC
13,gak,35.784150892361545,NN
14,jakarta,35.64953334937466,NN
15,jokowi,34.848271916221826,NN
16,bus,34.64967605800888,NN
17,guru,33.31811589418609,NN
18,jogja,32.55677370608914,NN
19,udah,31.856164345395197,FW
20,ugm,30.988158027338667,NN
21,orang,29.73995086050531,NN
22,indonesia,28.558520488355754,NN
23,ui,28.08878520932378,NN
24,wkwk,27.494698533046503,FW
25,univ,26.268433218099215,NN
26,nih,25.85002481592977,FW
27,kak,25.84495864544423,NN
28,gue,25.47994411906661,FW
29,sih,25.40174769161658,MD
30,kalo,25.255465230143614,NN
31,semanggi,24.678369841854437,NN
32,tau,24.63241044066195,NN
33,uii,24.061168046470996,NN
34,yogyakarta,23.287273996118028,CC
35,itb,23.1787234780594,FW
36,wkwkwk,23.126543482862743,VB
37,menang,22.787297492029637,VB
38,dukung,22.608296182850886,VB
39,jay,20.83476392995779,FW
40,ipb,20.56296418725279,FW
41,bang,20.490345132632296,VB
42,its,20.35993851398767,FW
43,banget,20.34190773894812,NN
44,moga,20.100426147840366,SC
45,bagus,20.033858217718937,JJ
46,buka,19.604698690472254,VB
47,info,19.560968798185588,FW
48,unair,19.42696205650107,FW
49,uns,19.325003386655474,FW
50,masuk,18.975065272483395,VB
51,undip,18.816460459630658,FW
52,mah,18.55099572013965,JJ
53,kuliah,18.514848385683692,NN
54,alumniptmenangkanjokowi,18.27669126367967,VB
55,ma,18.217220938786998,NN
56,lancar,18.03825248445277,JJ
57,amin,17.743047718794237,FW
58,pas,17.60044716250753,NN
59,kerja,17.442043867583756,NN
60,iya,17.27871649935828,NN
61,padjajaran,17.238586000515703,NN
62,salah,17.077464797704515,JJ
63,mas,17.04105891961008,FW
64,kasih,16.778932052509443,FW
65,gitu,16.71513017304473,PR
66,april,16.714622657220268,FW
67,allah,16.706222596859003,NN
68,nama,16.328349716520037,NN
69,si,16.26386752476739,NN
70,untar,16.184477401397302,IN
71,dr,15.790746770072362,FW
72,ikrar,15.76658973896956,VB
73,terima,15.760450273123476,VB
74,rumah,15.743795407978453,NN
75,orange,15.7047360736249,FW
76,jalan,15.533729111624337,NN
77,ruf,15.527279410759691,NNP
78,selamat,15.33318963186149,NN
79,tni,15.239913840505608,PR
80,uph,15.18935888624608,VB
81,emang,15.0694795056852,FW
82,yk,15.054387382096191,FW
83,makan,15.002790268505727,VB
84,eh,14.9802834270969,NN
85,amp,14.889495795017247,FW
86,hukum,14.48574266040092,NN
87,mc,14.309785059681202,FW
88,malam,14.147947130323464,NN
89,biar,13.966072661702867,JJ
90,truk,13.927219744186864,NN
91,klo,13.873772210946198,NN
92,pilih,13.823636204644684,VB
93,unpar,13.737324656396185,VB
94,wkwkw,13.724514790523498,FW
95,kayak,13.61748728100064,FW
96,parahiyangan,13.582284374005472,NN
97,liat,13.561580413030285,NN
98,putrimanjo,13.361087660093968,FW
99,define,13.361087660093968,FW
100,soul,13.361087660093968,FW
101,etc,13.210481781603223,FW
102,kolonigigs,13.03412286401533,FW
103,deket,12.994924945156379,FW
104,dah,12.944356364800802,FW
105,district,12.836412423822132,FW
106,tuh,12.794794310545015,FW
107,bg,12.671000920888625,NN
108,pake,12.670203411657788,FW
109,asterina,12.629436439290078,FW
110,ku,12.463166757862284,NN
111,main,12.44370242909545,IN
112,gw,12.42620924701354,NN
113,nakayah,12.305265885682974,NN
114,jam,12.267214538331578,NN
115,kaya,12.217442996840838,JJ
116,bener,12.213420682814597,NN
117,nyata,12.209515311878667,JJ
118,hati,12.134724957581088,VB
119,an,11.983324258213068,NN
120,ni,11.875169892197167,VB
121,arah,11.833952220809179,NN
122,ramai,11.750295729779426,JJ
123,tp,11.736005152352627,FW
124,babarsari,11.716552008592013,NN
125,teman,11.673035683900391,NN
126,demo,11.581014543388672,NN
127,aamiin,11.516035274069983,NN
128,bawa,11.45289622799629,VB
129,jokowirakyatbersatu,11.368543769228602,CD
130,pantau,11.217644082468489,CC
131,bantu,11.126134096603701,NN
132,uki,11.074914460040343,VB
133,bikin,11.06703831844598,RB
134,video,11.02369120370499,NN
135,in,10.853874418816602,FW
136,suka,10.840760803652197,VB
137,kali,10.772363143056596,NN
138,bsd,10.738413024885793,FW
139,jkt,10.645181227499885,FW
140,rs,10.6234988389295,NN
141,maaf,10.61963918694718,NN
142,fakultas,10.562257524076752,NN
143,kena,10.469421532766477,SC
144,almusawa,10.361951723922852,SC
145,coba,10.328243892987249,VB
146,mohon,10.306877544183289,FW
147,atma,10.234208974760987,NN
148,jd,10.13134586626312,FW
149,deklarasi,10.123003360238544,NN
150,isi,10.118933576610612,NN
151,bilang,10.043729515190462,NN
152,turun,10.039995489174022,VB
153,sampe,10.010151572995447,NN
154,kemarin,9.932525906331254,NN
155,tinggal,9.868356065331655,VB
156,jaya,9.784781461076483,NN
157,upn,9.767717198651122,NN
158,parahyangan,9.767579605185102,NN
159,lo,9.739427830749515,FW
160,ken,9.64881657918929,FW
161,gedung,9.590013816252913,NN
162,umy,9.53234293350873,FW
163,hadir,9.529887099775408,VB
164,gua,9.526607807971876,CD
