,Word,Weight,POS
0,udah,10.599885111288874,JJ
1,lulus,10.015363567199964,JJ
2,nasional,8.625223828772285,JJ
3,himaforka,7.222538369333651,JJ
4,natal,6.603134241747322,JJ
5,angkat,6.466049167266548,JJ
6,sipil,6.097527522852576,JJ
7,gratis,5.657141991533362,JJ
8,salah,5.482028262845687,JJ
9,loh,5.481078554476085,JJ
10,bagus,5.241957508714809,JJ
11,kenal,4.716697391919225,JJ
12,penuh,4.5714942172373725,JJ
13,muda,4.564829360573845,JJ
14,sehat,4.255109405715594,JJ
15,kaya,4.2357763540050755,JJ
16,mudah,3.90035808036133,JJ
17,damai,3.845262775289114,JJ
18,utama,3.158533512441143,JJ
19,kuat,3.0079570429091658,JJ
20,bekal,3.007716644107601,JJ
21,swasta,2.897282574955731,JJ
22,teofilus,2.770792206817825,JJ
23,nyata,2.747354035788183,JJ
24,gagal,2.6582571538587483,JJ
25,top,2.528807750611199,JJ
26,milenial,2.448838023272262,JJ
27,khusus,2.408434302769598,JJ
28,sosial,2.362265767950381,JJ
29,asing,2.36204838025486,JJ
30,suci,2.2820341418337913,JJ
31,lambat,2.2383941520919843,JJ
32,bantul,2.202633283065151,JJ
33,sulit,2.1448335872595,JJ
34,mahal,2.1058891362192895,JJ
35,adil,2.0962453564128976,JJ
36,inklusif,2.087389352188805,JJ
37,internasional,2.0478286980249107,JJ
38,maksimal,2.040800000538045,JJ
39,wajib,2.016714249300035,JJ
40,sesuai,1.9695322824780193,JJ
41,kreatif,1.8869843413426577,JJ
42,indah,1.8432224763026377,JJ
43,asli,1.7531766002201636,JJ
44,susah,1.7489260231817534,JJ
45,aktif,1.6909605813703765,JJ
46,pinus,1.6904998571750813,JJ
47,tangguh,1.6805020129610881,JJ
48,tampil,1.6633409091188085,JJ
49,amal,1.6085781178217529,JJ
50,ligamahasiswa,50.38656590582675,NN
51,putra,47.54973569282934,NN
52,mahasiswa,36.610548182621905,NN
53,yogyakarta,33.80680730103006,NN
54,atmajogja,33.40032435404702,NN
55,tanding,31.905447194196938,NN
56,info,31.01373353556228,NN
57,atma,30.875249830780316,NN
58,awalmasadepan,29.98910177525236,NN
59,universitas,29.93404423541863,NN
60,uii,28.04743128929154,NN
61,jaya,27.910751616972462,NN
62,ya,25.909769915371083,NN
63,anak,25.745731538212656,NN
64,regu,25.17333613285806,NN
65,court,25.04342299183389,NN
66,jogja,24.83010909447073,NN
67,teman,22.694192779426793,NN
68,from,21.74790696910041,NN
69,informasi,20.828914367195175,NN
70,manfaat,19.414831776730864,NN
71,program,17.748113250091727,NN
72,ga,17.708811195224037,NN
73,moga,17.15488534867767,NN
74,news,16.93591995119334,NN
75,unsoed,16.537826201839284,NN
76,kerja,16.35052641023761,NN
77,kasih,15.761082919435438,NN
78,daftar,15.727915272608623,NN
79,amp,15.597269661169095,NN
80,indonesia,15.34306625732261,NN
81,teknik,15.117368695737987,NN
82,seminar,13.335430236334512,NN
83,kalo,13.074051453242868,NN
84,fakultas,12.736804353070626,NN
85,nya,12.689724377907826,NN
86,raya,12.60829630289837,NN
87,unair,12.080114068926985,NN
88,tanggal,11.909365408274285,NN
89,keluarga,11.667161825123127,NN
90,mas,11.50590050347079,NN
91,semester,11.150533662240573,NN
92,semangat,11.139535096932233,NN
93,prodi,10.85919868731856,NN
94,lupa,10.477294467514655,NN
95,dosen,10.213216804772202,NN
96,acara,10.161182827255557,NN
97,orang,9.858045237074036,NN
98,industri,9.644364860115612,NN
99,unnes,9.091066405753525,NN
100,terima,19.240767216314943,VB
101,buka,14.781177608895598,VB
102,aja,14.724486610105915,VB
103,masuk,11.581774980969147,VB
104,lowong,10.727165251674265,VB
105,perhati,10.595507800074001,VB
106,ari,9.375952189295035,VB
107,hmti,8.732335415046663,VB
108,ajar,8.666932185144596,VB
109,hadir,8.35124938983326,VB
110,segenap,8.247766186633125,VB
111,mari,7.434917890756676,VB
112,libur,7.409674078579712,VB
113,hati,7.378113271045987,VB
114,menang,7.200838040175598,VB
115,dwi,6.2385712798344475,VB
116,dukung,6.041396326331815,VB
117,tolong,6.029550697335318,VB
118,ulang,5.751398757350912,VB
119,raih,5.474353468090547,VB
120,nicolas,5.369401942434441,VB
121,sembah,5.357960847649757,VB
122,harap,5.263175311868328,VB
123,makan,5.2477202223951185,VB
124,hai,5.144725519657116,VB
125,coba,5.0441292193265275,VB
126,suka,4.974699669684296,VB
127,mahasiswi,4.62914734534374,VB
128,mbak,4.525626034165299,VB
129,temu,4.447852700934615,VB
130,iki,4.315350525414578,VB
131,sayang,4.14942689324143,VB
132,beda,4.104840148495245,VB
133,rangkai,4.07878349123979,VB
134,ubah,4.058098364588522,VB
135,tuh,4.049040170180132,VB
136,kati,3.9795106158897298,VB
137,pilih,3.948738428840263,VB
138,kakak,3.9268221426179077,VB
139,tulis,3.9216804393523814,VB
140,beli,3.9135979708444655,VB
141,jaga,3.8910364376850612,VB
142,barongsai,3.88566352759263,VB
143,babak,3.7985611445870093,VB
144,lahir,3.7971710573436646,VB
145,sambut,3.745235705745969,VB
146,lihat,3.74385309291492,VB
147,kumpul,3.715769805470577,VB
148,untung,3.6428364905129444,VB
149,pasuk,3.2907783094072327,VB
