,0
kaskus,56.650914984762
ligamahasiswa,50.38656590582675
season,50.161927512685146
vs,49.50818879244964
putra,47.54973569282934
skor,45.30834573699245
kampus,39.18807508550999
mahasiswa,36.610548182621905
basketball,34.264905240063385
yogyakarta,33.80680730103006
atmajogja,33.40032435404702
id,32.9439572754411
tanding,31.905447194196938
nationals,31.017637809890402
info,31.01373353556228
atma,30.875249830780316
cjyc,30.503291631009443
awalmasadepan,29.98910177525236
universitas,29.93404423541863
uii,28.04743128929154
jaya,27.910751616972462
badminton,27.906428151332715
ugm,27.375808391639083
selamat,26.914399375445413
uajyberita,25.99562167507926
ya,25.909769915371083
anak,25.745731538212656
regu,25.17333613285806
court,25.04342299183389
jogja,24.83010909447073
game,24.40725407638347
uny,24.30759263328042
via,23.86867476357899
teman,22.694192779426793
umy,22.236054742306134
yg,22.096204249418733
from,21.74790696910041
informasi,20.828914367195175
manfaat,19.414831776730864
kuliah,19.363462140899163
terima,19.240767216314943
program,17.748113250091727
ga,17.708811195224037
fbe,17.67903464847201
moga,17.15488534867767
news,16.93591995119334
boys,16.85445430443616
unsoed,16.537826201839284
kerja,16.35052641023761
kasih,15.761082919435438
ueu,15.730527447605049
daftar,15.727915272608623
amp,15.597269661169095
indonesia,15.34306625732261
teknik,15.117368695737987
buka,14.781177608895598
aja,14.724486610105915
min,14.676695018040819
md,14.431115548404305
lomba,13.689738261427566
seminar,13.335430236334512
andika,13.296376117091016
kalo,13.074051453242868
nih,12.988046700912504
fakultas,12.736804353070626
nya,12.689724377907826
fe,12.618506462963746
raya,12.60829630289837
unpad,12.539807111174492
auditorium,12.485928866476263
lerry,12.367826311251727
unair,12.080114068926985
ms,12.074399758761247
tanggal,11.909365408274285
gelar,11.719650279226968
keluarga,11.667161825123127
masuk,11.581774980969147
fisip,11.558270443298616
mas,11.50590050347079
robertus,11.339362806054055
semester,11.150533662240573
semangat,11.139535096932233
patrick,10.94227914753278
prodi,10.85919868731856
lowong,10.727165251674265
rektor,10.70844952114667
mohon,10.672606358779495
bangga,10.60690832713074
udah,10.599885111288874
perhati,10.595507800074001
lupa,10.477294467514655
maret,10.44801726286976
dosen,10.213216804772202
halo,10.195192268623403
acara,10.161182827255557
lulus,10.015363567199964
orang,9.858045237074036
sih,9.796455394365507
industri,9.644364860115612
wib,9.49574970861551
alumni,9.477594433275167
ari,9.375952189295035
april,9.332203275415042
unnes,9.091066405753525
fh,9.012365507036673
eranio,8.969165698463621
ii,8.859773308536298
hidup,8.767337157903343
hmti,8.732335415046663
mei,8.680485321437853
ajar,8.666932185144596
nasional,8.625223828772285
awalmasadepanq,8.58630284168501
thomas,8.553826147017286
kalender,8.514263301254552
digital,8.506856511085601
magister,8.506630001248675
psm,8.499859033608864
juli,8.395114712149795
ti,8.370399428595642
wkwk,8.35941780447233
hadir,8.35124938983326
aquinas,8.26035088551637
segenap,8.247766186633125
sistem,8.228890345909084
tingkat,8.1421433433379
for,8.088725816682079
babarsari,8.08175676981848
fti,8.059234599199545
to,8.059176790102994
tinggal,8.018504740583122
ra,8.016360594828122
upn,7.955694847386138
laku,7.909840031470775
tim,7.825522024067119
rabu,7.802726090644178
gak,7.800537569331516
the,7.775167159454506
juara,7.7356530060680555
bangsa,7.697093005135984
periode,7.658871540273881
selenggara,7.658750026597341
ayo,7.642796989021852
jam,7.624195889026976
muhammad,7.578993662797967
tuhan,7.571067871019502
sadhar,7.494193373453265
diy,7.486898943824349
sma,7.479044351304729
mari,7.434917890756676
rumah,7.430642031452262
libur,7.409674078579712
sobat,7.4077925452493965
ta,7.384475793843788
hati,7.378113271045987
yuk,7.320960004917871
tiket,7.281630979331611
kkn,7.276959986846488
nursandy,7.255238133509869
asydika,7.255238133509869
limabasktballkaskuscjyc,7.249341491294571
lookingforwardtoit,7.249341491294571
himaforka,7.222538369333651
menang,7.200838040175598
event,7.183546757847642
dies,7.176914817921736
uji,7.129713253614184
arsitektur,7.092677289112278
yogya,7.085000327400269
salam,7.07731201652305
beasiswa,7.063178629279801
hi,7.0288898642749915
februari,7.0208792300002685
jumat,7.011805724804508
didik,6.990761721653575
jalan,6.8804461604667795
tema,6.857270815968696
hukum,6.798039247883788
foto,6.78355059286581
wa,6.723450549880423
ad,6.666651207225971
bantu,6.625124384180529
of,6.616745100196202
natal,6.603134241747322
studi,6.591472301129047
asa,6.583671857805639
next,6.563350506049769
kembang,6.55685266607897
komunitas,6.479794676313757
tau,6.4796973797454
angkat,6.466049167266548
yo,6.463419195278391
gedung,6.447329351858719
si,6.3850749611756665
pas,6.3802279230697785
wisuda,6.3317962174362465
pagi,6.313424419528264
natalis,6.247617384664529
dwi,6.2385712798344475
tp,6.22577003471128
ftiuajy,6.219032751718831
pascasarjana,6.1924145344407275
bawa,6.131310381583969
rp,6.127780115563396
terimakasih,6.117435335268038
nama,6.106799078725213
kunjung,6.101038362546825
sipil,6.097527522852576
dukung,6.041396326331815
tolong,6.029550697335318
usd,6.028383676636874
minggu,6.022783854318273
ku,5.993210282544776
amak,5.9875058106189645
hs,5.9875058106189645
utp,5.972577198740687
gitu,5.924978912748638
teknobiologi,5.922667730594974
gudegnet,5.922597203769534
arsy,5.903799779108676
komunikasi,5.900560581831066
september,5.863322499172564
besok,5.778306919208003
jg,5.772571425682668
atmajaya,5.7638715835877585
new,5.756434377490255
ulang,5.751398757350912
giat,5.73826179548788
sabtu,5.659150219223074
gratis,5.657141991533362
guru,5.577290890523987
nilai,5.533495838227958
himsi,5.533283899453871
bgt,5.526427574764532
open,5.505295623516228
salah,5.482028262845687
loh,5.481078554476085
raih,5.474353468090547
wkwkwk,5.438236065295498
pustaka,5.412746584460935
banget,5.392462050949662
uajyinklusif,5.382928381761943
nicolas,5.369401942434441
sembah,5.357960847649757
admin,5.326856868084092
over,5.318753643987196
bicara,5.307761635163526
result,5.296892632989297
pancasila,5.296331630929709
informatika,5.271189755216499
harap,5.263175311868328
baris,5.248985879998186
makan,5.2477202223951185
ukdw,5.2469382857613125
bagus,5.241957508714809
latih,5.165244210100368
student,5.162099476773654
bar,5.147278257399545
hai,5.144725519657116
dunia,5.114013970055025
ilmu,5.113956939794289
iya,5.111169197285162
workshop,5.095847131206481
isi,5.077777535963904
talkshow,5.070041578778508
konser,5.0578148190256
magang,5.057656238632823
coba,5.0441292193265275
smk,5.007280704996722
jutawan,4.987011926387893
suka,4.974699669684296
more,4.968903470044983
uad,4.955550596703306
deket,4.903683317781987
kangen,4.840494088349432
pt,4.838195459020227
information,4.824119700588908
tgl,4.80591376021781
link,4.795763985910826
kak,4.793692522280103
almamater,4.772931970522412
comers,4.770127275402608
an,4.746666141184365
masyarakat,4.731439266430376
kenal,4.716697391919225
putri,4.711764390619279
rangka,4.68228925352829
januari,4.665289326983058
cek,4.6596886777938265
langsung,4.653345607405249
out,4.652792751214528
parkir,4.64864688040166
jalur,4.641215982750342
mahasiswi,4.62914734534374
krs,4.6241740206933155
ambil,4.622513101726425
akreditasi,4.61512064057581
malam,4.60972960622009
penuh,4.5714942172373725
muda,4.564829360573845
ajak,4.5419835575659375
mbak,4.525626034165299
karo,4.503727668738339
budaya,4.466643246757426
uajyhumanis,4.463494469226681
kelas,4.4632636010701505
temu,4.447852700934615
kali,4.437318905109117
in,4.409251220257004
btw,4.39343159363704
mudadinamisberintegritas,4.375967182349959
happiness,4.370064263262458
eternal,4.370064263262458
po,4.356380637879508
competition,4.352359767469931
katolik,4.351169458893663
hehe,4.336886202803407
iki,4.315350525414578
arti,4.294527971465897
generasi,4.280424175885022
gimana,4.280137646473426
syukur,4.273760609812377
sehat,4.255109405715594
be,4.254881610442345
kaya,4.2357763540050755
recruitment,4.232721515505156
regular,4.230795659309736
vip,4.230795659309736
book,4.230795659309736
tunggu,4.194578447086525
day,4.171348806286543
main,4.16281912852072
ykpn,4.15477329772933
sayang,4.14942689324143
gabung,4.139602431746438
agustus,4.1341079177729725
wahyu,4.117417564430089
yahya,4.117417564430089
mrican,4.111156885836975
beda,4.104840148495245
htm,4.103865665808719
ngga,4.086891739144242
jalin,4.08329995241327
rangkai,4.07878349123979
idul,4.0779191268275765
kabar,4.0695904995775685
agus,4.066759584410569
ubah,4.058098364588522
sold,4.057512813649348
buku,4.04979489716413
tuh,4.049040170180132
campus,4.023764675885611
inisiasi,4.001154185737033
sukses,3.9914403876558953
kati,3.9795106158897298
up,3.974170591599279
senin,3.9686444512719796
sarjana,3.966777385909033
guys,3.9634121568740075
uajyperingatan,3.9629230667941475
jadwal,3.962087286487418
pilih,3.948738428840263
milu,3.942993809411807
pindah,3.929565019711099
kakak,3.9268221426179077
tulis,3.9216804393523814
beli,3.9135979708444655
himpun,3.910753537424126
dr,3.904222711012973
sleman,3.901628984378949
mudah,3.90035808036133
jaga,3.8910364376850612
neng,3.8899623308238427
you,3.888826086184256
barongsai,3.88566352759263
bonaventura,3.8849766365108445
pss,3.88156311644208
juang,3.8643429911431064
jepang,3.863774907471182
damai,3.845262775289114
temen,3.841656162084348
sisih,3.83104873966204
yaa,3.8304683661634904
tugas,3.822170443264475
era,3.817594740260552
desain,3.807350915384035
jago,3.8024573060473026
babak,3.7985611445870093
lahir,3.7971710573436646
sambut,3.745235705745969
biofair,3.7443775232355243
lihat,3.74385309291492
and,3.718957787448276
kumpul,3.715769805470577
halaman,3.7140441649403395
kartu,3.6882268682339885
lantik,3.685990301172706
ruang,3.6761826368714114
bisnis,3.669177441846285
hallo,3.668086358532266
lapang,3.6652542377169706
bareng,3.663235672817693
ri,3.661790043915059
layan,3.660362156349412
staff,3.643825560295855
untung,3.6428364905129444
liat,3.625362831156906
ukm,3.6042394512551947
maaf,3.6019833538741897
cc,3.5965125896426726
warga,3.591967300900513
bayar,3.5791744828385235
tarik,3.579166545345722
ni,3.5714522189673663
cepet,3.5581290683201585
oktober,3.527399221557218
bahagia,3.526187750453088
laksana,3.5253088816869833
libraryuajy,3.523577133034274
uin,3.492198110039814
jakarta,3.46816452672223
ken,3.4679435360565636
gery,3.46617226355987
integritas,3.4644861885681566
ora,3.4617161410806294
bikin,3.4240309250686973
cah,3.4205912822534326
draft,3.4098683536520396
susanto,3.4014967789414983
lingkung,3.3930729236981634
genap,3.388263805009404
uang,3.3833946610880243
manusia,3.3754058141396057
by,3.3682371967439075
present,3.367856137946044
keren,3.3498249017699435
nek,3.3485172255113564
harga,3.338440659956216
sekolah,3.3346709897964777
arsi,3.3179146254791902
veteran,3.309403559002323
university,3.294664723146223
pasuk,3.2907783094072327
akademik,3.285663281222633
proudly,3.284538130487351
fair,3.2784153313137536
kartini,3.2732160290750576
lounge,3.271059347851522
sing,3.2689720853755913
nggak,3.2677310469009297
lt,3.2556113340599673
cinta,3.2530069720241137
amikom,3.2514789054893143
your,3.2501042675456886
suara,3.2393473399559767
jasa,3.2330188512053493
unggul,3.227577210908825
mall,3.2265461456257816
gw,3.221150550515196
bu,3.21519373631148
ki,3.2143485753744394
urus,3.2140609366823982
misa,3.2111813190579026
revidra,3.210923208195962
moch,3.210923208195962
tuju,3.2019313621117482
lu,3.1994189893569973
rahmat,3.196847818199402
skripsi,3.1967269405280656
gunungkidul,3.1929282011731175
calon,3.1914068893058873
goes,3.183348919733154
nder,3.178805579064747
mah,3.173463215226745
tu,3.1702826401956026
cm,3.159519970298856
utama,3.158533512441143
siang,3.158152271372308
group,3.1578644365146022
ibadah,3.149858807398882
happy,3.146276092684065
ir,3.143841544014405
kominfo,3.136689261895337
kamajaya,3.128061360357341
abu,3.1255296083986983
nonton,3.1212425517606306
adik,3.1084098983524395
pikir,3.1006857211449104
kamis,3.0940889873250828
is,3.090656219202149
waisak,3.0894962473172782
fitri,3.0868215471340714
dengar,3.0853224120497473
siswa,3.084844163970666
november,3.0787927433069426
milik,3.076794498129023
aman,3.0679487024227408
radio,3.061734660640604
kepala,3.0592379200300135
basket,3.0535558905186084
mantap,3.0447202540806737
nyepi,3.0421530902354705
cimb,3.0418635939515557
