,content
0,"mamak emang udah nggak ada, mudah mudahan mamak udah tenang disana dan buat kamu yang anak uajy, sekali sekali makan di warung makan nasi gongso bu gendut di jalan tambakbayan."
1,"Kantor Humas, Sekretariat, dan Protokol (KHSP) UAJY dengan semangat mengajak para mahasiswa UAJY untuk ikut:
LOMBA MENGHIAS LAMPION 2k19!!! 🎉🎏🏮🎐🧧

Buat kalian yg tertantang dan tertarik,… https://t.co/7MhbJmqVjh"
2,Kedatangan temans se almamater @uajy @hmpskom ke redaksi Bisnis Indonesia. Semoga berdampak dan lekas lulus!!! https://t.co/nLELfZWOsh
3,"❗❗PROMO FTI ART UAJY 2019❗❗
📷 NATIONAL PHOTOGRAPHY COMPETITION 📷
Hello there! 

FTIART ada promo nih! Pendaftar yang mendaftarkan diri pada tanggal 24 Januari 2019 hingga tanggal 28 Februari 2019 akan mendapatkan harga spesial yaitu Rp 35.000/foto atau Rp 60.000/2 foto lho! https://t.co/8eNxi0R1zn"
4,"Sedang berlangsung Dialog Aktual PRO 1 RRI dengan Topik Membedah Visi Misi Capres Cawapres 2019 narasumber  Pakar Hukum UAJY (Dr.W.Riawan Tjandra, SH,M.Hum) dipandu Prima. Dengarkan dan  ikuti melalui FM 91.1 MHz atau mobile application  rriplay."
5,@thoreu_eomma oooh cone yg oren itu wkwk ihhh nakal ga dibantuin parkir masa😂 jadi aku bisa liat pemandangan itu kl pagi2 ke uajy ya kaa
6,Yuk @uajy ngebalap yuk https://t.co/42ZzvzRRep
7,@uajy @GNFI @kuliah_ftiuajy @perkuliahanfh @Kuliah_FE_UAJY @teknobioatmajog @si_uajy @FT_UAJY @pascauajy @KuliahFisipUAJY Selamat....cc @LidwinaRini 😊
8,Universitas Atma Jaya Yogyakarta masuk 10 Perguruan Tinggi Swasta Terbaik! Viva UAJY! Infografis oleh @GNFI https://t.co/08WtSki3FN
9,HATI-HATI PENIPUAN! Mohon diperhatikan. https://t.co/vlWu5DqHDd
10,Dapatkan Movie Card XXI Rp 150.000 di Digital Lounge @Campus sekarang! https://t.co/hXqT83axPC
11,"Dapatkan Minuman Rp 1,- di Vending Machine ini.. Lokasi: Lobby Gedung Thomas Aquinas Kampus 2 UAJY https://t.co/jfrKFwtQ1s"
12,"selamat jalan mas enrico, damai disurga🙏🏻 @Sangkakala76"
13,"Bukti transfer klien Tesis
.
@skripsi_abe (WA: 085743202089)
Jasa konsultasi skripsi tesis disertasi olah data
.
#anakkuliah #uii #uad #uajy #umy #uinjakarta #uinbandung #binusuniversity #mercubuana #gunadarma
#undipcantik #unpadgeulis #jogjaculinary #bandungculinary https://t.co/50wRZzNhUj"
14,"Berita kehilangan: 
Motor VIXION advanced warna HITAM tahun 2016 NOPOL AB 3566 JQ. 
Ada stiker KKN UAJY 70 di slebor depan belakang (warna merah). 
Lokasi hilang:
Agan Barbershop, Jl.… https://t.co/hQFHM7uwQk"
15,"Isi tas anak:
UGM
UNY
UIN
UPN
UII
UTY
UNISA
UMY
UAD
UCY
UAAY
UPY
UMBY
UAJY
UWMY
UAY
UST
UJY
UKDW
USD
UKRIM
INSTIPER
AKAKOM
AMPTA
STIPARY
STIPRAM
STIEWW
STIEU PAWEDA
AMAYO
API
STTNAS
STTN BATAN
STTKD
STTA
ISI
AKPRIND
STPN
STIE YKPN
STIM YKPN
UP45Y
STPMD

Emang isi tasnya beda2 ya?"
16,@Kuliah_FE_UAJY mau tanya admin kuliah umum crash program gelombang 4 mulai kapan ya?
17,"Anak fisip uajy mah isi tasnya lipstik, parfum, binder, duit buat nongki, rokok, mirrorless, jedai #IsiTasAnakTwitter"
18,@himaforka_uajy Terima kasih Himaforka 🙏🏻
19,"@HMTI_UAJY Terima kasih HMTI, kiranya Tuhan juga memberkati HMTI 🙏🏻"
20,"segenap pengurus HMTI mengucapkan selamat ulang tahun kepada HIMSI UAJY

Semoga semakin menjadi himpunan yang selalu menjunjung tinggi nilai-nilai ke-AtmaJayaan dan melayani dengan setulus hati.

Tuhan Memberkati🙏
@himsi_uajy https://t.co/yv7kuBCfq5"
21,"[ ANNIVERSARY HIMSI KE-2 ]

Kami segenap keluarga besar Himaforka UAJY mengucapkan Happy 2nd Anniversary kepada HIMSI UAJY 🎊🎉

Semoga HIMSI semakin jaya dan semakin erat dalam kebersamaan yang telah dibangun. 🙏🏻🙏🏻 https://t.co/H8C3YegW4p"
22,Jadwal input buat yang dapet kelas bayangan kapan? @Kuliah_FE_UAJY
23,"Selamat hari jadi yang ke-dua, HIMSI UAJY! Semoga HIMSI selalu mampu memaksimalkan segala sesuatunya yang lebih baik untuk kedepannya 🙏🏻 https://t.co/ArcKmLcUK0"
24,"Masih tergolong baru dan umur yang sangat muda untuk sebuah organisasi, namun hal tersebut bukanlah menjadi halangan bagi HIMSI untuk melangkah lebih maju dalam melayani mahasiswa Sistem Informasi UAJY dan mengabdi kepada UAJY."
25,"[HUT HIMSI]

Hari ini, tepatnya 24 Januari tahun ini, Himpunan Mahasiswa Sistem Informasi UAJY (HIMSI UAJY) telah genap berusia 2 tahun."
26,"Besok ini gua buat dah isi tas anak teknik industri uajy wkwkwk

Kaga lah bangsat malesin"
27,UAJY Gelar Pelatihan Penggunaan Digital Resources https://t.co/f5sBbCTpgj https://t.co/4o1A7oioEA
28,"@uajy Pantesan liat buku pedoman krs nya temen kos namanya jadi FBE Hehe, keren..."
29,"KKN 74 UAJY - 91 BATUSARI, NGAWEN, GUNUNG KIDUL https://t.co/6MQXiwwOg4 via @YouTube"
30,"Dimakamkan pada : Rabu, 23 Januari 2019 pukul 11.00 di makam Griya Taman Asri

Bidston penghiburan : Selasa 22 Januari 2019 pukul 17.00

Bidston pemberangkatan jenasah : Rabu 23 Januari 2019 pukul 10.00"
31,"Telah dipanggil Tuhan Arya Adiyatma Putra 

pada hari : 
Selasa, 22 Januari 2019 pukul 01.30 di RS.Sardjito,

Tanggal lahir : 2 September 1997

Alamat rumah duka : Griya Taman Asri blok C 337,Pendowoharjo,Sleman,Yogyakarta

Bersambung pada kolom komentar."
32,"10 Universitas Swasta Terbaik Versi Kemenristekdikti, Yuk Daftar! https://t.co/q3SAh8WgYo via @idntimes #UAJY #AtmaJogja"
33,Atma Jogja Mengubah Fakultas Ekonomi jadi FBE https://t.co/aMA3AdohU5 #krjogja via @krjogjadotcom #UAJY #AtmaJogja #UAJYBerita
34,"Rebranding, FE UAJY Jadi FBE Atma Jogja https://t.co/THtwPbt8su #UAJYBerita #UAJY #AtmaJogja"
35,FE Universitas Atma Jogja Berubah Nama Menjadi FBE https://t.co/GtayesIWUC #UAJYBerita #AtmaJogja #UAJY
36,"Info from @pascauajy  -  Program Pascasarjana Universitas Atma Jaya Yogyakarta telah membuka pendaftaran Mahasiswa Baru Semester Genap Tahun Akademik 2018/2019 Tahap III, dengan pilihan… https://t.co/RFTray5xPc"
37,"Memeriahkan Hari Bhakti Imigrasi ke 69, lima puluh (50) orang asing dari berbagai negara turut serta dalam Lomba Batik yang diadakan di Pendopo Krida Manunggal Budaya Yogyakarta @ditjen_imigrasi @Kemenkumham_RI @ISIjogja @uajy @UGMYogyakarta @klik_uad @usdofficial https://t.co/WbGfXaWqUj"
38,Video Kelompok KKN 74 UAJY Unit M Kelompok 59: https://t.co/8th6z4QBJU via @YouTube
39,@satriapandawaa @Kuliah_FE_UAJY bayarnya? terakhir hari ini mas
40,@Kuliah_FE_UAJY Spp tetap jadwalnya kapan ya min?
41,Bangga pernah mjd alumni Marching Band UAJY.. Proficiat gaes! https://t.co/AdX6sP6ow8
42,@desiamalo Wenak. Siyaap! Sebuah wejangan terbaroe dari calon rektor UAJY!
43,"@gabyswastika Waa.. No. 4. Sebagai alumni UAJY, ku juga bangga 😄👏👏"
44,"Sebagai alumnae UAJY, ku sumringah~ https://t.co/7IigWRHX1q"
45,"Sedang Berlangsung Dialog Aktual PRO 1 RRI Yogyakarta dengan Topik    
Harapan Terhadap Debat Capres Cawapres dengan Narasumber Pakar Hukum UAJY Dr.B.Hestu Cipto Handoyo dipandu Prima Hapsari. 
Dengarkan dan ikuti melalui FM 91.1 MHz atau mobile application rriplay."
46,@rlthingy Uajy sudah mau memulai semester baru...
47,Pengumuman Pendaftaran Asisten Praktikum Pengukuran dan Pemetaan lab. Ilmu Ukur Tanah. Untuk dimanfaatkan. https://t.co/k6iZNR9f3O
48,"Info from yehezkielyoel  -  ❗❗FTI ART UAJY 2019 present ❗❗
📷 NATIONAL PHOTOGRAPHY COMPETITION 📷
Hello there! 
Untuk kalian yang mempunyai banyak Street Photography dan ingin mendapatkan… https://t.co/s0csp301bv"
49,"Info from yehezkielyoel  -  (!)(!)REFRESH (!)(!) Halo kawan-kawan se-UAJY! 👋
REFRESH IS COMING!! 🎆
Ayoo tunjukan bakat dan kemampuan mu di kompetisi REFRESH ""Dare to be a Winner""… https://t.co/jKGKXqy615"
50,"Info from @uk_uajy  -  📣 KABAR GEMBIRA UNTUK KITA SEMUA !! 💞 .
Telah dibuka (kembali) 💞💞
PENDAFTARAN ANGGOTA
TIM KOOR MISA KAMPUS GEN-2 (TKMK)
.
🚨 Pendaftaran cuma sampe 5 Februari loh… https://t.co/IUkp76LkLT"
51,"Info from @fiattv  -  THE LONG WAIT IS FINALLY OVER 🚀

FIAT kembali membuka pendaftaran buat kamu mahasiswa UAJY (terbuka untuk semua fakultas) angkatan 2017 dan 2018 yang ingin punya… https://t.co/bxuYnkA1U4"
52,@yustinusagylK @uajy Wkwkwkw gass mas...
53,Pagi min @Kuliah_FE_UAJY mau menanyakan mengenai pengumuman beasiswa spp tetap kapan ya? Terima kasih
54,@felisidew @uajy hayooo ikutan ga nih?
55,@uajy gmna ? Ikutan ngga ? https://t.co/eqTot3EGNT
56,"UAJY bagus, aku percaya risetnya. Kalau peringkat UAJY jelek, berarti risetnya yang salah. Udah, hidup positif gak perlu susah https://t.co/WwdPGtZgWt"
57,Eh mbok alumni uajy jg galang dukungan buat pilpres kya alumni univ lain dong... ben rame” dukung Jokowi. Kan seru ! Mana hesteknya mana
58,@FANBASEBOKEP Tahu gejrot deket uajy juga 5k seporsi. Enaq skl.
59,Innovative Informatics Contest 2019 di UAJY - Info Lomba 2019 Terbaru https://t.co/uCbDpdrbqX #lomba #Infolomba #Pelajar #LombaSMA #Infolomba2019
60,"Min @uajy enggak minat ikutan ini?

mungkin e-sport bisa jadi sarana Uajy buat promosi juga..
lebih efektif saya rasa..

Mahasiswa Uajy banyak yang jago kok min.. https://t.co/qeDYmkIYYF"
61,@eximenesbeno Untung kuliah di Teknik Informatika UAJY
62,@iniakunler Korsaku item. UAJY ya u?
63,"@Kuliah_FE_UAJY pagi min, ada info tentang crash program nggak?"
64,Kelakuan anak uajy lmao ambil dr story temen https://t.co/tFlzDlYrVl
65,Pengumuman Herregistrasi &amp; Biaya Pendidikan Program S1 TA. 2018/2019 Semester Genap https://t.co/YlOJCHEav6
66,Pengumuman Penerimaan Asisten Praktikum Semester Genap TA 2018/2019 Fakultas Teknobiologi. Untuk dapat dimanfaatkan. https://t.co/fa5VdJltlq
67,Informasi Penerimaan Mahasiswa Baru Universitas Atma Jaya Yogyakarta 2019/2020 https://t.co/Ywgs9Y3obM
68,"@ayulestaridp Di Mrican mba, deket Hukum UAJY, Ramen Hakata ituu lhoo mbaaa"
69,"@arybastanta Yaampun min :( @uajy 
Dosbimku blur :(("
70,"@aininawulan @araaseoo Unpad,  ui, ugm, upn, uajy, upri, dll banyak kok"
71,"@Ricardo18813858 @jokowi @tni_ad @884GlobalRadio @agmunthe @anakgadih_amak @anggitautami_ @galucutaw @titaaafm @Adeee_hs @13Fitfitri @AdhityaRatih @ainahrf @alfridharyadi @AnggunHelen @AnnisaDyahUtam2 @anti_hi @ApryanaHari @AqillaHumaira5 @uajy Siap² bung. Nikmati saja dulu cuitanmu. Kita lihat setelah ini apa. 
@CCICPolri @BareskrimPolri"
72,UAJY Jalin Kerja Sama dengan Kansai University Jepang https://t.co/kanJQAh4RZ https://t.co/TVfWhGgE7G
73,"@Ricardo18813858 @jokowi @tni_ad @884GlobalRadio @agmunthe @anakgadih_amak @anggitautami_ @galucutaw @titaaafm @Adeee_hs @13Fitfitri @AdhityaRatih @ainahrf @alfridharyadi @AnggunHelen @AnnisaDyahUtam2 @anti_hi @ApryanaHari @AqillaHumaira5 @uajy Waduh..nih anak telat minum obat x ya.
Cc.@CCICPolri 
      @aduankonten 
      @BareskrimPolri 
      @DivHumas_Polri"
74,"@Ricardo18813858 @jokowi @tni_ad @884GlobalRadio @agmunthe @anakgadih_amak @anggitautami_ @galucutaw @titaaafm @Adeee_hs @13Fitfitri @AdhityaRatih @ainahrf @alfridharyadi @AnggunHelen @AnnisaDyahUtam2 @anti_hi @ApryanaHari @AqillaHumaira5 @uajy Makanya kalau mikrolax itu dipakainya di pantat om
Bukan di kepala
Jadi gini kan"
75,"Info from yolasidebang  -  Himpunan Mahasiswa Sipil Universitas Atma Jaya Yogyakarta (UAJY)
Dengan bangga mempersembahkan 🎉LOMBA NASIONAL CIVIL ENGINEERING DAYS 2019🎉

1. Innovation of… https://t.co/b1wLQwmZLJ"
76,"Info from komunitastariuajy  -  📣OPEN TENANT TARANGGANA SUMAPALA📣

HALO🙋‍♀️🙋‍♂️
Komunitas Tari UAJY membuka peluang untuk kalian yang ingin memasarkan produk jualan kalian di atma jaya!… https://t.co/WwVCOoV9ue"
77,"Info from nin.nanovila  -  [ INFORMATICS INNOVATIVE CONTEST 2019 ]

Haloo teman-teman SMA/SMK sederajat se-Indonesia! 🙌

Kalian punya ide-ide brilian tapi bingung mau dituangkan ke mana?… https://t.co/MGvgOtP33K"
78,"@Ricardo18813858 @jokowi @tni_ad @884GlobalRadio @agmunthe @anakgadih_amak @anggitautami_ @galucutaw @titaaafm @Adeee_hs @13Fitfitri @AdhityaRatih @ainahrf @alfridharyadi @AnggunHelen @AnnisaDyahUtam2 @anti_hi @ApryanaHari @AqillaHumaira5 @uajy Anak blum disunat ya gitu,,,,klau minta permen karet baru nagis2 ,,,minta mf segala,yg nyesal lah."
79,@Ricardo18813858 @jokowi @tni_ad @884GlobalRadio @agmunthe @anakgadih_amak @anggitautami_ @galucutaw @titaaafm @Adeee_hs @13Fitfitri @AdhityaRatih @ainahrf @alfridharyadi @AnggunHelen @AnnisaDyahUtam2 @anti_hi @ApryanaHari @AqillaHumaira5 @uajy Dasar kampret gk pasukanNya gk junjunganNya sama2 tukang fitnah dan hoax.
80,@Ricardo18813858 @jokowi @tni_ad @884GlobalRadio @agmunthe @anakgadih_amak @anggitautami_ @galucutaw @titaaafm @Adeee_hs @13Fitfitri @AdhityaRatih @ainahrf @alfridharyadi @AnggunHelen @AnnisaDyahUtam2 @anti_hi @ApryanaHari @AqillaHumaira5 @uajy Masih bocah..tar nangis kalo ketangkep...hahhaha
81,@pr1841788 @LisdiyantoR @Ricardo18813858 @jokowi @tni_ad @884GlobalRadio @agmunthe @anakgadih_amak @anggitautami_ @galucutaw @titaaafm @Adeee_hs @13Fitfitri @AdhityaRatih @ainahrf @alfridharyadi @AnggunHelen @AnnisaDyahUtam2 @anti_hi @ApryanaHari @AqillaHumaira5 @uajy Pantes otak nya busuk
82,@Ricardo18813858 @lelaki_jkw19 @jokowi @tni_ad @884GlobalRadio @agmunthe @anakgadih_amak @anggitautami_ @galucutaw @titaaafm @Adeee_hs @13Fitfitri @AdhityaRatih @ainahrf @alfridharyadi @AnggunHelen @AnnisaDyahUtam2 @anti_hi @ApryanaHari @AqillaHumaira5 @uajy Ini jembut dajjal ngapain lagi 😑
83,@anselmahesti uajy.. n karo j cedekk wkwkw
