,Word,POS
0,mamak,NN
1,emang,NN
2,udah,JJ
3,nggak,RB
4,mudah,JJ
5,mudah,JJ
6,mamak,NN
7,udah,MD
8,tenang,VB
9,anak,NN
10,uajy,FW
11,makan,VB
12,warung,NN
13,makan,VB
14,nasi,NN
15,gongso,NN
16,bu,NN
17,gendut,NN
18,jalan,NN
19,tambakbayan,NN
20,kantor,NN
21,humas,NN
22,sekretariat,NN
23,protokol,FW
24,khsp,FW
25,uajy,FW
26,semangat,NN
27,ajak,NN
28,mahasiswa,NN
29,uajy,FW
30,lomba,FW
31,hias,FW
32,lampion,FW
33,yg,FW
34,tantang,NN
35,tarik,NN
36,temans,NN
37,almamater,NN
38,redaksi,NN
39,bisnis,NN
40,indonesia,NN
41,moga,NN
42,dampak,NN
43,lekas,NN
44,lulus,JJ
45,promo,NN
46,fti,NN
47,art,FW
48,uajy,FW
49,national,FW
50,photography,FW
51,competition,FW
52,hello,FW
53,there,FW
54,ftiart,FW
55,promo,FW
56,nih,FW
57,daftar,NN
58,daftar,NN
59,tanggal,NN
60,januari,NN
61,tanggal,NN
62,februari,NN
63,harga,NN
64,spesial,FW
65,rp,FW
66,foto,FW
67,rp,FW
68,foto,FW
69,lho,FW
70,langsung,RB
71,dialog,NN
72,aktual,NN
73,pro,JJ
74,rri,NN
75,topik,NN
76,bedah,JJ
77,visi,NN
78,misi,NN
79,capres,NN
80,cawapres,NN
81,narasumber,NN
82,pakar,NN
83,hukum,NN
84,uajy,FW
85,dr,FW
86,riawan,NN
87,tjandra,NN
88,sh,FW
89,hum,FW
90,pandu,FW
91,prima,FW
92,dengar,FW
93,fm,FW
94,mhz,FW
95,mobile,FW
96,application,FW
97,rriplay,FW
98,eomma,NN
99,oooh,FW
100,cone,FW
101,yg,FW
102,oren,FW
103,wkwk,FW
104,ihhh,FW
105,nakal,FW
106,ga,NN
107,dibantuin,NN
108,parkir,NN
109,liat,NN
110,pandang,VB
111,kl,NN
112,pagi,NN
113,uajy,FW
114,ya,NN
115,kaa,NN
116,yuk,NN
117,ngebalap,JJ
118,yuk,VB
119,ftiuajy,FW
120,fe,FW
121,uajy,FW
122,uajy,FW
123,uajy,FW
124,selamat,FW
125,cc,FW
126,universitas,NN
127,atma,NN
128,jaya,NN
129,yogyakarta,NN
130,masuk,VB
131,guru,NN
132,swasta,JJ
133,viva,NN
134,uajy,FW
135,infografis,FW
136,hati,VB
137,hati,NN
138,tipu,JJ
139,mohon,RB
140,perhati,VB
141,movie,FW
142,card,FW
143,xxi,FW
