,Word,Weight,POS
0,kaskus,56.650914984762,FW
1,ligamahasiswa,50.38656590582675,NN
2,season,50.161927512685146,FW
3,vs,49.50818879244964,FW
4,putra,47.54973569282934,NN
5,skor,45.30834573699245,FW
6,kampus,39.18807508550999,FW
7,mahasiswa,36.610548182621905,NN
8,basketball,34.264905240063385,FW
9,yogyakarta,33.80680730103006,NN
10,atmajogja,33.40032435404702,NN
11,id,32.9439572754411,FW
12,tanding,31.905447194196938,NN
13,nationals,31.017637809890402,FW
14,info,31.01373353556228,NN
15,atma,30.875249830780316,NN
16,cjyc,30.503291631009443,FW
17,awalmasadepan,29.98910177525236,NN
18,universitas,29.93404423541863,NN
19,uii,28.04743128929154,NN
20,jaya,27.910751616972462,NN
21,badminton,27.906428151332715,FW
22,ugm,27.375808391639083,FW
23,selamat,26.914399375445413,FW
24,uajyberita,25.99562167507926,PRP
25,ya,25.909769915371083,NN
26,anak,25.745731538212656,NN
27,regu,25.17333613285806,NN
28,court,25.04342299183389,NN
29,jogja,24.83010909447073,NN
30,game,24.40725407638347,FW
31,uny,24.30759263328042,FW
32,via,23.86867476357899,PRP
33,teman,22.694192779426793,NN
34,umy,22.236054742306134,FW
35,yg,22.096204249418733,FW
36,from,21.74790696910041,NN
37,informasi,20.828914367195175,NN
38,manfaat,19.414831776730864,NN
39,kuliah,19.363462140899163,FW
40,terima,19.240767216314943,VB
41,program,17.748113250091727,NN
42,ga,17.708811195224037,NN
43,fbe,17.67903464847201,FW
44,moga,17.15488534867767,NN
45,news,16.93591995119334,NN
46,boys,16.85445430443616,FW
47,unsoed,16.537826201839284,NN
48,kerja,16.35052641023761,NN
49,kasih,15.761082919435438,NN
50,ueu,15.730527447605049,FW
51,daftar,15.727915272608623,NN
52,amp,15.597269661169095,NN
53,indonesia,15.34306625732261,NN
54,teknik,15.117368695737987,NN
55,buka,14.781177608895598,VB
56,aja,14.724486610105915,VB
57,min,14.676695018040819,FW
58,md,14.431115548404305,FW
59,lomba,13.689738261427566,FW
60,seminar,13.335430236334512,NN
61,andika,13.296376117091016,SC
62,kalo,13.074051453242868,NN
63,nih,12.988046700912504,FW
64,fakultas,12.736804353070626,NN
65,nya,12.689724377907826,NN
66,fe,12.618506462963746,FW
67,raya,12.60829630289837,NN
68,unpad,12.539807111174492,FW
69,auditorium,12.485928866476263,FW
70,lerry,12.367826311251727,FW
71,unair,12.080114068926985,NN
72,ms,12.074399758761247,FW
73,tanggal,11.909365408274285,NN
74,gelar,11.719650279226968,FW
75,keluarga,11.667161825123127,NN
76,masuk,11.581774980969147,VB
77,fisip,11.558270443298616,FW
78,mas,11.50590050347079,NN
79,robertus,11.339362806054055,FW
80,semester,11.150533662240573,NN
81,semangat,11.139535096932233,NN
82,patrick,10.94227914753278,FW
83,prodi,10.85919868731856,NN
