,0
umy,86.54185499822056
bandung,84.16215547548184
india,83.14221401939965
sabda,56.28504154580113
youtube,56.28504154580113
profile,44.49946519325624
kampus,42.542977992917926
jogja,34.33037979340368
yg,28.398832658181814
dosen,27.53366518439464
teologi,25.942074880771425
fakultas,25.14444732139248
yogyakarta,24.509818254063173
natal,23.33504864776332
tampil,23.319272968443084
full,23.21343079711938
version,22.829561452436547
deket,19.973603596354522
aja,19.45375195506184
ya,19.213186855023142
babi,17.941468719793654
fk,17.73445933688746
ugm,17.60490095569638
mahasiswa,16.3983877241683
kuliah,16.370482259925186
jalan,15.994855999419919
kalo,15.707618763448021
center,15.110025015805267
anak,15.034979264184864
kcc,15.003987067395515
sejong,15.003987067395515
korean,14.669669395163043
buka,14.310027691567416
uii,13.909075832978695
putra,13.868448778402326
mas,13.549431652725218
tour,12.804720042180055
season,12.157281589486791
vs,12.135045411771213
trip,11.925790015994625
universitas,11.83862811871185
kost,11.750525001609875
awalmasadepan,11.644480375206259
ligamahasiswa,11.644480375206259
cjyc,11.644480375206259
korea,11.459838319125064
tau,11.098149632009502
futsal,10.852800333507174
id,10.54545593351951
enak,10.442603616224398
daftar,10.29247944210699
ga,10.24621460634323
dokter,10.195462954369905
nya,9.69642747257083
skor,9.618285794851127
nih,9.614276226050576
atma,9.593414883415015
wacana,9.538088526112547
duta,9.393627561179056
masuk,9.36333667754797
acara,9.330320408962583
sih,9.299096350912412
sanata,9.199310706093444
ngarep,9.080508558691278
bahasa,9.055733507950464
makan,9.035609128933338
kota,9.001961766586165
dharma,8.871649554534901
uajy,8.708633775153155
pas,8.697676971416042
uad,8.599089226330415
sadhar,8.575006095161902
amp,8.450048957918199
indonesia,8.446249993070287
tanding,8.428458378442222
mbak,8.39259049294265
uny,8.357375398791374
jakarta,8.337377393127078
kursus,8.330594979140116
tim,8.314214075825246
jam,8.061057710895648
wkwk,8.00682150063628
kristen,7.956830275728483
rektor,7.811283245153003
limafutsal,7.749759849183031
maret,7.633186909736199
dr,7.422336509398546
pagi,7.328446022683698
gak,7.320234786909851
fad,7.319470155871217
main,7.196792035432895
nasgor,7.053381505031589
ken,6.938688780234643
terima,6.869308243665989
kak,6.864096088211132
udah,6.769343759298011
cv,6.7565527715612115
sampe,6.707593256047811
jireh,6.566884702287001
jirehtourdantransport,6.566884702287001
transport,6.566884702287001
timur,6.564762386262668
daerah,6.548363981877334
atmajaya,6.527587857354083
eh,6.393725781289534
ajar,6.389854361816285
neng,6.35048098581209
rumah,6.348132510648546
arah,6.260854582224812
program,6.255959049138123
teman,6.212568856086294
jg,6.2117330031712195
temen,6.175946424725649
pindah,6.152171340864681
lempuyangan,6.1469165520508415
of,6.1069099467553976
nama,5.930925788487058
orang,5.901809581554534
amikom,5.790466087944532
to,5.749662436541324
gelar,5.647059262929177
besok,5.647014766813125
belah,5.595594411187688
limabasktballkaskuscjyc,5.573176582794196
basketball,5.573176582794196
lookingforwardtoit,5.573176582794196
kaskus,5.573176582794196
dpn,5.550504914232135
tourleader,5.549016849250189
selatan,5.464083914454563
si,5.449400551965469
by,5.440457255479753
bgt,5.424155813808939
ni,5.4205706657425985
ukdwyogyakarta,5.401488629767392
lulus,5.390673215895718
uty,5.374221337787502
jl,5.2997810141907165
macet,5.260687662445469
timoho,5.2004193868345725
dah,5.184300773270656
tp,5.122689270396149
minggu,5.110009282835943
an,5.077918089880046
banget,5.0614819223662675
upn,5.05935421737976
sore,5.049842439206238
undip,5.0242306891854165
ra,4.9908173099638615
seminar,4.987144314564576
kembang,4.972418583207131
ii,4.95171742998501
lokasi,4.874579495202938
selesai,4.846156013408138
kidul,4.805142672227624
alumni,4.794178677197188
yuk,4.7631873576496355
selamat,4.732661485894654
buku,4.7219199619668215
dukung,4.688324871000275
klo,4.678110494540552
the,4.651444607904559
mba,4.641127505966839
awor,4.59680047627092
kenal,4.534605168078379
abis,4.534086964910684
usd,4.506623997482522
kek,4.4951132052288765
job,4.490857809724562
fair,4.490857809724562
gitu,4.4683368888657204
ukdwuniversity,4.457130521271723
emang,4.449866434193524
end,4.445862096390196
no,4.407678967743863
bethesda,4.406371526182545
ketemu,4.378570184403979
nasi,4.378532540517501
