,content
0,@yoshudahlahya @radgvrl @niramaya_ Ayoo ke warung buto :( enaaa jangan yg di ukdw
1,UKDW dan Hanseo University Korea Gelar Global Leadership Program https://t.co/fsQDmspKgh
2,"@cine21_editor ukdw #중절가능한병원 [중절비용 aaww2277@gmail.com    ~메일로 문의하세요.] 낙태수술가능한병원

정식으로 등록된 산부인과전문의(여의사) 병원
★ 전국에서 가장 저렴한 수술비용"
3,Bimbingan Khusus Masuk UKDW Program Studi Pendidikan Dokter oleh LKBB Indonesia College Yogyakarta. CP 0818461509 atau 081229873250 atau 085729014711
4,"PELATIHAN BREVET PAJAK A&amp;B UKDW
(Angkatan 17 - Kelas Eksekutif)

Pelaksanaan:
Kelas diadakan setiap hari Sabtu
Tanggal 30 Mar 2019 - 31 Mei 2019 *
Pukul 08.00 - 16.30 WIB
Bertempat di… https://t.co/4gcrp8u7ET"
5,Penampilan Dosen Fakultas Teologi di  Natal Kampus UKDW (Full Version) https://t.co/naInmCkQkr lewat YouTube #sabda
6,"@septivs Di ukdw, kamu?"
7,Boneka maskot Fakuktas Tehnologi Informasi UKDW https://t.co/uEAo0aTLom
8,Rancangan kaos FTI Fakultas Technology Informasi UKDW Jogja https://t.co/OhTd0bIM2R
9,@YayPratiwi Deket ukdw yay kanan jalan setelah jembatan layang
10,UKDW PROFILE https://t.co/3CAwDFF7x0 lewat YouTube #sabda
11,"Maaf agk melenceng dari bts, ak mau tanya utk mahasiswa/i fk ukdw ad yg bs ksh tau atau tips"" utk lolos test fk ukdw ga?? Makasi utk sebelumnya yg sdh baca tweet ini dan membantu menjawab:))
#fkukdw
#ukdw"
12,UKDW PROFILE https://t.co/3CAwDFF7x0 lewat YouTube #sabda
13,"@salsabilaels Di UKDW nggak lama.. aku cuma revisi sekali..yang 3,5 tahun lumayan.. hampir 50 anak els"
14,"@gchestia_ Di kampus hes , di ukdw lama ga ? Aku masi revisi” terus ini ec nya huhu . Els ajaa hes mgglnya wkwk"
15,"@salsabilaels EC mu ngurus dimana Sa, kalau aku dulu di UKDW"
16,Kirim robot ke UKDW https://t.co/gStJR1uU1u
17,UKDW PROFILE https://t.co/3CAwDFF7x0 lewat YouTube #sabda
18,"Isi tas anak:
UGM
UNY
UIN
UPN
UII
UTY
UNISA
UMY
UAD
UCY
UAAY
UPY
UMBY
UAJY
UWMY
UAY
UST
UJY
UKDW
USD
UKRIM
INSTIPER
AKAKOM
AMPTA
STIPARY
STIPRAM
STIEWW
STIEU PAWEDA
AMAYO
API
STTNAS
STTN BATAN
STTKD
STTA
ISI
AKPRIND
STPN
STIE YKPN
STIM YKPN
UP45Y
STPMD

Emang isi tasnya beda2 ya?"
19,"Alhamdulillah 
Yang pesen UKDW yang anter AKuDeWe
#bonekamaskot https://t.co/cwYnP5aCc5"
20,UKDW PROFILE https://t.co/3CAwDFF7x0 lewat YouTube #sabda
21,UKDW PROFILE https://t.co/3CAwDFnwFs lewat YouTube #sabda
22,Ingin terang bulan ngarep ukdw
23,Mekar Florist selatan Jembatan Layang UKDW itu udah tutup yak?
24,Penampilan Dosen Fakultas Teologi di  Natal Kampus UKDW (Full Version) https://t.co/naInmCkQkr lewat YouTube #sabda
25,@rheza_andre baabi depan ukdw
26,KCC Sejong: Brosur 2019 Pusat Budaya dan Bahasa Korea UKDW https://t.co/fHEcUYdSmF
27,Penampakan Baliho Acara 2 &amp; 3 February 2019 di UKDW Yogyakarta.... https://t.co/095stacRCw
28,KCC Sejong: UKDW membuka Mini Korean Festival bersama teman-teman Hanseo University https://t.co/Pc3PIcoJYt
29,"Bimbel Kedokteran UKDW Yogyakarta bersama Indonesia College Start 3 Feb, 28 Apr, 9 Jun, 30 Jun 2019 https://t.co/lXnlEIKzcV"
30,Yang mau masuk kedokteran UKDW silakan gabung dengan Indonesia College Yogyakarta https://t.co/nR5Vsbr4vU
31,"@MuhammadiyahGL @muhammadiyah Kalo berlaku juga sebaliknya beneran indah,,misal yang muslim kuliah di UKDW ato SADAR,,pasang gbr mahasiswinya yg hijab gak usah disamperin suruh nyomot,,,ha tapi yow arep piye,,,jogja cen wes dadi koyo ngene😥😥😥"
32,Penampilan Dosen Fakultas Teologi di  Natal Kampus UKDW (Full Version) https://t.co/naInmCkQkr lewat YouTube #sabda
