,Word,POS
0,ayoo,NN
1,warung,NN
2,buto,NN
3,enaaa,NN
4,yg,FW
5,ukdw,FW
6,ukdw,FW
7,hanseo,FW
8,university,FW
9,korea,FW
10,gelar,FW
11,global,FW
12,leadership,FW
13,program,NN
14,editor,NN
15,ukdw,FW
16,aaww,FW
17,com,FW
18,bimbing,RB
19,khusus,JJ
20,masuk,VB
21,ukdw,NN
22,program,NN
23,studi,NN
24,didik,NN
25,dokter,NN
26,lkbb,NN
27,indonesia,NN
28,college,FW
29,yogyakarta,FW
30,cp,FW
31,latih,VB
32,brevet,NN
33,pajak,NN
34,amp,FW
35,ukdw,FW
36,angkat,NN
37,kelas,NN
38,eksekutif,NN
39,laksana,NN
40,kelas,NN
41,sabtu,NN
42,tanggal,NN
43,mar,NN
44,mei,NN
45,wib,JJ
46,tampil,JJ
47,dosen,CD
48,fakultas,NN
49,teologi,NN
50,natal,FW
51,kampus,FW
52,ukdw,FW
53,full,FW
54,version,FW
55,youtube,FW
56,sabda,VB
57,ukdw,FW
58,boneka,PRP
59,maskot,VB
60,fakuktas,NN
61,tehnologi,NN
62,informasi,NN
63,ukdw,FW
64,rancang,NN
65,kaos,NN
66,fti,NN
67,fakultas,NN
68,technology,FW
69,informasi,NN
70,ukdw,NN
71,jogja,NN
72,deket,FW
73,ukdw,FW
74,yay,FW
75,kanan,NN
76,jalan,NN
77,jembatan,NN
78,layang,NN
79,ukdw,FW
80,profile,FW
81,youtube,FW
82,sabda,VB
83,maaf,NN
84,agk,NN
85,lenceng,NN
86,bts,FW
87,ak,FW
88,utk,FW
89,mahasiswa,FW
90,fk,FW
91,ukdw,FW
92,ad,FW
93,yg,FW
94,bs,FW
95,ksh,FW
96,tau,FW
97,tips,FW
98,utk,FW
99,lolos,FW
100,test,FW
101,fk,FW
102,ukdw,FW
103,ga,FW
104,makas,FW
105,utk,FW
106,yg,FW
107,sdh,FW
108,baca,FW
109,tweet,FW
110,bantu,FW
111,fkukdw,FW
112,ukdw,FW
113,ukdw,FW
114,profile,FW
115,youtube,FW
116,sabda,VB
117,ukdw,NN
118,nggak,NN
119,revisi,NN
120,lumayan,NN
121,anak,NN
122,els,NN
123,kampus,NN
124,hes,FW
125,ukdw,FW
126,ga,NN
127,mas,NN
128,revisi,NN
129,ec,NN
130,nya,PRP
131,huhu,VB
132,els,NN
133,ajaa,NN
134,hes,NN
135,mgglnya,RB
136,wkwk,VB
137,ec,FW
138,mu,FW
139,ngurus,FW
140,sa,FW
141,ukdw,FW
142,kirim,FW
143,robot,FW
144,ukdw,FW
145,ukdw,FW
146,profile,FW
147,youtube,FW
148,sabda,VB
149,isi,NN
150,tas,NN
151,anak,NN
152,ugm,FW
153,uny,FW
154,uin,FW
155,upn,FW
156,uii,FW
157,uty,FW
158,unisa,FW
159,umy,FW
160,uad,FW
161,ucy,FW
162,uaay,FW
163,upy,FW
164,umby,FW
165,uajy,FW
166,uwmy,FW
167,uay,FW
168,ust,FW
169,ujy,FW
170,ukdw,FW
171,usd,FW
172,ukrim,FW
173,instiper,FW
174,akakom,FW
175,ampta,FW
176,stipary,FW
177,stipram,FW
178,stieww,FW
179,stieu,FW
180,paweda,VB
181,amayo,NN
182,api,NN
183,sttnas,NN
184,sttn,NN
185,batan,NN
186,sttkd,NN
187,stta,NN
188,isi,NN
189,akprind,FW
190,stpn,FW
191,stie,FW
192,ykpn,FW
193,stim,FW
194,ykpn,FW
195,up,FW
196,stpmd,FW
197,emang,NN
198,isi,NN
199,tas,NN
200,beda,VB
201,ya,NN
202,alhamdulillah,NN
203,sen,NN
204,ukdw,FW
205,anter,FW
206,akudewe,FW
207,bonekamaskot,FW
208,ukdw,FW
209,profile,FW
210,youtube,FW
211,sabda,VB
212,ukdw,FW
213,profile,FW
214,youtube,FW
215,sabda,VB
216,terang,NN
217,ngarep,FW
218,ukdw,FW
219,mekar,NN
220,florist,FW
221,selatan,NN
222,jembatan,NN
223,layang,NN
224,ukdw,NN
225,udah,MD
226,tutup,VB
227,yak,NN
228,tampil,JJ
229,dosen,CD
230,fakultas,NN
231,teologi,NN
232,natal,FW
233,kampus,FW
234,ukdw,FW
235,full,FW
236,version,FW
237,youtube,FW
238,sabda,VB
239,andre,FW
240,baabi,FW
241,ukdw,FW
242,kcc,MD
243,sejong,VB
244,brosur,NN
245,pusat,NN
246,budaya,NN
247,bahasa,NNP
248,korea,NNP
249,ukdw,NNP
250,baliho,NN
251,acara,NN
252,amp,FW
253,february,FW
254,ukdw,FW
255,yogyakarta,CC
256,kcc,FW
257,sejong,FW
258,ukdw,FW
259,buka,VB
260,mini,NN
261,korean,NN
262,festival,NN
263,teman,NN
264,teman,NN
265,hanseo,FW
266,university,FW
267,bimbel,FW
268,dokter,FW
269,ukdw,FW
270,yogyakarta,FW
271,indonesia,FW
272,college,FW
273,start,FW
274,feb,FW
275,apr,FW
276,jun,FW
277,jun,FW
278,masuk,VB
279,dokter,FW
280,ukdw,FW
281,sila,SC
282,gabung,VB
283,indonesia,NN
284,college,FW
285,yogyakarta,CC
286,kalo,NN
287,laku,NN
288,beneran,NN
289,indah,JJ
290,muslim,NN
291,kuliah,NN
292,ukdw,FW
293,ato,FW
294,sadar,FW
295,pasang,FW
296,gbr,FW
297,mahasiswi,FW
298,yg,FW
299,hijab,FW
300,gak,FW
301,disamperin,FW
302,suruh,FW
303,nyomot,FW
304,ha,FW
305,yow,FW
306,arep,FW
307,piye,FW
