,Word,Weight,POS
0,umy,86.54185499822056,FW
1,bandung,84.16215547548184,NN
2,india,83.14221401939965,PRP
3,sabda,56.28504154580113,VB
4,youtube,56.28504154580113,FW
5,profile,44.49946519325624,FW
6,kampus,42.542977992917926,FW
7,jogja,34.33037979340368,NN
8,yg,28.398832658181814,FW
9,dosen,27.53366518439464,CD
10,teologi,25.942074880771425,NN
11,fakultas,25.14444732139248,NN
12,yogyakarta,24.509818254063173,FW
13,natal,23.33504864776332,FW
14,tampil,23.319272968443084,JJ
15,full,23.21343079711938,FW
16,version,22.829561452436547,FW
17,deket,19.973603596354522,FW
18,aja,19.45375195506184,FW
19,ya,19.213186855023142,NN
20,babi,17.941468719793654,VB
21,fk,17.73445933688746,FW
22,ugm,17.60490095569638,FW
23,mahasiswa,16.3983877241683,FW
24,kuliah,16.370482259925186,NN
25,jalan,15.994855999419919,NN
26,kalo,15.707618763448021,NN
27,center,15.110025015805267,FW
28,anak,15.034979264184864,NN
29,kcc,15.003987067395515,MD
30,sejong,15.003987067395515,VB
31,korean,14.669669395163043,NN
32,buka,14.310027691567416,VB
33,uii,13.909075832978695,FW
34,putra,13.868448778402326,NN
35,mas,13.549431652725218,NN
36,tour,12.804720042180055,FW
37,season,12.157281589486791,FW
38,vs,12.135045411771213,FW
39,trip,11.925790015994625,JJ
40,universitas,11.83862811871185,NN
41,kost,11.750525001609875,FW
42,awalmasadepan,11.644480375206259,NN
43,ligamahasiswa,11.644480375206259,NN
44,cjyc,11.644480375206259,FW
45,korea,11.459838319125064,FW
46,tau,11.098149632009502,FW
47,futsal,10.852800333507174,NN
48,id,10.54545593351951,NN
49,enak,10.442603616224398,NN
50,daftar,10.29247944210699,NN
51,ga,10.24621460634323,FW
52,dokter,10.195462954369905,NN
53,nya,9.69642747257083,PRP
54,skor,9.618285794851127,FW
55,nih,9.614276226050576,VB
56,atma,9.593414883415015,FW
57,wacana,9.538088526112547,NN
58,duta,9.393627561179056,NN
59,masuk,9.36333667754797,VB
60,acara,9.330320408962583,NN
61,sih,9.299096350912412,JJ
62,sanata,9.199310706093444,NN
63,ngarep,9.080508558691278,FW
64,bahasa,9.055733507950464,NNP
65,makan,9.035609128933338,VB
66,kota,9.001961766586165,NN
67,dharma,8.871649554534901,NN
68,uajy,8.708633775153155,FW
69,pas,8.697676971416042,NN
70,uad,8.599089226330415,FW
71,sadhar,8.575006095161902,FW
72,amp,8.450048957918199,FW
73,indonesia,8.446249993070287,NN
74,tanding,8.428458378442222,FW
