,Word,Weight,POS
0,mas,56.853761435711824,JJ
1,udah,19.34043533668679,JJ
2,nih,18.061184589683936,JJ
3,selamat,11.815753818216654,JJ
4,salah,10.637925532974611,JJ
5,kaya,10.069068194483293,JJ
6,nyata,8.648372886218729,JJ
7,pindah,7.077002420034744,JJ
8,kenal,6.558231064649468,JJ
9,murah,6.263034172656798,JJ
10,aneh,3.213702275942663,JJ
11,penuh,3.192093145173475,JJ
12,kuat,3.0346160462812892,JJ
13,sitik,2.8605427355221327,JJ
14,swasta,2.802344177290672,JJ
15,mahal,2.6952944250065314,JJ
16,nakal,2.631466562277132,JJ
17,cepat,2.5561113655544228,JJ
18,habis,2.4554662404335716,JJ
19,dar,2.451814191258843,JJ
20,macet,2.3890280323380297,JJ
21,resmi,2.308295914312226,JJ
22,sesuai,2.2992327286883683,JJ
23,bersih,2.2894646375426206,JJ
24,panas,2.2423592412513313,JJ
25,gratis,2.2151955555269156,JJ
26,ah,2.0859062036011204,JJ
27,serius,1.949187181807517,JJ
28,rugi,1.9173994393020948,JJ
29,mantan,1.8845747547414395,JJ
30,kasar,1.8591174487765445,JJ
31,ngapunten,1.7995793529527835,JJ
32,aman,1.7034342383851266,JJ
33,bonus,1.6634225002036795,JJ
34,asli,1.6450952797489078,JJ
35,ngapain,1.6430171967011222,JJ
36,suci,1.6325733410224281,JJ
37,lokal,1.5680967344177514,JJ
38,senior,1.5637403296369123,JJ
39,sis,1.536001832862821,JJ
40,profesional,1.4449193923099142,JJ
41,tertib,1.4180873854397316,JJ
42,mudah,1.4141622996369727,JJ
43,minimal,1.4081451020831959,JJ
44,kyk,1.3958460459680657,JJ
45,official,1.3936054591414844,JJ
46,normal,1.3643161012775549,JJ
47,utama,1.3554363909683762,JJ
48,layak,1.3315164526241743,JJ
49,uph,1.2384270647215516,JJ
50,yg,54.5495702516122,NN
51,anak,50.251494294489696,NN
52,ya,44.051578787647315,NN
53,aja,38.537087796075866,NN
54,ga,33.24477606226628,NN
55,kuliah,32.34692271751451,NN
56,dab,31.45964089828234,NN
57,mrican,30.384409145602014,NN
58,kalo,26.92508422335713,NN
59,sih,24.60189023490468,NN
60,enak,22.84600505211577,NN
61,nya,22.514562562780444,NN
62,meme,20.541981676951696,NN
63,yo,20.112099432995276,NN
64,ra,19.09683986455606,NN
65,nek,18.941221149426987,NN
66,atma,18.34531103255484,NN
67,sadar,17.292418366275186,NN
68,gak,17.04155663213595,NN
69,uii,16.954925216784755,NN
70,wkwkwk,16.942033977469542,NN
71,ora,14.98893838592719,NN
72,gejayan,14.797289659085417,NN
73,ken,14.420219016769718,NN
74,mahasiswa,14.356407386046813,NN
75,kak,14.080706150610704,NN
76,jalan,13.88617825910613,NN
77,ono,13.558986643978772,NN
78,bgt,13.463339583677005,NN
79,cah,12.665830439942862,NN
80,iya,12.608538398393565,NN
81,daerah,12.575538527911185,NN
82,pas,12.271125795823814,NN
83,bal,11.725568282255436,NN
84,jajan,11.367143600231435,NN
85,lho,11.237907191973127,NN
86,dimsum,10.938631197547922,NN
87,menang,10.844815030076692,NN
88,rumah,10.658874373323712,NN
89,lur,10.365607886382023,NN
90,ku,10.245805556389824,NN
91,mba,10.206677016257032,NN
92,semangat,10.14355045859226,NN
93,sanata,9.831793329717845,NN
94,kangen,9.672671350220567,NN
95,lulus,9.615905928523892,NN
96,ayam,9.426352469239903,NN
97,si,9.412665559135105,NN
98,ngarep,9.315694618886148,NN
99,jg,9.28056544961758,NN
100,masuk,17.726972283066335,VB
101,mbak,17.553259181201476,VB
102,iki,17.32314904576859,VB
103,makan,12.359532588898922,VB
104,buka,11.435650887900575,VB
105,ketemu,9.842480022987829,VB
106,beli,9.704704652408417,VB
107,daftar,9.109644843034173,VB
108,kui,8.739689690920937,VB
109,tekan,8.15123808582835,VB
110,lupa,7.771197296538601,VB
111,ajar,7.605328842155257,VB
112,coba,7.475881656566551,VB
113,deh,7.448981140049047,VB
114,tuh,6.856843661288188,VB
115,tinggal,6.761018119102775,VB
116,tuju,6.469390898193512,VB
117,ni,6.318833504792972,VB
118,hati,6.074205516953684,VB
119,tolong,6.036767968946906,VB
120,beda,5.989375216462647,VB
121,mbah,5.887652840200589,VB
122,bayar,5.870455963590803,VB
123,cari,5.712392537834894,VB
124,cerak,5.709027937014246,VB
125,tunggu,5.66251077986302,VB
126,dadi,5.649228007742858,VB
127,pulang,5.595338601874906,VB
128,pikir,5.457747722636881,VB
129,kumpul,5.326296122081069,VB
130,cerdas,4.616919217486545,VB
131,tulis,4.505766170451751,VB
132,meh,4.263958339206405,VB
133,kalah,4.256639787350764,VB
134,kampung,4.236860768416302,VB
135,harap,4.191714291826559,VB
136,maksud,4.116790066342157,VB
137,latih,3.9889471387056803,VB
138,saiki,3.934754218558875,VB
139,bawa,3.912250310019315,VB
140,pilih,3.8379036417677077,VB
141,kakak,3.7071388396957365,VB
142,temu,3.6739804236629365,VB
143,putih,3.6579749102325847,VB
144,duh,3.647943467798335,VB
145,sesuk,3.5748242541880386,VB
146,kabar,3.5035740961058734,VB
147,jebul,3.3820131779245877,VB
148,butuh,3.3480570313353253,VB
149,dukung,3.2863190053518134,VB
