,0
mas,56.853761435711824
yg,54.5495702516122
kampus,51.10508562657461
anak,50.251494294489696
deket,44.43760687641308
ya,44.051578787647315
aja,38.537087796075866
ga,33.24477606226628
kuliah,32.34692271751451
wkwk,32.3437373619954
dab,31.45964089828234
mrican,30.384409145602014
jogja,29.715895858822805
upn,27.22858187979881
kalo,26.92508422335713
ugm,25.14711018511955
sih,24.60189023490468
uny,23.224922992345135
enak,22.84600505211577
nya,22.514562562780444
meme,20.541981676951696
yo,20.112099432995276
udah,19.34043533668679
tau,19.33029631750703
ra,19.09683986455606
nek,18.941221149426987
main,18.52866023538759
atma,18.34531103255484
nih,18.061184589683936
masuk,17.726972283066335
paing,17.709063706805278
mbak,17.553259181201476
iki,17.32314904576859
sadar,17.292418366275186
gak,17.04155663213595
uii,16.954925216784755
wkwkwk,16.942033977469542
neng,16.23153311873053
tp,15.436449484679486
sing,15.212614581334867
ki,15.047793283219768
ora,14.98893838592719
gejayan,14.797289659085417
ken,14.420219016769718
mahasiswa,14.356407386046813
kak,14.080706150610704
jalan,13.88617825910613
po,13.58894545711626
ono,13.558986643978772
bgt,13.463339583677005
cah,12.665830439942862
iya,12.608538398393565
daerah,12.575538527911185
biar,12.544602724779658
makan,12.359532588898922
pas,12.271125795823814
nggih,12.21755854875127
bagus,12.182009844335912
sasing,12.070204183570551
hehe,11.986842980896908
ust,11.96539508143228
selamat,11.815753818216654
wae,11.814095318636863
wes,11.787258189761765
bal,11.725568282255436
psim,11.691603127205255
kayak,11.479737827811839
buka,11.435650887900575
jajan,11.367143600231435
wkwkw,11.3190874179492
ning,11.250888717333982
lho,11.237907191973127
nder,10.974185072734546
dimsum,10.938631197547922
emang,10.922625473810688
amikom,10.888446620901984
menang,10.844815030076692
banget,10.81408379169689
rumah,10.658874373323712
salah,10.637925532974611
lur,10.365607886382023
umy,10.312738866325937
uad,10.259914898668486
ku,10.245805556389824
mba,10.206677016257032
semangat,10.14355045859226
gitu,10.134490663702866
to,10.077287123042401
kaya,10.069068194483293
ketemu,9.842480022987829
sanata,9.831793329717845
eh,9.820269208226797
nggak,9.814403526692624
beli,9.704704652408417
kangen,9.672671350220567
lulus,9.615905928523892
ayam,9.426352469239903
si,9.412665559135105
ngarep,9.315694618886148
jg,9.28056544961758
moga,9.222495135372824
uin,9.192763467437995
ojo,9.126858381716657
daftar,9.109644843034173
an,8.98454407876546
kentang,8.961136636971872
min,8.899591298445685
dewe,8.843807929032359
dkt,8.78514633722476
alon,8.753922967766703
kui,8.739689690920937
nyata,8.648372886218729
demo,8.61975824023163
haha,8.336674264469378
sek,8.246691378695845
tekan,8.15123808582835
mung,8.107166509054503
sampe,8.033089108329222
besok,8.004808645422681
nama,7.987158378173134
koe,7.916030834681205
bu,7.909829071866716
opo,7.880550857560636
lupa,7.771197296538601
bahasa,7.723742696325875
tu,7.709237008320845
ayo,7.692554321095012
pagi,7.672709852494801
km,7.669660156124334
tetep,7.653807335550942
ajar,7.605328842155257
kae,7.561277642158321
uajy,7.558712791715737
alumni,7.52655668192285
coba,7.475881656566551
deh,7.448981140049047
cimol,7.437258708823453
loh,7.436216498781979
orang,7.388213156761099
nang,7.379455296737329
mah,7.366017336219468
temen,7.333819498978008
kudu,7.332374100817488
atmajaya,7.284791952953441
mergo,7.271984267876868
pake,7.126239498197704
btw,7.106362655064124
pindah,7.077002420034744
untung,7.017122818823822
utara,6.955146906343519
cm,6.904870989245026
bener,6.875767338744901
tuh,6.856843661288188
teh,6.817661115068318
tinggal,6.761018119102775
bilang,6.751480635238602
samping,6.7452174316563545
dah,6.725976060004721
kost,6.6326711773401845
aksi,6.605101740922283
bikin,6.5884579052367425
suwun,6.568286032784267
kenal,6.558231064649468
suka,6.558199104641941
jam,6.530755270578248
lg,6.510089155988341
tuju,6.469390898193512
le,6.423847611127698
mundur,6.423580738153235
yk,6.38088878150517
wis,6.357912781858659
belah,6.347984604257444
ni,6.318833504792972
kali,6.30925283018272
kah,6.272441899643126
murah,6.263034172656798
lha,6.25868214822325
langsung,6.231023893206519
gimana,6.200959786299285
acara,6.1954538654324
bangga,6.188280986160698
temenku,6.1750259716232705
nak,6.099315385096448
hati,6.074205516953684
gatau,6.065520258728608
gin,6.0606453215240945
nasi,6.060562008656269
oh,6.046304515465504
tolong,6.036767968946906
univ,5.99844957041258
udh,5.993861386486769
dapet,5.989832169542626
beda,5.989375216462647
inggris,5.986702502229833
geprek,5.958113174333658
bareng,5.923423202049137
mbah,5.887652840200589
tetangga,5.885084504510427
bayar,5.870455963590803
ben,5.869738555224745
foto,5.8643761888629955
kerja,5.8590203009881066
terima,5.8355606796825
dosen,5.83199858489516
iso,5.788748790957455
les,5.779622888717569
jual,5.768707194356886
usd,5.7545333269031484
news,5.7482853372713985
paham,5.740451829780188
kelas,5.739878058798773
cari,5.712392537834894
cerak,5.709027937014246
selatan,5.707223750879491
sik,5.705562606874255
ak,5.698864945085022
tim,5.681173460939708
kek,5.669126180060004
tunggu,5.66251077986302
dadi,5.649228007742858
ro,5.631023311325083
pulang,5.595338601874906
liat,5.538974221894535
maaf,5.4878256240728405
kuwi,5.480621471416694
pikir,5.457747722636881
dharma,5.420622187892237
dll,5.415955166007353
seko,5.402752152402116
sopo,5.369295814437891
ukdw,5.330320061947284
kumpul,5.326296122081069
karo,5.324875658602903
rame,5.310426370421339
hahaha,5.309504868205543
gt,5.261581307682088
no,5.253673331356582
ndan,5.252677867453723
dr,5.235463250044832
pus,5.2177075040363325
mandala,5.199343175962909
kalijaga,5.198723490146209
sm,5.197451389679617
matur,5.188262021288855
sayang,5.180791111928239
mbok,5.174441960501955
gue,5.1744133690160545
nonton,5.166450214778191
amp,5.143988130968071
