,content
0,"@banunfrd Alhamdulillah nune, di sadhar nune~"
1,@mardevvv Aku pen siomay sichan deket sadhar wkwk modelannya begitu juga per pcs huhu
2,@libraegirl Cilok deket sadhar kuy
3,@Reynaldi_Haris aku di sadhar reyyy
4,@paper1aeroplane YaAllaahh deketaan wkwkwk aku di sadhar faaan wkwk
5,@erinariya Hmmm coba gletak helm nya rin kali aja goyot sadhar:(
6,"Kost AC. 1,3 nonAC, 800rb/bln, kmr dlm. sebrang Amplas dkt UIN UNY Sadhar Jogja. Hub:081298747492,081294947246"
7,@askmenfess Sadhar diri ada ga nih???
8,"@nisaash_ atma jaya kidul sadhar cerak tangga biyen akeh colokan, UNY sepanjang koridor tiap fakultas banyak colokan... biyen sih jaman aku enom"
9,@kristoforusyuma Sejati raya betboiz.. topbois e sadhar.. setelane om wawes ro guyon waton. Siapakah dia??? Mario brooooooo
10,@mydayfess mirip auditoriumnya sadhar wkwk
11,@Dimasluthfy11 Deket kampus sadhar paingan ada mie ayam enak loh pik..
12,"Bhaha bahas duit wisuda saya masih bersyukur karna duit wisuda di Sadhar ngak segede di kampus"" Ibu kota, tp tep wae sambat ~"
13,Redihhh!! https://t.co/PvsLSheAhr
14,"Dari sekian banyak berita, kenapa tidak ada statement dari manajemen terkait target musim depan? 😁😁 https://t.co/fR7eWloGTh"
15,"Yang perlu digarisbawahi dan direnungkan, ""Rivalitas iki wis kebablasen"". 🙏 https://t.co/Hk8APewpWn"
16,"@yulisticare @bulbaseinov 7rb doang di deket kampus Sadhar Jogja udah dapet ayam goreng, tempe krispi, sayur, dan nasi limpah ruah :')"
17,@askmenfess Sadhar?? Sini sini
18,"@stevanny_youw Iyaaa van, wah Bu Tinon awet muda lho nggak berubah dari dulu 😆, owalaahh iya dia kemaren jadi mitra perpus mrican, pantesan kalian bisa ketemu wkakakaa, kamu ambil jurusan apa van di sadhar?"
19,@anindyawinda_k Wah salah satu guru terbaik yaa 😀 pas 2018 kemrin sih kyaknya dia jdi perwklan mahasiswa ngasih pengrhan perpustakaan gtu dan aku jdi mabanya 😂😂 aku kan lanjut kuliah lgi di Sadhar wkwkw
20,"temen kelas aing di sadhar malah sampe ada yang hafal sholawatan, saking menggelegarnya suara toa masjid di daerahnya. https://t.co/S4TbMU8OkT"
21,Nasib Persepakbolaan Indonesia kedepan ditentukan hari ini Kamu sebagai salah satu pendiri PSSI kok malah mung manut @PSIMJOGJA
22,Intinya kecewa lah sama perwakilan voters dari kita. 😊 https://t.co/A189ppmJe9
23,"@BM_Sadhar @PSIMJOGJA Masih ikut"" an ya dhar atau mungkin memiliki kepentingan tersendiri. Dari hasil voters itu, bisa disimpulkan mayoritas kita masih belum menginginkan sepakbola yg bersih dan baik."
24,Jadi kamu.... @PSIMJOGJA 😂😂 https://t.co/Mivyk6hQJY
25,@RossoViora @Wariman_ Ngarep sadhar ono nek bengi
26,@mangoccino gatau???atma jaya apa sadhar gatau gue
27,"@fayisalsabila_ Sadhar we penak, ngopo syirik ro nggonmu hiya hiya hiya"
28,@rlthingy Sadhar sini ma aq
29,@rlthingy sadhar? eh ap mn kutaktau
30,"@yosephdeny Mass, sekarang ku sudah lulus.. 
Alhamdulilah.. Sadhar sudah meluluskan wong edan kayak kamu dan aku :)"
31,"@doublknot Makanya nih kuat bgtt
Hmm
U know lah farmasi sadhar susah bgt tembus nya"
32,Nasi Balap samping Sadhar masih niat jualan gk sih? :(
33,Susah dah ini meng-apa-lah sama anak ISI wkwk. Dari si aku yang dulu mau masuk ISI tapi malah masuk SaDhar trus ke UPH -_-
