,Word,POS
0,alhamdulillah,NN
1,nune,FW
2,sadhar,FW
3,nune,FW
4,pen,NN
5,siomay,FW
6,sichan,FW
7,deket,FW
8,sadhar,FW
9,wkwk,FW
10,model,FW
11,pcs,FW
12,huhu,FW
13,cilok,VB
14,deket,FW
15,sadhar,FW
16,kuy,FW
17,haris,NN
18,sadhar,FW
19,reyyy,FW
20,yaallaahh,VB
21,deketaan,NN
22,wkwkwk,NN
23,sadhar,NN
24,faaan,NN
25,wkwk,JJ
26,hmmm,NN
27,coba,VB
28,gletak,NN
29,helm,NN
30,nya,NN
31,rin,NN
32,kali,NN
33,aja,NN
34,goyot,FW
35,sadhar,FW
36,kost,FW
37,ac,FW
38,nonac,FW
39,rb,FW
40,bln,FW
41,kmr,FW
42,dlm,FW
43,sebrang,FW
44,amplas,FW
45,dkt,FW
46,uin,FW
47,uny,FW
48,sadhar,FW
49,jogja,FW
50,hub,FW
51,sadhar,VB
52,ga,NN
53,nih,JJ
54,atma,NN
55,jaya,NN
56,kidul,NN
57,sadhar,NN
58,cerak,VB
59,tangga,IN
60,biyen,NN
61,akeh,FW
62,colok,FW
63,uny,FW
64,koridor,FW
65,fakultas,NN
66,colok,NN
67,biyen,NN
68,sih,NN
69,jaman,NN
70,enom,NN
71,sejati,VB
72,raya,NN
73,betboiz,FW
74,topbois,FW
75,sadhar,FW
76,setelane,FW
77,om,FW
78,wawes,FW
79,ro,FW
80,guyon,FW
81,waton,FW
82,mario,FW
83,brooooooo,FW
84,auditorium,NN
85,sadhar,NN
86,wkwk,JJ
87,deket,FW
88,kampus,FW
89,sadhar,FW
90,paing,FW
91,mie,FW
92,ayam,NN
93,enak,NN
94,loh,NN
95,pik,JJ
96,bhaha,NN
97,bahas,VB
98,duit,NN
99,wisuda,NN
100,syukur,NN
101,karna,NN
102,duit,NN
103,wisuda,NN
104,sadhar,NN
105,ngak,NN
106,gede,NN
107,kampus,NN
108,kota,NN
109,tp,FW
110,tep,FW
111,wae,FW
112,sambat,FW
113,redihhh,VB
114,sekian,NN
115,berita,NN
116,statement,FW
117,manajemen,NN
118,kait,VB
119,target,NN
120,musim,NN
121,digarisbawahi,VB
122,renung,NN
123,rivalitas,NN
124,iki,VB
125,wis,NN
126,kebablasen,CD
127,rb,NN
128,doang,NN
129,deket,NN
130,kampus,NN
131,sadhar,NN
132,jogja,NN
133,udah,JJ
134,dapet,NN
135,ayam,NN
