,Word,Weight,POS
0,mas,56.853761435711824,JJ
1,yg,54.5495702516122,NN
2,kampus,51.10508562657461,FW
3,anak,50.251494294489696,NN
4,deket,44.43760687641308,FW
5,ya,44.051578787647315,NN
6,aja,38.537087796075866,NN
7,ga,33.24477606226628,NN
8,kuliah,32.34692271751451,NN
9,wkwk,32.3437373619954,FW
10,dab,31.45964089828234,NN
11,mrican,30.384409145602014,NN
12,jogja,29.715895858822805,FW
13,upn,27.22858187979881,FW
14,kalo,26.92508422335713,NN
15,ugm,25.14711018511955,FW
16,sih,24.60189023490468,NN
17,uny,23.224922992345135,FW
18,enak,22.84600505211577,NN
19,nya,22.514562562780444,NN
20,meme,20.541981676951696,NN
21,yo,20.112099432995276,NN
22,udah,19.34043533668679,JJ
23,tau,19.33029631750703,FW
24,ra,19.09683986455606,NN
25,nek,18.941221149426987,NN
26,main,18.52866023538759,FW
27,atma,18.34531103255484,NN
28,nih,18.061184589683936,JJ
29,masuk,17.726972283066335,VB
30,paing,17.709063706805278,FW
31,mbak,17.553259181201476,VB
32,iki,17.32314904576859,VB
33,sadar,17.292418366275186,NN
34,gak,17.04155663213595,NN
35,uii,16.954925216784755,NN
36,wkwkwk,16.942033977469542,NN
37,neng,16.23153311873053,FW
38,tp,15.436449484679486,FW
39,sing,15.212614581334867,FW
40,ki,15.047793283219768,FW
41,ora,14.98893838592719,NN
42,gejayan,14.797289659085417,NN
43,ken,14.420219016769718,NN
44,mahasiswa,14.356407386046813,NN
45,kak,14.080706150610704,NN
46,jalan,13.88617825910613,NN
47,po,13.58894545711626,FW
48,ono,13.558986643978772,NN
49,bgt,13.463339583677005,NN
50,cah,12.665830439942862,NN
51,iya,12.608538398393565,NN
52,daerah,12.575538527911185,NN
53,biar,12.544602724779658,CD
54,makan,12.359532588898922,VB
55,pas,12.271125795823814,NN
56,nggih,12.21755854875127,FW
57,bagus,12.182009844335912,FW
58,sasing,12.070204183570551,FW
59,hehe,11.986842980896908,FW
60,ust,11.96539508143228,FW
61,selamat,11.815753818216654,JJ
62,wae,11.814095318636863,FW
63,wes,11.787258189761765,FW
64,bal,11.725568282255436,NN
65,psim,11.691603127205255,FW
66,kayak,11.479737827811839,CD
67,buka,11.435650887900575,VB
68,jajan,11.367143600231435,NN
69,wkwkw,11.3190874179492,FW
70,ning,11.250888717333982,FW
71,lho,11.237907191973127,NN
72,nder,10.974185072734546,FW
73,dimsum,10.938631197547922,NN
74,emang,10.922625473810688,FW
75,amikom,10.888446620901984,FW
76,menang,10.844815030076692,NN
77,banget,10.81408379169689,FW
78,rumah,10.658874373323712,NN
79,salah,10.637925532974611,JJ
80,lur,10.365607886382023,NN
81,umy,10.312738866325937,FW
82,uad,10.259914898668486,FW
83,ku,10.245805556389824,NN
84,mba,10.206677016257032,NN
85,semangat,10.14355045859226,NN
86,gitu,10.134490663702866,SC
87,to,10.077287123042401,FW
88,kaya,10.069068194483293,JJ
89,ketemu,9.842480022987829,VB
90,sanata,9.831793329717845,NN
91,eh,9.820269208226797,FW
92,nggak,9.814403526692624,RB
93,beli,9.704704652408417,VB
94,kangen,9.672671350220567,NN
95,lulus,9.615905928523892,NN
96,ayam,9.426352469239903,NN
97,si,9.412665559135105,NN
98,ngarep,9.315694618886148,NN
99,jg,9.28056544961758,NN
100,moga,9.222495135372824,NN
101,uin,9.192763467437995,FW
102,ojo,9.126858381716657,FW
103,daftar,9.109644843034173,VB
104,an,8.98454407876546,NN
105,kentang,8.961136636971872,NN
106,min,8.899591298445685,NN
107,dewe,8.843807929032359,FW
108,dkt,8.78514633722476,FW
109,alon,8.753922967766703,NN
110,kui,8.739689690920937,VB
111,nyata,8.648372886218729,JJ
112,demo,8.61975824023163,NN
113,haha,8.336674264469378,NN
114,sek,8.246691378695845,NN
115,tekan,8.15123808582835,VB
116,mung,8.107166509054503,NN
117,sampe,8.033089108329222,FW
118,besok,8.004808645422681,NN
119,nama,7.987158378173134,NN
120,koe,7.916030834681205,FW
121,bu,7.909829071866716,NN
122,opo,7.880550857560636,FW
123,lupa,7.771197296538601,VB
124,bahasa,7.723742696325875,NNP
125,tu,7.709237008320845,FW
126,ayo,7.692554321095012,NN
127,pagi,7.672709852494801,NN
128,km,7.669660156124334,FW
129,tetep,7.653807335550942,FW
