,0
bem,450.2964513215034
yg,342.24092314469084
ui,284.3231839590304
ketua,271.2134227798089
ya,260.0535124532734
anak,224.88767752828196
aja,210.82757794340318
ga,198.00135277067065
mas,197.11500975091062
masuk,189.84336801409097
mahasiswa,186.8200492926514
itb,165.35915079628674
kalo,160.93619802823986
kuliah,155.95211821042548
nya,151.65755043971362
jogja,132.28273450030645
gak,129.23841515203455
kampus,121.98498007314524
wkwk,120.73412203691514
sih,120.18795815214675
lulus,114.43117667269951
terima,113.11160159967405
tau,112.81084673072147
udah,110.87468442267178
si,100.33663634016365
orang,99.07862674062768
ken,98.81488973094852
yogyakarta,97.2202650350337
km,96.93329480902104
universitas,94.84992929121891
fakultas,93.89177239956209
moga,91.6530381515285
fathur,89.98509350679703
presiden,89.1761004411054
indonesia,87.2049019953492
bgt,83.69087056333281
nyata,82.87744933804815
gue,82.75553473763092
presma,81.32445987205654
tp,80.78414737831388
uny,79.00257621582776
unpad,77.71115635985646
banget,76.77849625135785
pas,76.73829952932206
dokter,76.29861345673417
cm,75.65509430533656
nih,75.20219685075396
dr,75.12207300006253
aamiin,74.61865750875776
kak,73.66098690657203
salah,72.54762005934074
amp,71.10885105791901
undip,69.75129515626223
fk,68.3383214284816
alumni,67.28311636462855
deket,67.06148728114007
gitu,66.8107263070695
dosen,66.5468076088271
nder,66.5289667564422
emang,65.48333415940027
liat,65.37317852037152
kayak,63.32549526135772
nama,62.435177320003405
jalan,61.316150872310835
psikologi,60.734501658583596
iya,60.281878563168
ajar,59.1082381696127
aksi,58.167874624732626
temen,58.05948083580986
biar,57.53397299438987
gw,57.445833757188765
hehe,57.09134167060779
gua,56.95874835691738
jg,56.392029657082084
daerah,56.14639246270318
kaya,56.00762663421013
teknik,55.83601729546046
lu,55.798395587568265
ruu,55.77698581158821
ketemu,55.02706571522095
kerja,54.286461518217244
tolak,53.8646614495477
semangat,52.60954609243478
hi,52.0734573365045
kek,51.94159009702579
dah,51.56978955652437
bikin,51.43165209560756
atiatul,51.37252620236993
eh,51.12118962479769
selamat,50.99953121593071
jurus,50.79465663941993
ku,50.473059758282915
suka,50.415620367334405
unair,50.206754363891456
maba,49.82635673911725
hukum,49.44746997261265
gimana,49.367270927705654
muqtadir,48.9481760475659
rektor,48.813000946692746
ub,48.54158819435588
pks,48.32275941496183
tuh,48.15554500344358
