,Word,POS
0,kabar,NN
1,salah,JJ
2,admin,VB
3,anak,NN
4,ugm,NN
5,safari,IN
6,dakwah,NN
7,yogyakarta,NN
8,kajianesia,NN
9,uk,NN
10,ugm,NN
11,uk,NN
12,pogung,VB
13,uk,NN
14,sleman,NN
15,uk,NN
16,bantul,VB
17,uk,NN
18,jogja,NN
19,uk,NN
20,yogyakarta,NN
21,uk,NN
22,uk,NN
23,uk,NN
24,jogja,NN
25,uk,NN
26,jogja,NN
27,jogja,NN
28,yogyakarta,NN
29,kajianjogja,NN
30,jogjamengaji,NN
31,kaji,NN
32,akidah,JJ
33,ust,FW
34,dr,FW
35,ali,VB
36,musri,NN
37,ma,NN
38,dok,VB
39,berita,NN
40,ugm,NN
41,tim,NN
42,prabowo,NN
43,harap,VB
44,kampus,NN
45,gelar,NN
46,diskusi,NN
47,visi,NN
48,misi,NN
49,capres,NN
50,ugm,NN
51,tim,NN
52,prabowo,NN
53,harap,VB
54,kampus,NN
55,gelar,NN
56,diskusi,NN
57,visi,NN
58,misi,NN
59,capres,NN
60,bedah,VB
61,visi,NN
62,misi,NN
63,capres,NN
64,ugm,NN
65,sudirman,NN
66,said,NN
67,positif,JJ
68,pdip,VB
69,dukung,VB
70,ugm,NN
71,juang,NN
72,nu,NN
73,muhammadiyah,NN
74,terima,VB
75,nobel,NN
76,damai,JJ
77,okezone,FW
78,tuition,FW
79,bayar,FW
80,sks,FW
81,fee,FW
82,bayar,FW
83,kyk,FW
84,gym,FW
85,insurance,FW
86,dll,FW
87,bop,FW
88,sm,FW
89,spp,FW
90,ugm,FW
91,gitu,SC
92,bpn,NN
93,kampus,NN
94,tiru,NN
95,langkah,NN
96,ugm,NN
97,bedah,JJ
98,visi,NN
99,capres,NN
100,klikrmol,JJ
101,alumni,VB
102,ugm,NN
103,angkat,NN
104,emang,NN
105,gak,NN
106,wa,NN
107,grup,NN
108,ya,NN
109,koq,NN
110,kaya,JJ
111,gak,NN
112,peduli,VB
113,temen,NN
114,angkat,NN
115,presiden,NN
116,gak,NN
117,berita,NN
118,nya,NN
119,gitu,SC
120,patil,NN
121,udang,NN
122,aja,NN
123,ampe,NN
124,berita,NN
125,coba,VB
126,aja,NN
127,ugm,NN
128,fakultas,NN
129,halusinasi,NN
130,kampus,NN
131,media,NN
132,info,NN
133,kampusmediainfo,NN
134,media,NN
135,sosial,JJ
136,official,FW
137,instagram,FW
138,facebook,FW
139,kampusmedia,FW
140,info,FW
141,com,FW
142,kampusmedia,FW
143,kampusmediainfo,FW
144,mediakampus,FW
145,infokampus,FW
146,kampus,FW
147,campus,FW
148,university,FW
149,institute,FW
150,universitas,NN
151,gadjah,NN
152,mada,IN
153,ugm,NN
154,moto,NN
155,pimpin,NN
156,adab,NN
157,bangsa,NN
158,desember,NN
159,jenis,NN
160,guru,NN
161,negeri,NN
162,badan,NN
163,hukum,NN
164,rektor,NN
165,prof,FW
166,ir,FW
167,panut,FW
168,mulyono,FW
169,eng,NN
170,eng,NN
171,lokasi,NN
172,yogyakarta,NN
173,indonesia,NN
174,situs,NN
175,web,NNP
176,infokampus,NNP
177,bismillahirrahmanirrahim,NN
178,ugm,FW
179,aminnn,FW
180,pdi,NN
181,dukung,VB
182,upaya,NN
183,ugm,NN
184,juang,NN
185,nu,NN
186,muhammadiyah,NN
187,tebu,NN
188,nih,NN
189,bocah,NN
190,gak,NN
191,nyambung,VB
192,ya,NN
193,coba,VB
194,lo,FW
195,simak,FW
196,reply,FW
197,twit,FW
198,lo,FW
199,sesuai,JJ
200,ga,NN
201,dg,FW
202,reply,FW
203,twit,FW
204,gw,FW
205,dri,FW
206,reply,FW
207,twit,FW
208,gw,FW
209,udh,FW
210,lempeng,NN
211,jelasin,NN
212,twit,NN
213,lo,NN
214,data,NN
215,indonesia,NN
216,trarslate,FW
217,penterjmah,NN
218,baca,NN
219,forum,NN
220,internasional,JJ
221,video,NN
222,yg,NN
223,baca,VB
224,sapa,CD
225,penterjemah,NN
226,solusi,NN
227,si,NN
228,ugm,NN
229,warung,NN
230,salah,JJ
231,ruas,VB
232,jalan,NN
233,kenal,JJ
234,ugm,NN
235,bersih,JJ
236,makan,VB
237,lt,FW
238,yg,FW
239,berac,FW
240,krn,FW
241,mmg,FW
242,anak,NN
243,gerah,NN
244,gt,FW
245,bpn,FW
246,prabowo,FW
247,harap,FW
248,kampus,FW
249,tiru,FW
250,ugm,FW
251,gelar,FW
252,dialog,NN
253,bedah,JJ
254,visi,NN
255,misi,NN
256,capres,NN
257,cawapres,NN
258,tebu,NN
259,duhh,NN
260,presiden,NN
261,lg,FW
262,yg,FW
263,ngaku,FW
264,lulus,FW
265,ugm,FW
266,lo,FW
267,ngebahas,VB
268,presiden,NN
269,ngebahas,VB
270,tetangga,NN
271,lo,NN
272,yg,NN
273,gak,NN
274,ajudan,NN
275,gak,NN
276,anak,NN
277,buah,NND
278,gak,NN
279,penterjemah,NN
280,sudut,NN
281,pandang,VB
282,lo,NN
283,posisi,NN
284,junjung,VB
285,lo,NN
286,sih,NN
287,dunia,NN
288,internasiona,NN
289,gw,NN
290,ngeliatnya,NN
291,aja,NN
292,nyesek,NN
293,benton,NN
294,mini,NN
295,size,FW
296,ml,FW
297,kayak,FW
298,beautybible,FW
299,dot,FW
300,id,FW
301,instagram,FW
302,gale,FW
303,coba,FW
304,sunmor,FW
305,ugm,FW
306,yg,FW
307,jual,FW
308,skincare,FW
309,korea,NN
310,kayak,CD
311,hiphop,FW
312,http,FW
313,song,FW
314,by,FW
315,holy,FW
316,bandz,FW
317,amp,FW
318,og,FW
319,denzo,FW
320,sick,FW
321,apakabar,NN
322,ugm,NN
323,berattt,FW
324,euy,FW
325,pilih,FW
326,ugm,FW
327,deh,FW
328,banding,FW
329,ui,FW
330,tau,FW
331,cmiiw,FW
332,jg,FW
333,milih,VB
334,salah,JJ
335,pdi,NN
336,juang,NN
337,dukung,VB
338,upaya,NN
339,ugm,NN
340,juang,NN
341,nu,NN
342,muhammadiyah,NN
343,terima,VB
344,nobel,NN
345,damai,JJ
346,ugm,FW
347,amiinn,FW
348,bpn,FW
349,prabowo,FW
350,harap,FW
351,kampus,FW
352,tiru,FW
353,ugm,FW
354,gelar,FW
355,dialog,NN
356,bedah,JJ
357,visi,NN
